# Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/24351
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/papua/papua2019d1biso.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, hydrogen isotopes, chemistry
#--------------------
# Contribution_Date
#	Date: 2019-12-09
#--------------------
# File_Last_Modified_Date
#	Date: 2019-12-09
#--------------------
# Title
#	Study_Name: Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#--------------------
# Investigators
#	Investigators: Permana, D.S.; Thompson, L.G.; Mosley-Thompson, E.; Davis, M.E.; Lin, P.-N.; Nicolas, J.P.; Bolzan, J.F.; Bird, B.W.; Mikhalenko, V.N.; Gabrielli, P.; Zagorodnov, V.; Mountain, K.R.; Schotterer, U.; Hanggoro, W.; Habibie, M.N.; Kaize, Y.; Gunawan, D.; Setyadi, G.; Susanto, R.D.; Fernández, A.; Mark, B.G.
#--------------------
# Description_Notes_and_Keywords
#	Description: Papua, Indonesia ice core isotope (d18O, dD, tritium) and chemistry (chloride, potassium) data for the past 50 years, plus calculated Nino3 SST. 
#	Data from 3 ice cores drilled in 2010 by the Ohio State University's Byrd Polar and Climate Reseach Center's Ice Core Paleoclimate Research Group.
#
#--------------------
# Publication 
#	Authors: Donaldi S. Permana, Lonnie G. Thompson, Ellen Mosley-Thompson, Mary E. Davis, Ping-Nan Lin, Julien P. Nicolas, John F. Bolzan, Broxton W. Bird, Vladimir N. Mikhalenko, Paolo Gabrielli, Victor Zagorodnov, Keith R. Mountain, Ulrich Schotterer, Wido Hanggoro, Muhammad N. Habibie, Yohanes Kaize, Dodo Gunawan, Gesang Setyadi, Raden D. Susanto, Alfonso Fernández, Bryan G. Mark
#	Published_Date_or_Year: 2019-12-09     
#	Published_Title: Disappearance of the last tropical glaciers in the Western Pacific Warm Pool (Papua, Indonesia) appears imminent
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 0.1073/pnas.1822037116 
#	Online_Resource: https://www.pnas.org/content/early/2019/12/03/1822037116
#	Full_Citation: 
#	Abstract: The glaciers near Puncak Jaya in Papua, Indonesia, the highest peak between the Himalayas and the Andes, are the last remaining tropical glaciers in the West Pacific Warm Pool (WPWP). Here, we report the recent, rapid retreat of the glaciers near Puncak Jaya by quantifying the loss of ice coverage and reduction of ice thickness over the last 8 y. Photographs and measurements of a 30-m accumulation stake anchored to bedrock on the summit of one of these glaciers document a rapid pace in the loss of ice cover and a ~5.4-fold increase in the thinning rate, which was augmented by the strong 2015-2016 El Nino. At the current rate of ice loss, these glaciers will likely disappear within the next decade. To further understand the mechanisms driving the observed retreat of these glaciers, 2 ~32-m-long ice cores to bedrock recovered in mid-2010 are used to reconstruct the tropical Pacific climate variability over approximately the past half-century on a quasi-interannual timescale. The ice core oxygen isotopic ratios show a significant positive linear trend since 1964 CE (0.018 ± 0.008 permil per year; P < 0.03) and also suggest that the glaciers' retreat is augmented by El Nino-Southern Oscillation processes, such as convection and warming of the atmosphere and sea surface. These Papua glaciers provide the only tropical records of ice core-derived climate variability for the WPWP.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-0823586
#------------------
# Site_Information 
#	Site_Name: Puncak Jaya
#	Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia
#	Northernmost_Latitude: -4.083 
# 	Southernmost_Latitude: -4.083 
# 	Easternmost_Longitude: 137.167
# 	Westernmost_Longitude: 137.167
# 	Elevation: 4884
#------------------
# Data_Collection   
#	Collection_Name: Papua2019D1Biso
#	Earliest_Year: 1964
#	Most_Recent_Year: 2010
#	Time_Unit: Year CE
#	Core_Length: 31.87
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , meter, , ice core, , ,N,
## d18O	delta 18O, bulk ice, , permil, ,ice core,,,N, A blank cell means no sample available
## dD	delta 2H, bulk ice, , permil, ,ice core,,,N, A blank cell means no sample available
## dust	dust, bulk ice, , particles per milliliter, ,ice core,,,N, particles >63 um diameter
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	d18O	dD	dust
7.636	-17.38	-122.89	9081
7.655	-17.07	-120.10	12060
7.675	-17.03	-120.51	9120
7.694	-17.03	-120.72	14759
7.714	-17.13	-120.98	12341
7.733	-17.15	-120.16	12981
7.753	-16.62	-117.89	11202
7.772	-16.50	-117.67	7199
7.792	-16.35	-115.50	8540
7.811	-16.12	-113.52	5961
7.831	-16.14	-113.66	7739
7.850	-16.12	-113.58	10180
7.870	-16.09	-112.90	4940
7.900	-16.65	-118.62	10879
7.927	-16.95	-120.37	6000
7.949	-17.26	-123.98	6101
7.971	-17.71	-127.76	4120
7.993	-18.20	-130.93	5919
8.015	-18.92	-136.97	3020
8.037	-19.50	-141.27	3300
8.059	-20.06	-145.24	4780
8.081	-20.32	-147.77	8520
8.103	-20.07	-145.92	4360
8.125	-19.91	-144.01	5580
8.147	-19.61	-142.38	3300
8.169	-20.06	-144.40	4000
8.191	-20.28	-146.88	5040
8.213	-20.08	-144.24	5479
8.235	-19.77	-141.21	5460
8.257	-19.41	-138.01	8160
8.279	-18.85	-134.83	9720
8.301	-18.19	-127.76	5120
8.328	-17.13	-120.49	16119
8.350	-15.92	-113.20	19821
8.372	-14.70	-105.21	61582
8.394	-14.76	-105.03	27060
8.416	-15.11	-108.02	29981
8.438	-15.12	-107.52	8260
8.460	-15.16	-108.04	2720
8.482	-15.49	-108.22	3840
8.504	-15.26	-107.39	14319
8.526	-15.16	-106.38	19222
8.548	-15.04	-104.89	6720
8.570	-14.82	-104.22	6940
8.592	-14.74	-102.99	8179
8.619	-14.62	-102.47	5920
8.641	-14.41	-101.15	9319
8.663	-14.07	-98.38	9819
8.685	-14.13	-97.75	10001
8.707	-14.19	-98.55	5960
8.729	-14.09	-97.63	6280
8.751	-14.06	-96.56	7739
8.773	-14.18	-96.87	10800
8.795	-14.40	-98.61	2820
8.817	-14.51	-100.15	8141
8.839	-14.88	-103.58	3460
8.861	-15.11	-104.75	5419
8.880	-15.17	-105.39	5680
8.905	-15.73	-108.97	6160
8.925	-15.73	-109.83	9140
8.945	-15.87	-110.38	8061
8.965	-15.77	-111.02	9820
8.985	-15.92	-110.43	11441
9.005	-15.70	-110.82	9280
9.025	-15.89	-110.39	5940
9.055	-15.85	-110.49	5600
9.080	-15.74	-109.90	4360
9.100	-15.79	-109.52	8660
9.120	-15.67	-109.15	16519
9.140	-15.43	-108.43	6401
9.160	-15.43	-107.55	6640
9.180	-15.35	-107.44	3160
9.200	-15.28	-107.22	9519
9.220	-15.24	-107.14	6901
9.240	-15.32	-107.88	5720
9.260	-15.38	-108.51	11281
9.280	-15.40	-108.93	5180
9.300	-15.41	-108.54	10399
9.320	-15.56	-109.32	6780
9.340	-15.64	-109.87	7400
9.360	-15.59	-110.19	9179
9.380	-15.71	-110.79	9341
9.400	-15.83	-111.27	9220
9.420	-15.90	-112.39	4400
9.440	-15.98	-112.67	7940
9.460	-16.05	-113.67	7920
9.480	-16.03	-112.59	8699
9.505	-16.00	-112.97	35722
9.535	-15.94	-113.03	14359
9.565	-15.82	-113.07	8479
9.590	-15.81	-113.34	9620
9.610	-15.85	-113.21	12559
9.630	-15.93	-113.51	3220
9.650	-15.97	-113.57	2040
9.670	-15.84	-112.78	2480
9.690	-15.90	-112.99	5340
9.710	-15.97	-112.82	3760
9.730	-16.10	-114.09	4300
9.750	-16.23	-114.85	2740
9.770	-16.13	-114.16	8420
9.790	-16.31	-115.30	11861
9.810	-16.27	-115.56	10400
9.830	-16.20	-114.93	12781
9.850	-15.98	-115.38	17920
9.870	-16.14	-115.22	19960
9.895	-16.20	-115.96	9040
9.920	-16.12	-117.34	24381
9.945	-16.31	-116.86	14460
9.965	-16.27	-117.49	9900
9.986	-16.46	-118.92	7780
10.007	-16.41	-117.45	11920
10.027	-16.35	-118.54	11160
10.048	-16.47	-120.95	12019
10.068	-16.53	-116.41	7439
10.089	-16.39	-116.96	7319
10.109	-16.12	-113.82	18000
10.130	-16.44	-117.87	20839
10.150	-16.33	-117.54	13300
10.175	-16.35	-116.48	10581
10.200	-16.46	-117.19	8300
10.221	-16.54	-118.04	9360
10.241	-16.68	-119.65	8540
10.262	-16.58	-119.25	14920
10.282	-16.71	-119.62	10281
10.303	-16.58	-119.81	7301
10.323	-16.63	-118.60	11480
10.344	-16.58	-118.16	5840
10.364	-16.51	-118.26	7620
10.385	-16.47	-117.23	8260
10.405	-16.42	-118.12	9599
10.426	-16.33	-117.54	7200
10.446	-16.31	-120.19	7899
10.467	-16.17	-114.58	10640
10.487	-16.39	-117.42	10781
10.508	-16.23	-114.77	9000
10.528	-16.17	-114.94	5100
10.549	-16.19	-115.06	15141
10.574	-16.13	-115.16	9899
10.599	-16.16	-115.50	7281
10.619	-16.14	-117.67	4560
10.640	-16.29	-115.75	4660
10.660	-16.09	-118.34	7481
10.681	-16.02	-112.97	7800
10.701	-16.00	-114.54	7979
10.722	-15.93	-112.75	11379
10.742	-15.86	-113.28	9839
10.763	-16.02	-115.00	12280
10.783	-16.02	-113.60	4320
10.804	-16.11	-113.44	4620
10.824	-15.99	-113.18	9340
10.845	-16.01	-112.98	7499
10.870	-16.08	-114.45	8141
10.895	-16.02	-113.96	5400
10.917	-15.83	-113.80	7619
10.938	-15.97	-113.43	9641
10.960	-15.88	-113.30	8761
10.981	-15.85	-112.67	9260
11.003	-15.87	-112.60	8699
11.024	-16.00	-112.80	7259
11.049	-15.88	-112.27	9140
11.071	-15.78	-112.39	9001
11.092	-15.87	-113.75	3820
11.114	-15.97	-113.75	3520
11.135	-16.03	-114.45	4500
11.157	-16.32	-115.07	4380
11.178	-16.35	-116.46	2940
11.200	-16.34	-115.98	7319
11.221	-16.41	-116.24	5480
11.243	-16.28	-116.16	5980
11.264	-16.25	-116.37	4700
11.286	-16.22	-116.81	3440
11.307	-16.39	-116.53	8300
11.329	-16.35	-115.99	13040
11.354	-16.29	-115.63	7220
11.375	-16.29	-115.95	6799
11.397	-16.18	-115.80	10280
11.418	-16.23	-115.66	8700
11.440	-16.22	-115.49	6759
11.461	-16.31	-115.45	6579
11.483	-16.35	-115.59	8859
11.504	-16.19	-115.29	13518
11.526	-16.29	-114.60	5600
11.547	-16.41	-115.13	5620
11.569	-16.37	-115.33	4260
11.590	-16.33	-115.39	5420
11.612	-16.42	-116.38	4760
11.633	-16.46	-116.68	3860
11.653	-16.61	-117.24	3500
11.678	-16.52	-117.35	4640
11.700	-16.46	-117.93	9280
11.721	-16.62	-117.59	8800
11.743	-16.70	-118.87	5040
11.764	-16.62	-118.74	3760
11.786	-16.85	-119.94	2740
11.807	-16.95	-121.05	3680
11.829	-17.02	-121.54	6681
11.850	-16.99	-122.02	3960
11.870	-17.04	-121.92	3520
11.890	-17.39	-123.79	2980
11.915	-17.44	-123.93	4180
11.933	-17.44	-124.91	3980
11.952	-17.51	-125.34	4840
11.970	-17.63	-125.79	2940
11.989	-17.52	-125.76	3200
12.007	-17.47	-125.77	4500
12.025	-17.61	-126.76	3180
12.044	-17.64	-126.99	5220
12.062	-17.82	-127.94	3100
12.081	-17.96	-128.12	7061
12.099	-17.66	-125.99	10299
12.117	-17.43	-125.80	8019
12.136	-17.77	-127.09	4380
12.154	-17.73	-126.41	6759
12.173	-17.52	-125.13	6179
12.191	-17.64	-125.17	7240
12.209	-17.70	-124.56	4260
12.228	-17.66	-125.19	6759
12.246	-17.52	-123.97	8221
12.265	-17.57	-124.65	12100
12.283	-17.60	-125.25	5861
12.301	-17.53	-125.19	4060
12.320	-17.61	-125.19	5360
12.338	-17.48	-123.37	5160
12.357	-17.48	-123.06	5240
12.375	-17.24	-121.87	2900
12.393	-17.23	-121.32	4060
12.412	-17.11	-120.53	5360
12.437	-17.00	-119.96	2720
12.455	-17.03	-120.37	6280
12.474	-16.98	-120.03	3620
12.492	-16.76	-117.77	7840
12.510	-16.55	-116.55	8720
12.529	-16.71	-117.92	7299
12.547	-16.85	-117.72	4619
12.566	-16.70	-117.67	2620
12.584	-16.62	-116.12	3420
12.602	-16.52	-116.96	4420
12.621	-16.51	-116.95	6360
12.639	-16.32	-116.22	21840
12.658	-16.21	-115.69	6040
12.676	-16.27	-115.97	3940
12.694	-16.15	-115.24	4880
12.713	-16.11	-114.92	6120
12.731	-16.09	-114.33	9660
12.750	-16.00	-114.04	9940
12.768	-16.11	-114.17	8941
12.786	-15.99	-114.08	4960
12.805	-15.81	-113.23	7340
12.823	-15.92	-114.65	16861
12.840	-16.32	-114.88	2220
12.865	-16.24	-115.80	3500
12.886	-16.20	-114.36	3620
12.907	-16.10	-114.35	5219
12.928	-16.04	-112.70	2920
12.949	-15.97	-111.34	2320
12.970	-15.99	-111.87	3200
12.991	-15.93	-111.28	1480
13.012	-15.77	-110.21	8420
13.033	-15.82	-109.63	3480
13.054	-15.73	-110.70	5340
13.075	-15.78	-110.01	13219
13.096	-15.81	-111.55	35741
13.117	-15.75	-112.38	5160
13.138	-15.72	-112.80	3800
13.159	-15.83	-112.91	4460
13.180	-15.98	-112.91	2480
13.201	-16.01	-113.63	19341
13.222	-15.84	-114.15	2480
13.243	-15.86	-112.67	3360
13.264	-15.79	-113.03	5680
13.289	-15.94	-113.29	2680
13.310	-15.92	-112.73	3260
13.331	-15.74	-111.43	2660
13.352	-15.85	-111.51	9081
13.373	-15.97	-111.20	1920
13.394	-16.16	-114.18	920
13.415	-16.40	-116.55	2020
13.436	-16.45	-114.58	1160
13.457	-16.53	-117.85	2080
13.478	-16.76	-115.71	5140
13.499	-16.62	-116.81	1760
13.520	-17.06	-123.12	1920
13.541	-17.37	-123.63	1900
13.562	-17.07	-123.03	2480
13.587	-16.71	-120.15	2440
13.608	-16.51	-118.02	2340
13.629	-16.40	-117.32	14540
13.650	-16.35	-114.82	9441
13.671	-16.13	-115.59	40862
13.692	-16.38	-117.16	5480
13.713	-16.15	-114.72	6939
13.734	-16.09	-112.11	7180
13.755	-16.01	-112.36	5439
13.776	-15.79	-109.43	9219
13.797	-16.13	-114.50	21658
13.820	-15.90	-113.08	14740
13.842	-15.97	-113.31	16939
13.860	-15.77	-112.71	6800
13.879	-15.75	-111.82	6700
13.897	-15.74	-112.77	4100
13.916	-15.78	-112.36	3720
13.934	-15.66	-111.74	3760
13.953	-15.67	-111.37	6901
13.973	-15.80	-110.91	8119
13.991	-15.77	-111.15	2800
14.010	-15.45	-111.30	4779
14.028	-15.70	-111.17	3360
14.047	-15.65	-111.03	4120
14.065	-15.71	-110.92	2600
14.084	-15.58	-110.60	6340
14.102	-15.42	-110.44	3020
14.121	-15.57	-110.71	5060
14.139	-15.45	-110.62	6540
14.158	-15.62	-110.68	3900
14.176	-15.44	-110.22	3060
14.195	-15.53	-110.47	4240
14.213	-15.46	-110.28	4280
14.232	-15.69	-111.27	2460
14.250	-15.90	-112.31	13421
14.269	-15.89	-111.88	2540
14.287	-15.79	-112.10	5519
14.306	-15.86	-112.48	3320
14.324	-15.81	-111.51	7201
14.346	-15.83	-111.75	6380
14.365	-15.80	-112.89	5359
14.383	-15.83	-112.35	8700
14.402	-15.73	-112.06	12160
14.420	-15.95	-112.62	5100
14.439	-16.15	-111.81	4240
14.457	-15.94	-112.43	4320
14.476	-16.17	-112.39	3620
14.494	-15.95	-112.32	3000
14.513	-15.94	-111.54	5080
14.531	-15.83	-111.88	7939
14.550	-15.91	-111.66	9219
14.568	-16.09	-112.78	6019
14.587	-16.11	-112.79	9540
14.605	-16.15	-113.11	8880
14.624	-15.98	-112.64	6480
14.642	-15.85	-111.72	7480
14.661	-15.78	-112.16	6761
14.679	-15.94	-112.39	8161
14.698	-16.05	-113.02	464
14.716	-16.02	-112.88	323
14.735	-16.10	-113.21	345
14.753	-16.00	-113.39	323
14.772	-16.01	-113.37	237
14.790	-16.10	-114.45	464
14.813	-16.14	-114.47	309
14.831	-16.23	-113.43	436
14.848	-16.24	-113.12	233
14.866	-16.29	-117.53	214
14.883	-16.27	-114.00	358
14.901	-16.27	-115.80	92
14.918	-16.35	-116.83	198
14.936	-16.21	-111.29	211
14.953	-16.14	-111.60	149
14.971	-15.95	-112.25	322
14.988	-15.91	-111.34	1150
15.006	-15.90	-109.04	310
15.023	-15.91	-111.71	529
15.041	-15.89	-110.47	458
15.058	-15.99	-110.23	537
15.076	-15.98	-110.70	453
15.093	-15.94	-113.68	519
15.111	-15.80	-112.45	651
15.128	-15.75	-109.65	996
15.146	-15.80	-109.42	858
15.163	-15.82	-108.78	591
15.181	-15.76	-110.96	379
15.198	-15.82	-110.95	420
15.221	-15.85	-110.60	410
15.244	-15.69	-109.86	542
15.262	-15.72	-109.90	789
15.279	-15.97	-112.08	588
15.297	-15.85	-109.45	309
15.314	-15.81	-110.01	644
15.332	-15.68	-108.82	572
15.349	-15.67	-110.58	805
15.367	-15.81	-111.95	508
15.384	-16.03	-113.17	247
15.402	-16.05	-113.56	329
15.419	-16.21	-114.01	240
15.437	-16.24	-113.82	184
15.454	-16.22	-113.63	328
15.472	-16.19	-113.53	224
15.489	-16.21	-114.88	213
15.507	-16.21	-113.25	240
15.524	-16.26	-116.24	207
15.542	-16.29	-115.43	156
15.559	-16.31	-114.55	279
15.577	-16.14	-113.74	532
15.594	-16.17	-114.36	351
15.612	-16.35	-115.92	399
15.629	-16.44	-115.98	140
15.647	-16.60	-117.19	115
15.664	-16.52	-118.46	156
15.680	-16.64	-117.21	140
15.710	-16.68	-117.06	131
15.728	-16.68	-117.56	169
15.747	-16.73	-117.26	333
15.765	-16.61	-117.62	151
15.784	-16.70	-117.74	127
15.802	-16.67	-117.43	219
15.821	-16.62	-116.77	156
15.839	-16.53	-116.61	166
15.858	-16.62	-116.95	195
15.876	-16.47	-116.99	273
15.895	-16.43	-116.41	326
15.913	-16.61	-116.77	174
15.932	-16.47	-116.27	222
15.950	-16.40	-115.90	385
15.969	-16.31	-115.62	213
15.987	-16.27	-115.79	247
16.006	-16.25	-115.19	211
16.024	-16.21	-114.66	565
16.043	-16.13	-115.21	190
16.061	-16.20	-114.44	237
16.080	-16.12	-114.79	214
16.098	-16.24	-114.06	237
16.123	-16.14	-113.77	364
16.142	-15.94	-113.44	502
16.160	-16.00	-113.47	425
16.179	-15.98	-113.67	309
16.197	-16.03	-114.05	177
16.216	-16.07	-113.73	381
16.234	-16.14	-114.22	249
16.253	-16.33	-114.56	290
16.271	-16.34	-114.91	230
16.290	-16.32	-114.91	251
16.308	-16.38	-116.02	192
16.327	-16.63	-117.25	281
16.345	-16.64	-118.13	135
16.364	-16.70	-119.76	198
16.382	-17.08	-121.34	232
16.401	-17.54	-124.29	172
16.421	-17.68	-126.69	141
16.439	-17.94	-127.81	246
16.458	-18.12	-128.43	167
16.476	-18.19	-129.31	210
16.495	-18.34	-129.95	160
16.513	-18.33	-129.76	208
16.532	-18.31	-129.41	185
16.550	-18.23	-129.12	239
16.569	-18.20	-129.00	266
16.587	-18.18	-129.29	222
16.606	-18.47	-130.23	305
16.624	-18.45	-129.94	281
16.643	-18.53	-130.71	141
16.661	-18.50	-130.56	155
16.680	-18.51	-130.35	311
16.698	-18.61	-130.63	226
16.719	-18.53	-130.31	122
16.740	-18.52	-130.91	313
16.765	-18.46	-130.71	284
16.784	-18.43	-129.96	138
16.802	-18.36	-129.68	116
16.821	-18.31	-129.73	155
16.839	-18.28	-129.25	134
16.858	-18.21	-128.39	170
16.876	-18.16	-128.88	272
16.895	-18.20	-128.30	148
16.913	-18.26	-128.83	193
16.932	-18.33	-129.42	151
16.950	-18.56	-130.26	163
16.969	-18.75	-132.30	157
16.987	-19.00	-133.93	222
17.006	-18.77	-132.85	394
17.024	-18.73	-131.76	231
17.043	-18.65	-130.76	301
17.061	-18.34	-129.97	321
17.080	-18.02	-127.39	215
17.098	-18.14	-127.07	247
17.117	-17.81	-126.06	372
17.135	-17.62	-125.23	256
17.154	-17.71	-125.08	195
17.172	-17.74	-125.08	238
17.191	-17.45	-124.06	206
17.209	-17.43	-124.10	211
17.239	-17.39	-123.91	212
17.264	-17.38	-124.19	131
17.283	-17.39	-123.85	183
17.301	-17.72	-125.00	234
17.320	-17.74	-125.94	548
17.338	-17.64	-126.13	209
17.357	-17.77	-125.70	196
17.375	-17.58	-125.56	194
17.394	-17.58	-124.87	124
17.412	-17.50	-124.98	148
17.431	-17.57	-124.15	196
17.449	-17.55	-124.17	409
17.468	-17.37	-124.30	356
17.486	-17.30	-123.22	237
17.505	-17.39	-123.65	320
17.523	-17.34	-123.72	414
17.540	-17.45	-122.90	150
17.562	-17.41	-122.75	196
17.581	-17.37	-123.17	249
17.601	-17.34	-123.14	199
17.620	-17.30	-122.66	227
17.640	-17.29	-122.70	410
17.659	-17.24	-122.72	264
17.679	-17.25	-122.88	333
17.698	-17.29	-123.50	572
17.718	-17.32	-123.48	439
17.737	-17.40	-122.92	350
17.757	-17.36	-123.33	286
17.776	-17.42	-123.03	409
17.796	-17.39	-123.85	255
17.815	-17.43	-123.95	467
17.835	-17.43	-124.20	332
17.854	-17.50	-123.96	495
17.874	-17.52	-124.62	413
17.893	-17.52	-124.95	241
17.913	-17.47	-124.47	297
17.932	-17.39	-124.29	228
17.952	-17.43	-124.51	394
17.971	-17.57	-124.89	225
17.991	-17.56	-125.19	401
18.010	-17.56	-125.55	239
18.030	-17.51	-125.05	316
18.049	-17.39	-124.47	337
18.069	-17.29	-123.72	355
18.091	-17.33	-123.65	401
18.110	-17.38	-124.64	341
18.130	-17.51	-125.63	259
18.149	-17.48	-126.15	236
18.169	-17.56	-125.45	283
18.188	-17.52	-126.11	286
18.208	-17.57	-125.80	312
18.227	-17.55	-125.28	435
18.247	-17.56	-125.45	547
18.266	-17.53	-124.63	499
18.288	-17.52	-124.51	376
18.308	-17.34	-124.02	541
18.327	-17.42	-124.19	363
18.347	-17.55	-125.19	278
18.366	-17.51	-124.59	596
18.386	-17.44	-124.12	628
18.405	-17.36	-124.37	1029
18.425	-17.43	-124.52	547
18.444	-17.50	-123.81	255
18.464	-17.48	-124.84	230
18.483	-17.51	-124.68	500
18.503	-17.52	-124.57	288
18.522	-17.36	-124.75	241
18.542	-17.42	-124.34	304
18.561	-17.34	-124.01	416
18.580	-17.18	-123.18	457
18.600	-17.28	-123.08	519
18.617	-17.29	-123.26	210
18.634	-17.25	-123.66	201
18.651	-17.37	-123.21	606
18.668	-17.14	-122.27	413
18.685	-17.11	-121.70	329
18.702	-17.07	-121.63	558
18.719	-17.07	-121.73	221
18.736	-16.99	-121.41	582
18.753	-16.95	-121.44	123
18.770	-17.02	-121.82	325
18.787	-17.12	-121.56	514
18.804	-17.11	-121.62	460
18.821	-17.00	-121.04	249
18.838	-17.12	-121.41	289
18.855	-16.96	-120.56	296
18.872	-16.80	-119.40	1017
18.889	-16.74	-118.91	434
18.909	-16.77	-119.28	214
18.926	-16.72	-118.90	565
18.943	-16.71	-118.23	290
18.960	-16.72	-118.91	151
18.977	-16.60	-118.30	372
18.994	-16.66	-117.38	417
19.011	-16.66	-118.34	238
19.028	-16.64	-118.14	134
19.045	-16.65	-118.32	218
19.062	-16.66	-117.95	294
19.079	-16.70	-118.10	193
19.096	-16.58	-118.01	147
19.113	-16.56	-117.57	211
19.130	-16.63	-117.43	968
19.147	-16.46	-117.72	309
19.167	-16.56	-117.74	144
19.184	-16.46	-117.54	245
19.201	-16.51	-117.50	277
19.218	-16.54	-117.24	177
19.235	-16.35	-117.10	345
19.252	-16.42	-117.22	132
19.269	-16.46	-117.44	217
19.286	-16.53	-117.03	398
19.303	-16.35	-116.26	412
19.320	-16.31	-116.01	221
19.337	-16.22	-115.76	232
19.354	-16.19	-114.46	386
19.371	-16.09	-114.11	128
19.388	-16.03	-113.39	182
19.405	-16.03	-114.59	157
19.422	-16.24	-114.75	115
19.439	-16.20	-114.87	119
19.456	-16.17	-114.88	138
19.473	-16.25	-114.52	267
19.490	-16.27	-114.69	334
19.507	-16.28	-115.18	276
19.524	-16.33	-115.25	215
19.541	-16.21	-115.08	180
19.560	-16.19	-114.77	1181
19.580	-16.11	-115.06	459
19.602	-15.99	-115.10	338
19.619	-16.21	-115.28	513
19.636	-16.23	-115.39	417
19.653	-16.39	-115.81	325
19.670	-16.32	-115.75	355
19.687	-16.39	-116.02	512
19.704	-16.40	-116.95	573
19.721	-16.49	-116.86	646
19.738	-16.41	-117.17	677
19.755	-16.44	-116.69	638
19.772	-16.44	-117.16	553
19.789	-16.46	-116.56	357
19.806	-16.50	-116.72	211
19.823	-16.54	-116.17	427
19.840	-16.48	-115.95	334
19.857	-16.47	-116.10	264
19.874	-16.44	-116.16	494
19.891	-16.47	-116.52	834
19.921	-16.54	-116.62	776
19.967	-16.58	-116.97	578
19.997	-16.54	-117.72	390
20.027	-16.54	-117.35	444
20.049	-16.56	-117.41	437
20.067	-16.56	-117.31	398
20.085	-16.65	-117.40	480
20.103	-16.62	-117.86	574
20.121	-16.54	-117.55	285
20.139	-16.61	-117.87	353
20.157	-16.65	-117.69	552
20.175	-16.63	-117.85	480
20.193	-16.74	-119.02	147
20.211	-16.82	-119.73	434
20.229	-16.81	-120.05	186
20.247	-16.82	-120.27	225
20.265	-16.95	-120.52	181
20.283	-16.51	-119.43	211
20.301	-16.95	-120.92	159
20.319	-16.91	-120.69	240
20.337	-16.84	-120.35	345
20.355	-17.01	-121.03	227
20.373	-16.98	-121.06	419
20.391	-16.89	-120.72	345
20.409	-16.84	-120.29	284
20.431	-16.80	-120.21	387
20.448	-16.90	-120.05	479
20.465	-16.82	-120.01	596
20.482	-16.64	-120.61	292
20.499	-16.65	-120.64	589
20.516	-16.72	-120.46	383
20.533	-16.86	-120.39	530
20.550	-16.93	-121.91	182
20.567	-16.88	-121.02	487
20.584	-17.06	-122.06	310
20.601	-17.13	-122.69	658
20.618	-17.05	-121.74	834
20.635	-17.00	-123.68	367
20.652	-17.10	-123.99	268
20.669	-17.31	-123.06	351
20.686	-17.14	-123.39	302
20.703	-17.09	-123.12	289
20.720	-16.93	-122.31	246
20.737	-16.88	-122.69	378
20.754	-16.67	-121.40	1124
20.771	-16.85	-121.36	553
20.788	-16.59	-121.16	1389
20.805	-17.05	-124.35	342
20.825	-17.11	-125.57	809
20.845	-17.08	-123.10	1739
20.865	-17.20	-123.14	1033
20.885	-17.29	-123.57	598
20.902	-17.30	-123.29	196
20.919	-17.15	-122.91	517
20.936	-16.98	-122.80	518
20.953	-17.00	-122.92	492
20.970	-17.15	-123.32	310
20.987	-17.13	-123.62	707
21.004	-16.90	-121.52	586
21.021	-16.98	-121.22	611
21.038	-16.93	-122.08	743
21.055	-16.96	-123.56	733
21.072	-16.86	-122.21	680
21.089	-17.15	-122.54	239
21.106	-17.01	-122.83	369
21.123	-16.96	-122.33	183
21.140	-17.02	-121.04	577
