#Jurisdiction	Cause	Response Category	Protection Zone	Year	Annee	Juridiction	Data Qualifier	Area (hectares)	Area (hectares) null
Manitoba	Forest industry	Unspecified	Intensive	1990	1990	Manitoba	E	878	878
Manitoba	Incendiary	Unspecified	Intensive	1990	1990	Manitoba	E	223	223
Manitoba	Lightning	Unspecified	Intensive	1990	1990	Manitoba	E	10427	10427
Manitoba	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Manitoba	E	317	317
Manitoba	Other industry	Unspecified	Intensive	1990	1990	Manitoba	E	8	8
Manitoba	Railways	Unspecified	Intensive	1990	1990	Manitoba	E	201	201
Manitoba	Recreation	Unspecified	Intensive	1990	1990	Manitoba	E	570	570
Manitoba	Residents	Unspecified	Intensive	1990	1990	Manitoba	E	3741	3741
Northwest Territories	Incendiary	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	1	1
Northwest Territories	Lightning	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	104604	104604
Northwest Territories	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	1	1
Northwest Territories	Recreation	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	6	6
Northwest Territories	Residents	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	3	3
Northwest Territories	Unspecified	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	1	1
Saskatchewan	Forest industry	Unspecified	Intensive	1990	1990	Saskatchewan	E	4	4
Saskatchewan	Incendiary	Unspecified	Intensive	1990	1990	Saskatchewan	E	505	505
Saskatchewan	Lightning	Unspecified	Intensive	1990	1990	Saskatchewan	E	154677	154677
Saskatchewan	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Saskatchewan	E	131	131
Saskatchewan	Railways	Unspecified	Intensive	1990	1990	Saskatchewan	E	3	3
Saskatchewan	Recreation	Unspecified	Intensive	1990	1990	Saskatchewan	E	412	412
Saskatchewan	Residents	Unspecified	Intensive	1990	1990	Saskatchewan	E	31617	31617
Newfoundland and Labrador	Recreation	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	35	35
Newfoundland and Labrador	Recreation	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Recreation	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Residents	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	19	19
Newfoundland and Labrador	Residents	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Residents	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Forest industry	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	2593	2593
Newfoundland and Labrador	Forest industry	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Forest industry	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Railways	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	71	71
Newfoundland and Labrador	Railways	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Railways	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Other industry	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	5	5
Newfoundland and Labrador	Other industry	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Other industry	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Incendiary	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	12	12
Newfoundland and Labrador	Incendiary	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Incendiary	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Miscellaneous known causes	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	30	30
Newfoundland and Labrador	Miscellaneous known causes	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Miscellaneous known causes	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	s		
Newfoundland and Labrador	Lightning	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	994	994
Newfoundland and Labrador	Lightning	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	88	88
Newfoundland and Labrador	Lightning	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Unspecified	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Unspecified	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Unspecified	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Prince Edward Island	Recreation	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Recreation	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Recreation	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Residents	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	28	28
Prince Edward Island	Residents	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Residents	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Forest industry	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Forest industry	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Forest industry	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Railways	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Railways	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Railways	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Other industry	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	1	1
Prince Edward Island	Other industry	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Other industry	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Incendiary	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	53	53
Prince Edward Island	Incendiary	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Incendiary	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Miscellaneous known causes	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Miscellaneous known causes	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Miscellaneous known causes	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Lightning	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Lightning	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Lightning	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Unspecified	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	20	20
Prince Edward Island	Unspecified	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Unspecified	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Nova Scotia	Recreation	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	367	367
Nova Scotia	Recreation	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Recreation	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Residents	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	131	131
Nova Scotia	Residents	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Residents	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Forest industry	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	3	3
Nova Scotia	Forest industry	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Forest industry	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Railways	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	253	253
Nova Scotia	Railways	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Railways	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Other industry	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	66	66
Nova Scotia	Other industry	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Other industry	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Incendiary	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	190	190
Nova Scotia	Incendiary	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Incendiary	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Miscellaneous known causes	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	20	20
Nova Scotia	Miscellaneous known causes	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Miscellaneous known causes	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Lightning	Full	Intensive	1990	1990	Nouvelle-Ecosse	s		
Nova Scotia	Lightning	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Lightning	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Unspecified	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	38	38
Nova Scotia	Unspecified	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
Nova Scotia	Unspecified	None	Intensive	1990	1990	Nouvelle-Ecosse	a	0	
New Brunswick	Recreation	Full	Intensive	1990	1990	Nouveau-Brunswick	a	8	8
New Brunswick	Recreation	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Recreation	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Residents	Full	Intensive	1990	1990	Nouveau-Brunswick	a	27	27
New Brunswick	Residents	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Residents	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Forest industry	Full	Intensive	1990	1990	Nouveau-Brunswick	a	42	42
New Brunswick	Forest industry	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Forest industry	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Railways	Full	Intensive	1990	1990	Nouveau-Brunswick	a	7	7
New Brunswick	Railways	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Railways	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Other industry	Full	Intensive	1990	1990	Nouveau-Brunswick	a	2	2
New Brunswick	Other industry	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Other industry	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Incendiary	Full	Intensive	1990	1990	Nouveau-Brunswick	a	5998	5998
New Brunswick	Incendiary	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Incendiary	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Miscellaneous known causes	Full	Intensive	1990	1990	Nouveau-Brunswick	a	18	18
New Brunswick	Miscellaneous known causes	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Miscellaneous known causes	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Lightning	Full	Intensive	1990	1990	Nouveau-Brunswick	a	7	7
New Brunswick	Lightning	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Lightning	None	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Unspecified	Full	Intensive	1990	1990	Nouveau-Brunswick	a	5	5
New Brunswick	Unspecified	Modified	Intensive	1990	1990	Nouveau-Brunswick	n		
New Brunswick	Unspecified	None	Intensive	1990	1990	Nouveau-Brunswick	n		
Quebec	Recreation	Full	Intensive	1990	1990	Quebec	a	6579	6579
Quebec	Recreation	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Recreation	None	Intensive	1990	1990	Quebec	a	0	
Quebec	Residents	Full	Intensive	1990	1990	Quebec	a	513	513
Quebec	Residents	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Residents	None	Intensive	1990	1990	Quebec	a	3	3
Quebec	Forest industry	Full	Intensive	1990	1990	Quebec	a	101	101
Quebec	Forest industry	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Forest industry	None	Intensive	1990	1990	Quebec	a	0	
Quebec	Railways	Full	Intensive	1990	1990	Quebec	a	78	78
Quebec	Railways	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Railways	None	Intensive	1990	1990	Quebec	a	0	
Quebec	Other industry	Full	Intensive	1990	1990	Quebec	a	137	137
Quebec	Other industry	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Other industry	None	Intensive	1990	1990	Quebec	a	8	8
Quebec	Incendiary	Full	Intensive	1990	1990	Quebec	a	34	34
Quebec	Incendiary	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Incendiary	None	Intensive	1990	1990	Quebec	a	10	10
Quebec	Miscellaneous known causes	Full	Intensive	1990	1990	Quebec	s		
Quebec	Miscellaneous known causes	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Miscellaneous known causes	None	Intensive	1990	1990	Quebec	a	0	
Quebec	Lightning	Full	Intensive	1990	1990	Quebec	a	8560	8560
Quebec	Lightning	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Lightning	None	Intensive	1990	1990	Quebec	a	42	42
Quebec	Unspecified	Full	Intensive	1990	1990	Quebec	a	0	
Quebec	Unspecified	Modified	Intensive	1990	1990	Quebec	a	0	
Quebec	Unspecified	None	Intensive	1990	1990	Quebec	a	0	
Ontario	Unspecified	Full	Intensive	1990	1990	Ontario	a	24	24
Ontario	Unspecified	Modified	Intensive	1990	1990	Ontario	a	2	2
Ontario	Unspecified	None	Intensive	1990	1990	Ontario	a	0	
Ontario	Recreation	Full	Intensive	1990	1990	Ontario	a	5027	5027
Ontario	Recreation	Modified	Intensive	1990	1990	Ontario	a	315	315
Ontario	Recreation	None	Intensive	1990	1990	Ontario	a	5	5
Ontario	Residents	Full	Intensive	1990	1990	Ontario	a	654	654
Ontario	Residents	Modified	Intensive	1990	1990	Ontario	a	98	98
Ontario	Residents	None	Intensive	1990	1990	Ontario	s		
Ontario	Forest industry	Full	Intensive	1990	1990	Ontario	a	17	17
Ontario	Forest industry	Modified	Intensive	1990	1990	Ontario	a	0	
Ontario	Forest industry	None	Intensive	1990	1990	Ontario	s		
Ontario	Railways	Full	Intensive	1990	1990	Ontario	a	104	104
Ontario	Railways	Modified	Intensive	1990	1990	Ontario	a	4	4
Ontario	Railways	None	Intensive	1990	1990	Ontario	a	1	1
Ontario	Other industry	Full	Intensive	1990	1990	Ontario	a	8	8
Ontario	Other industry	Modified	Intensive	1990	1990	Ontario	a	0	
Ontario	Other industry	None	Intensive	1990	1990	Ontario	a	0	
Ontario	Incendiary	Full	Intensive	1990	1990	Ontario	a	101	101
Ontario	Incendiary	Modified	Intensive	1990	1990	Ontario	a	0	
Ontario	Incendiary	None	Intensive	1990	1990	Ontario	a	0	
Ontario	Miscellaneous known causes	Full	Intensive	1990	1990	Ontario	a	1602	1602
Ontario	Miscellaneous known causes	Modified	Intensive	1990	1990	Ontario	a	605	605
Ontario	Miscellaneous known causes	None	Intensive	1990	1990	Ontario	a	20	20
Ontario	Lightning	Full	Intensive	1990	1990	Ontario	a	190	190
Ontario	Lightning	Modified	Intensive	1990	1990	Ontario	s		
Ontario	Lightning	None	Intensive	1990	1990	Ontario	a	1	1
Manitoba	Recreation	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Recreation	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Recreation	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Residents	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Residents	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Residents	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Forest industry	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Forest industry	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Forest industry	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Railways	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Railways	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Railways	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Other industry	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Other industry	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Other industry	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Incendiary	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Incendiary	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Incendiary	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Miscellaneous known causes	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Miscellaneous known causes	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Miscellaneous known causes	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Lightning	Full	Intensive	1990	1990	Manitoba	U		
Manitoba	Lightning	Modified	Intensive	1990	1990	Manitoba	U		
Manitoba	Lightning	None	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Unspecified	Full	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Unspecified	Modified	Intensive	1990	1990	Manitoba	a	0	
Manitoba	Unspecified	None	Intensive	1990	1990	Manitoba	a	0	
Saskatchewan	Recreation	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Recreation	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Recreation	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Residents	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Residents	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Residents	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Forest industry	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Forest industry	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Forest industry	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Railways	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Railways	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Railways	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Other industry	Full	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Other industry	Modified	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Other industry	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Incendiary	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Incendiary	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Incendiary	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Miscellaneous known causes	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Miscellaneous known causes	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Miscellaneous known causes	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Lightning	Full	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Lightning	Modified	Intensive	1990	1990	Saskatchewan	u		
Saskatchewan	Lightning	None	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Unspecified	Full	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Unspecified	Modified	Intensive	1990	1990	Saskatchewan	a	0	
Saskatchewan	Unspecified	None	Intensive	1990	1990	Saskatchewan	a	0	
Alberta	Recreation	Full	Intensive	1990	1990	Alberta	a	300	300
Alberta	Recreation	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Recreation	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Residents	Full	Intensive	1990	1990	Alberta	a	548	548
Alberta	Residents	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Residents	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Forest industry	Full	Intensive	1990	1990	Alberta	a	214	214
Alberta	Forest industry	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Forest industry	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Railways	Full	Intensive	1990	1990	Alberta	a	6	6
Alberta	Railways	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Railways	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Other industry	Full	Intensive	1990	1990	Alberta	a	96	96
Alberta	Other industry	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Other industry	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Incendiary	Full	Intensive	1990	1990	Alberta	a	196	196
Alberta	Incendiary	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Incendiary	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Miscellaneous known causes	Full	Intensive	1990	1990	Alberta	a	984	984
Alberta	Miscellaneous known causes	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Miscellaneous known causes	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Lightning	Full	Intensive	1990	1990	Alberta	a	30890	30890
Alberta	Lightning	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Lightning	None	Intensive	1990	1990	Alberta	a	0	
Alberta	Unspecified	Full	Intensive	1990	1990	Alberta	a	809	809
Alberta	Unspecified	Modified	Intensive	1990	1990	Alberta	a	0	
Alberta	Unspecified	None	Intensive	1990	1990	Alberta	a	0	
British Columbia	Recreation	Full	Intensive	1990	1990	Colombie-Britannique	a	1120	1120
British Columbia	Recreation	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Recreation	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Residents	Full	Intensive	1990	1990	Colombie-Britannique	a	706	706
British Columbia	Residents	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Residents	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Forest industry	Full	Intensive	1990	1990	Colombie-Britannique	a	3871	3871
British Columbia	Forest industry	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Forest industry	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Railways	Full	Intensive	1990	1990	Colombie-Britannique	a	36	36
British Columbia	Railways	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Railways	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Other industry	Full	Intensive	1990	1990	Colombie-Britannique	a	25790	25790
British Columbia	Other industry	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Other industry	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Incendiary	Full	Intensive	1990	1990	Colombie-Britannique	a	7042	7042
British Columbia	Incendiary	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Incendiary	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Miscellaneous known causes	Full	Intensive	1990	1990	Colombie-Britannique	a	1446	1446
British Columbia	Miscellaneous known causes	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Miscellaneous known causes	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Lightning	Full	Intensive	1990	1990	Colombie-Britannique	a	35504	35504
British Columbia	Lightning	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Lightning	None	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Unspecified	Full	Intensive	1990	1990	Colombie-Britannique	a	268	268
British Columbia	Unspecified	Modified	Intensive	1990	1990	Colombie-Britannique	a	0	
British Columbia	Unspecified	None	Intensive	1990	1990	Colombie-Britannique	a	0	
Yukon	Recreation	Full	Intensive	1990	1990	Yukon	a	1095	1095
Yukon	Recreation	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Recreation	None	Intensive	1990	1990	Yukon	u		
Yukon	Residents	Full	Intensive	1990	1990	Yukon	a	19	19
Yukon	Residents	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Residents	None	Intensive	1990	1990	Yukon	u		
Yukon	Forest industry	Full	Intensive	1990	1990	Yukon	a	0	
Yukon	Forest industry	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Forest industry	None	Intensive	1990	1990	Yukon	u		
Yukon	Railways	Full	Intensive	1990	1990	Yukon	a	0	
Yukon	Railways	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Railways	None	Intensive	1990	1990	Yukon	u		
Yukon	Other industry	Full	Intensive	1990	1990	Yukon	a	9	9
Yukon	Other industry	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Other industry	None	Intensive	1990	1990	Yukon	u		
Yukon	Incendiary	Full	Intensive	1990	1990	Yukon	a	0	
Yukon	Incendiary	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Incendiary	None	Intensive	1990	1990	Yukon	u		
Yukon	Miscellaneous known causes	Full	Intensive	1990	1990	Yukon	a	1	1
Yukon	Miscellaneous known causes	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Miscellaneous known causes	None	Intensive	1990	1990	Yukon	u		
Yukon	Lightning	Full	Intensive	1990	1990	Yukon	a	168477	168477
Yukon	Lightning	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Lightning	None	Intensive	1990	1990	Yukon	u		
Yukon	Unspecified	Full	Intensive	1990	1990	Yukon	a	0	
Yukon	Unspecified	Modified	Intensive	1990	1990	Yukon	u		
Yukon	Unspecified	None	Intensive	1990	1990	Yukon	u		
Northwest Territories	Recreation	Full	Intensive	1990	1990	Territoires du Nord-Ouest	U		
Northwest Territories	Recreation	Modified	Intensive	1990	1990	Territoires du Nord-Ouest	U		
Northwest Territories	Recreation	None	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Residents	Full	Intensive	1990	1990	Territoires du Nord-Ouest	U		
Northwest Territories	Residents	Modified	Intensive	1990	1990	Territoires du Nord-Ouest	U		
Northwest Territories	Residents	None	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Forest industry	Full	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Forest industry	Modified	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Forest industry	None	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Railways	Full	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Railways	Modified	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Railways	None	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Other industry	Full	Intensive	1990	1990	Territoires du Nord-Ouest	s		
Northwest Territories	Other industry	Modified	Intensive	1990	1990	Territoires du Nord-Ouest	s		
Northwest Territories	Other industry	None	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Incendiary	Full	Intensive	1990	1990	Territoires du Nord-Ouest	U		
Northwest Territories	Incendiary	Modified	Intensive	1990	1990	Territoires du Nord-Ouest	U		
Northwest Territories	Incendiary	None	Intensive	1990	1990	Territoires du Nord-Ouest	a	0	
Northwest Territories	Miscellaneous known causes	Full	Intensive	1990	1990	Territoires du Nord-Ouest	U		
