# Age        Mg/Ca        SST     SSTadj.
2628        3.74       28.6       29.4
2640        3.07       26.4       27.2
2652        3.24       27.0       27.8
2664        3.39       27.5       28.4
2676        3.95       29.2       30.1
2688        3.34       27.4       28.2
2700        3.32       27.3       28.1
2712        3.33       27.3       28.2
2724        2.97       26.0       26.9
2736        2.68       24.9       25.8
2748        3.16       26.7       27.6
2760        3.40       27.6       28.4
2772        3.33       27.3       28.2
2784        3.14       26.7       27.6
2796        3.13       26.6       27.6
2808        3.40       27.6       28.6
2820        3.36       27.4       28.4
2832        3.12       26.6       27.7
2844        3.40       27.6       28.6
2856        3.45       27.7       28.8
2868        3.57       28.1       29.2
2880        3.21       26.9       28.1
2892        3.30       27.2       28.4
2904        3.22       26.9       28.2
2916        3.15       26.7       27.9
2928        3.47       27.8       29.0
2940        3.93       29.2       30.5
2952        3.92       29.1       30.5
2964        3.70       28.5       29.9
2976        3.41       27.6       29.0
2988        3.00       26.2       27.6
3000        3.08       26.5       27.9
3012        3.30       27.2       28.7
3024        3.49       27.8       29.3
3036        3.53       28.0       29.5
3048        3.50       27.9       29.4
3060        3.40       27.6       29.1
3072        3.42       27.6       29.2
3084        3.59       28.2       29.8
3096        3.52       27.9       29.6
3108        3.60       28.2       29.9
3120        3.75       28.6       30.4
3132        3.63       28.3       30.0
3144        3.73       28.6       30.4
3156        3.65       28.3       30.2
3168        3.30       27.2       29.1
3180        3.71       28.5       30.4
3192        3.68       28.4       30.3
3204        3.91       29.1       31.0
3216        3.94       29.2       31.2
3228        3.46       27.7       29.7
3240        3.82       28.8       30.9
3252        3.45       27.7       29.8
3264        3.52       27.9       30.0
3276        3.67       28.4       30.5
3288        3.61       28.2       30.4
3300        3.78       28.7       30.9
3312        3.30       27.2       29.4
3324        3.10       26.5       28.8
3336        3.80       28.8       31.1
3348        3.73       28.6       30.9
3360        3.68       28.4       30.8
3372        3.61       28.2       30.6
3384        3.65       28.3       30.7
3396        3.62       28.2       30.7
3408        3.83       28.9       31.3
3420        3.78       28.7       31.2
3432        3.65       28.3       30.9
3444        3.70       28.5       31.0
3456        3.80       28.8       31.4
3468        3.94       29.2       31.8
3480        3.54       28.0       30.6
