% Supporting datasets from Abatzoglou and Williams, Impact of anthropogenic climate change on wildfire across western US forests, PNAS201607171
% data from ERA-Interm reanalysis
% Z and Z_NOACC refer to standardized fuel aridity indices calculated across forested regions only using the primary gridded datasets of Abatzoglou (2013) and PRISM
% ZH and ZH_NOACC refer to the percent of forested land with fuel aridity exceeding 1 sigma
% FWSL and FWSL_NOACC refer to the fire weather season length expressed as a percent of normal from 1981-2010 NOACC baseline, data averaged over forested region
% HFD and HFD_NOACC refer to the number of days per year with fire danger indices exceedin the 1981-2010 95th percentile as derived from the 1981-2010 NOACC baseline, data averaged over forested region
% NOACC refers to metrics calculated after excluding the anthropogenic climate signal
% NaN refers to no data for the given metric and year

year, Z PDSI, Z FWI, Z ERC, Z FFDI, Z ETo, Z CWD, Z KBDI, Z VPD, Z MEAN, ZH PDSI, ZH FWI, ZH ERC, ZH FFDI, ZH ETo, ZH CWD, ZH KBDI, ZH VPD, ZH MEAN, FWSL KBDI, FWSL FFDI, FWSL FWI, FWSL ERC, FWSL MEAN, HFD KBDI, HFD FFDI, HFD FWI, HFD ERC, HFD MEAN, Z_NOACC PDSI, Z_NOACC FWI, Z_NOACC ERC, Z_NOACC FFDI, Z_NOACC ETo, Z_NOACC CWD, Z_NOACC KBDI, Z_NOACC VPD, Z_NOACC MEAN, ZH_NOACC PDSI, ZH_NOACC FWI, ZH_NOACC ERC, ZH_NOACC FFDI, ZH_NOACC ETo, ZH_NOACC CWD, ZH_NOACC KBDI, ZH_NOACC VPD, ZH_NOACC MEAN, FWSL_NOACC KBDI, FWSL_NOACC FFDI, FWSL_NOACC FWI, FWSL_NOACC ERC, FWSL_NOACC MEAN, HFD_NOACC KBDI, HFD_NOACC FFDI, HFD_NOACC FWI, HFD_NOACC ERC, HFD_NOACC MEAN,
1989, 0.20, -0.06, -0.09, -0.08, 0.52, 0.01, -0.19, 0.10, 0.05,  6.3, 13.4,  9.2, 12.7, 21.1, 14.1, 11.3, 13.4, 12.7, 90.2, 96.1, 95.4, 103.5, 96.3, 14.7, 17.6, 15.6, 11.0, 14.7, 0.10, -0.21, -0.16, -0.32, 0.14, -0.15, -0.50, -0.22, -0.16,  5.6, 12.7,  8.5, 11.3, 17.6, 12.7,  9.2, 10.6, 11.0, 73.1, 88.7, 90.5, 101.6, 88.5, 11.0, 15.3, 14.3, 10.1, 12.7 
1990, -0.15, -0.34, -0.55, -0.11, 0.24, -0.25, -0.00, 0.29, -0.11,  6.3,  0.0,  0.0,  0.0,  1.4,  0.7,  6.3,  5.6,  2.6, 106.5, 101.0, 92.9, 89.7, 97.5, 17.4, 21.0, 16.4,  9.5, 16.1, -0.26, -0.49, -0.63, -0.36, -0.16, -0.41, -0.35, -0.09, -0.34,  0.7,  0.0,  0.0,  0.0,  0.0,  0.0,  2.1,  0.0,  0.4, 87.6, 94.3, 87.4, 88.3, 89.4, 10.9, 18.0, 14.9,  8.2, 13.0 
1991, -0.38, -0.26, -0.33, -0.21, -0.48, -0.20, -0.06, -0.22, -0.27,  0.0,  3.5,  1.4,  0.0,  0.0,  0.0,  8.5,  0.0,  1.7, 120.2, 108.6, 103.9, 100.3, 108.2, 23.7, 17.0, 17.2, 16.3, 18.6, -0.50, -0.43, -0.42, -0.49, -0.91, -0.36, -0.42, -0.59, -0.52,  0.0,  1.4,  1.4,  0.0,  0.0,  0.0,  4.9,  0.0,  1.0, 97.2, 98.7, 97.0, 98.9, 97.9, 15.7, 14.1, 15.3, 13.6, 14.7 
1992, 0.47, -0.05, 0.07, 0.16, 1.06, 0.08, -0.06, 0.66, 0.30, 42.3, 13.4, 17.6, 16.9, 53.5, 15.5, 14.1, 37.3, 26.3, 88.8, 104.8, 88.5, 102.3, 96.1, 13.0, 16.1, 14.6,  9.6, 13.3, 0.32, -0.24, -0.02, -0.13, 0.60, -0.10, -0.41, 0.24, 0.03, 36.6, 10.6, 16.2, 14.1, 35.2, 13.4,  5.6, 22.5, 19.3, 67.7, 95.1, 81.8, 100.5, 86.3,  6.9, 13.1, 12.7,  8.1, 10.2
1993, -0.85, -0.63, -1.16, -0.79, -0.61, -0.93, -0.21, -0.99, -0.77,  0.0, 14.1,  0.0,  0.7,  6.3,  0.7, 14.1,  0.0,  4.5, 85.6, 75.4, 75.6, 69.7, 76.5, 15.0, 12.3, 13.2,  6.8, 11.8, -0.92, -0.80, -1.26, -1.06, -1.09, -1.07, -0.56, -1.37, -1.02,  0.0, 12.7,  0.0,  0.0,  0.0,  0.0,  5.6,  0.0,  2.3, 69.1, 66.3, 70.1, 67.0, 68.1,  9.6, 10.2, 11.9,  5.9,  9.4 
1994, 0.77, 0.99, 0.84, 1.26, 1.65, 0.96, 1.41, 1.68, 1.20, 34.5, 55.6, 47.2, 66.9, 88.7, 55.6, 64.8, 91.5, 63.1, 177.9, 130.9, 131.8, 114.2, 138.7, 45.6, 30.0, 27.5, 35.3, 34.6, 0.64, 0.77, 0.72, 0.88, 1.15, 0.76, 0.93, 1.16, 0.88, 21.8, 45.8, 40.8, 52.8, 66.9, 41.5, 44.4, 65.5, 47.4, 151.8, 122.0, 124.9, 112.6, 127.9, 35.8, 24.2, 24.3, 31.1, 28.8
1995, -0.58, -0.23, -0.43, -0.09, -0.16, -0.30, -0.04, -0.15, -0.25,  0.7,  4.2,  0.0,  4.9,  8.5,  1.4,  4.9,  8.5,  4.1, 93.9, 96.6, 90.6, 91.9, 93.2, 22.6, 17.9, 16.6, 11.1, 17.1, -0.67, -0.47, -0.54, -0.44, -0.69, -0.50, -0.43, -0.62, -0.54,  0.0,  2.1,  0.0,  1.4,  2.8,  0.7,  3.5,  2.1,  1.6, 71.5, 85.5, 82.8, 89.6, 82.4, 13.5, 14.6, 14.5,  8.7, 12.8 
1996, -0.36, 0.50, 0.41, 0.82, 0.78, 0.44, 0.62, 0.89, 0.51,  9.9, 14.1,  6.3, 23.2, 26.1, 28.2, 23.9, 31.0, 20.3, 128.8, 123.6, 120.8, 109.4, 120.6, 29.1, 27.8, 21.6, 28.9, 26.9, -0.53, 0.25, 0.28, 0.39, 0.21, 0.23, 0.12, 0.36, 0.17,  6.3,  5.6,  3.5,  2.8,  2.1,  7.0,  9.9,  1.4,  4.8, 99.0, 112.7, 111.1, 107.1, 107.5, 18.0, 22.7, 18.8, 24.3, 20.9
1997, -0.52, -0.74, -0.75, -0.58, 0.04, -0.46, -0.44, -0.14, -0.45,  2.8,  0.7,  0.7,  0.0,  6.3,  4.2,  3.5,  2.8,  2.6, 66.9, 79.5, 66.6, 69.3, 70.6, 10.3, 11.7, 11.2,  6.9, 10.0, -0.66, -0.97, -0.87, -0.94, -0.53, -0.68, -0.86, -0.69, -0.78,  2.1,  0.0,  0.0,  0.0,  1.4,  2.1,  0.7,  0.0,  0.8, 51.4, 67.5, 60.5, 66.3, 61.4,  6.2,  8.6,  9.7,  5.5,  7.5 
1998, -0.52, 0.11, -0.16, 0.34, 0.29, 0.09, 1.06, 0.66, 0.23,  6.3, 33.1, 21.8, 32.4, 28.2, 21.8, 42.3, 33.1, 27.4, 156.3, 111.9, 110.0, 95.1, 118.3, 38.0, 24.8, 20.6, 21.5, 26.2, -0.67, -0.13, -0.30, -0.08, -0.33, -0.13, 0.51, 0.04, -0.14,  6.3, 23.9, 18.3, 21.1, 11.3, 18.3, 28.2, 15.5, 17.9, 132.6, 100.7, 102.0, 92.6, 107.0, 27.3, 19.9, 17.7, 17.6, 20.6 
1999, 0.29, 0.27, 0.19, 0.37, 0.06, 0.54, 0.20, 0.16, 0.26,  0.0, 16.2, 12.7, 22.5,  1.4, 10.6, 17.6,  4.2, 10.7, 138.1, 123.1, 116.4, 124.9, 125.6, 21.6, 21.9, 21.2, 23.2, 22.0, 0.09, -0.01, 0.04, -0.11, -0.61, 0.24, -0.36, -0.40, -0.14,  0.0, 10.6,  7.7,  4.2,  0.0,  0.7,  5.6,  0.0,  3.6, 88.1, 107.4, 105.9, 122.2, 105.9,  9.1, 15.7, 18.3, 17.4, 15.1 
2000, 0.98, 1.13, 0.86, 1.05, 1.46, 0.95, 1.30, 1.13, 1.11, 52.1, 52.1, 45.8, 50.0, 71.1, 52.1, 63.4, 51.4, 54.8, 172.6, 129.3, 140.0, 115.9, 139.4, 39.5, 28.9, 28.8, 29.3, 31.6, 0.82, 0.80, 0.70, 0.54, 0.78, 0.65, 0.64, 0.49, 0.68, 46.5, 37.3, 39.4, 35.9, 40.1, 38.0, 26.1, 29.6, 36.6, 143.0, 115.6, 128.6, 112.9, 125.0, 27.7, 21.8, 24.6, 24.9, 24.8
2001, 1.33, 0.78, 0.83, 0.99, 1.23, 0.92, 0.83, 1.15, 1.01, 73.2, 35.2, 44.4, 52.8, 66.2, 52.8, 38.7, 64.1, 53.4, 150.7, 128.4, 118.3, 123.2, 130.1, 30.2, 23.0, 20.4, 19.8, 23.4, 1.10, 0.41, 0.66, 0.45, 0.55, 0.63, 0.20, 0.47, 0.56, 61.3, 21.1, 36.6, 16.2, 27.5, 28.2, 16.2, 20.4, 28.4, 107.4, 111.5, 104.9, 120.5, 111.1, 17.0, 15.5, 16.6, 14.7, 16.0 
