# West Belukha Plateau Firn Core/Snowpit Isotope and Major Ions Data
#----------------------------------------------------------------------- 
#               World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data, 
# plus the Online Resource and date accessed.
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:13606
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/belukha/belukha2005firn.txt 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2012-12-06
#--------------------
# Title
#	Study_Name: West Belukha Plateau Firn Core/Snowpit Isotope and Major Ions Data
#--------------------
# Investigators
#	Investigators: Aizen, V.B.; Aizen, E.; Fujita, K.; Nikitin, S.A.; Kreutz, K.J.; Takeuchi, L.N.
#--------------------
# Description_and_Notes
# 
# High resolution d18O, D2H, Na, K, Mg, Ca, Cl, NO3 and SO4 data from the 2001 
# W.Belukha Snow-Firn Plateau 21m firn-ice core and snow pits.  
# 21 m Depth Firn-Ice Core (49°48.308 N  86°33.694 E; 4115 m asl., July 2001)	
#
# Additional citations:
# Nakazawa, F., K. Fujita, N. Takeuchi., T. Fujiki, J. Utake, V. Aizen, M. Nakawo. 2005. 
# Dating of seasonal and annual layers in alpine glacier ice using pollen analysis. 
# Journal of Glaciology, V.51, No. 174, pp. 453-490. 
# 
# Aizen, V.B., E.M. Aizen, D. R. Joswiak, K. Fujita, N. Takeuchi, S.A. Nikitin. 2006. 
# Climatic and atmospheric circulation pattern variability from ice-core isotope/
# geochemistry records  (Altai, Tien Shan and Tibet), Annals of Glaciology, V.43, pp.49-60.
# 
# Takeuchi, N., J. Uetake, K. Fujita, V. Aizen, S. Nikitin. 2006. A snow algal 
# community on Akkem Glacier in the Russian Altai Mountains. Annals of Glaciology, 
# V. 43, pp.
# 
# Nakazawa, F., T. Miyaki, K. Fujita, N.Takeuchi, J. Uetaki, T. Fujiki, V. Aizen, 
# M. Nakawo. 2011. Seasonal resolution interpretation of chemical signals enabled by 
# seasonal dating from pollen analysis in a pit at Belukha glacier of Altai Mountains, 
# Russia. Arctic, Antarctic, and Alpine Research, Vol. 43, No. 1, 2011, pp. 66–72"
# 
# Uetake, Jun,  Shiro Kohshima, Fumio Nakazawa, Nozomu Takeuchi, Koji Fujita, 
# Takayuki Miyake, Hideki Narita, Vladimir B Aizen, Masayoshi Nakawo. 2011. 
# Psychrophilic yeast inhabited in ice core from Belukha Glacier, Siberian Altai 
# indicate recent warming in Siberian Altai. Journal of Geophysical Research, 
# vol. 116, G01019, DOI:10.1029/2010JG001337"
# 
# 
#--------------------
# Publication
#	Authors: Aizen, V.B.; Aizen, E.; Fujita, K.; Nikitin, S.A.; Kreutz, K.J.; Takeuchi, L.N.
#       Published_Date_or_YEAR: 2005-12-01
#	Published_Title: Stable-isotope time series and precipitation origin from firn-core and snow samples, Altai glaciers, Siberia
#	Journal_Name: Journal of Glaciology
#	Volume: 51
#	Issue: 175
#	Pages: 637 - 654
#	DOI: 10.3189/172756505781829034
#	Abstract: In the summers of 2001 and 2002, glacio-climatological research was performed at 4110-4120 m a.s.l. on the Belukha snow/firn plateau, Siberian Altai. Hundreds of samples from snow pits and a 21 m snow/firn core were collected to establish the annual/seasonal/monthly depth-accumulation scale, based on stable-isotope records, stratigraphic analyses and meteorological and synoptic data. The fluctuations of water stable-isotope records show well-preserved seasonal variations. The d18O and dD relationships in precipitation, snow pits and the snow/firn core have the same slope to the covariance as that of the global meteoric water line. The origins of precipitation nourishing the Belukha plateau were determined based on clustering analysis of d18O and d-excess records and examination of synoptic atmospheric patterns. Calibration and validation of the developed clusters occurred at event and monthly timescales with about 15% uncertainty. Two distinct moisture sources were shown: oceanic sources with d-excess <12‰, and the Aral-Caspian closed drainage basin sources with d-excess >12‰. Two-thirds of the annual accumulation was from oceanic precipitation, of which more than half had isotopic ratios corresponding to moisture evaporated over the Atlantic Ocean. Precipitation from the Arctic/Pacific Ocean had the lowest deuterium excess, contributing one-tenth to annual accumulation. 
#
#--------------------
# Funding_Agency 
#	Funding_Agency_Name: Kyoto Institute of Humanity and Nature (Japan) 
#	Grant: 
#---------------------
#	Funding_Agency_Name: US Department of Energy 
#	Grant: contract A107 
#-------------------- 
# Site_Information 
#       Site_Name: West Belukha Plateau Firn
#	Location: Europe>Eastern Europe>Russia
#	Country: Russia
#	Northernmost_Latitude: 49.8051
# 	Southernmost_Latitude: 49.8051
# 	Easternmost_Longitude: 86.5616
# 	Westernmost_Longitude: 86.5616
# 	Elevation: 4115 m 
#------------------   
# Data_Collection  
#	Core_Name: BelukhaFirn 
#	First_Year: 1984 
#	Last_Year: 2001 
#	Time_Unit: AD
#	Core_Length: 21 m  
#	Notes: 
#------------------
# Chronology 
#
# 
# 
#------------------
# Variables
# 
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: material, error, units, anomaly, period, archive, detail, method, C or N for Character or Numeric data) 
# Data line format: tab-delimited text, variable short name as header
# 
# Missing values -999.0
#

depth_m	DepthTop(m), , , m, , , , N
depth_m	DepthBottom(m), , , m, , , , N
d18OiceVSMOW	delta18O ice, , , per mil VSMOW, , , , N
d2HiceVSMOW	delta2H ice, , , per mil VSMOW, , , , N
hcooh_ppb	HCOOH - concentration, , , ppb, , , , N
cl_ppb	Cl - concentration, , , ppb, , , , N
no3_ppb	NO3 - concentration, , , ppb, , , , N
so4_ppb	SO4 - concentration, , , ppb, , , , N
c2o4_ppb	C2O4 - concentration, , , ppb, , , , N
po4_ppb	PO4 - concentration, , , ppb, , , , N
na_ppb	Na - concentration, , , ppb, , , , N
nh4_ppb	NH4 - concentration, , , ppb, , , , N
k_ppb	K - concentration, , , ppb, , , , N
mg_ppb	Mg - concentration, , , ppb, , , , N
ca_ppb	Ca 2+ concentration, , , ppb, , , , N

depth_m	depth_m	d18OiceVSMOW	d2HiceVSMOW	hcooh_ppb	cl_ppb	no3_ppb	so4_ppb	c2o4_ppb po4_ppb	na_ppb	nh4_ppb	k_ppb	mg_ppb	ca_ppb
7.12	7.2	-15.36	-114.45	108.4	22.0	280.0	618.9	12.0	-999.0	15.8	176.8	13.2	5.9	47.3
7.2	7.29	-15.17	-111.25	128.8	20.1	204.2	339.9	7.8	-999.0	14.6	140.0	8.3	3.0	18.0
7.29	7.38	-15.08	-113.75	126.9	17.0	154.8	331.8	11.0	-999.0	10.0	118.0	8.0	4.1	24.4
7.38	7.47	-14.16	-102.4	69.4	20.7	158.6	264.5	6.5	-999.0	9.3	94.6	26.2	2.6	13.3
7.47	7.55	-13.29	-92.2	107.3	28.2	209.7	364.9	6.5	-999.0	13.7	122.1	9.1	4.4	25.5
7.55	7.62	-12.15	-90.1	348.5	87.5	568.8	1390.6	32.4	16.1	49.0	391.2	28.2	36.7	210.7
7.62	7.7	-12.31	-84.6	693.6	67.5	184.7	330.3	37.6	11.6	32.6	248.1	15.5	22.6	86.4
7.7	7.76	-13.78	-102.2	271.7	24.6	169.3	315.8	6.9	-999.0	15.4	177.1	7.2	6.1	18.2
7.76	7.86	-12.54	-93.7	232.0	20.6	227.0	206.3	5.5	-999.0	24.0	163.2	8.9	3.5	19.2
7.86	7.96	-12.93	-92.9	222.0	30.0	318.0	246.5	7.3	-999.0	15.0	205.3	18.9	3.4	17.6
7.96	8.055	-12.69	-91.1	366.1	32.9	261.4	154.3	11.0	6.2	9.0	217.0	12.8	2.2	15.7
8.055	8.17	-13.64	-102.5	-999.0	59.1	173.7	111.9	5.1	4.0	13.0	131.2	8.9	2.2	11.9
8.17	8.28	-16.2	-117.6	-999.0	38.6	245.9	265.1	12.1	5.8	10.2	173.3	19.9	3.5	27.6
8.28	8.375	-15.57	-113.85	121.9	34.6	273.6	694.9	13.5	8.7	20.7	192.1	32.2	10.6	60.7
8.375	8.47	-14.7	-107.87	394.5	58.9	287.6	564.6	22.9	10.5	36.1	225.3	20.9	16.5	127.2
8.47	8.55	-14.6	-106.05	635.8	132.1	1001.6	1223.2	33.2	16.1	54.5	557.7	45.7	30.1	247.6
8.55	8.62	-16.84	-123.2	-999.0	48.5	317.1	445.4	22.0	9.8	26.9	165.4	24.9	9.0	52.3
8.62	8.69	-16.5	-119.75	225.0	82.7	431.3	712.9	34.3	15.8	47.0	215.3	55.7	16.2	152.9
8.69	8.78	-15.13	-109.23	387.0	99.3	404.3	618.3	38.4	20.9	66.3	222.4	96.2	20.9	151.8
8.78	8.87	-12.95	-94.97	467.3	75.1	466.8	850.7	59.1	15.9	36.5	290.2	30.4	22.6	217.2
8.87	8.94	-12.61	-89.97	256.6	51.2	576.3	843.2	35.5	14.9	28.8	321.9	50.3	20.2	118.3
8.94	9.03	-12.44	-91.83	646.9	54.2	402.3	812.2	80.3	32.0	30.9	309.0	39.2	29.7	213.4
9.03	9.13	-13.48	-99.8	953.7	123.9	585.9	1292.0	121.3	32.8	97.4	395.2	57.5	44.3	453.5
9.13	9.2	-13.51	-99.7	499.5	66.9	397.0	809.3	52.3	17.4	37.4	266.7	32.3	21.4	203.2
9.2	9.28	-13.15	-93.63	335.6	52.8	279.0	553.4	25.6	14.2	26.1	177.4	40.8	16.0	119.3
9.28	9.345	-13.08	-93.25	279.5	48.1	336.4	514.1	16.9	9.2	23.9	204.0	16.7	10.2	83.6
9.345	9.41	-13.94	-100.15	447.7	74.0	529.6	1163.4	45.3	17.8	44.2	301.2	35.3	27.8	256.9
9.41	9.48	-14.65	-104.75	88.4	20.8	209.9	367.3	10.6	7.8	8.7	121.5	12.4	4.6	29.0
9.48	9.55	-15.4	-112	233.4	24.3	204.0	464.7	12.0	4.9	18.6	165.9	17.8	7.1	42.7
9.55	9.615	-15.36	-112.2	658.6	72.0	475.4	1432.2	34.9	20.0	38.0	395.5	38.6	32.5	296.8
9.615	9.69	-14.06	-103.35	686.6	63.2	569.2	915.6	22.8	21.5	27.0	451.6	32.5	19.2	156.2
9.69	9.76	-13.87	-95.75	400.3	61.6	457.9	536.3	49.4	10.9	20.9	284.7	30.1	13.3	109.4
9.76	9.86	-14.08	-98.5	-999.0	22.6	276.1	298.7	11.8	4.4	14.4	137.2	29.5	4.0	18.9
9.86	9.95	-14.49	-103.15	170.1	29.1	201.5	401.8	21.1	10.0	18.4	129.2	30.2	7.3	37.7
9.95	10.035	-14.29	-102.8	-999.0	25.4	149.7	235.3	8.5	5.6	12.5	69.8	22.2	2.5	11.8
10.035	10.12	-14.3	-104.9	53.3	22.9	301.1	459.4	11.1	5.6	7.9	140.9	20.9	3.2	14.7
10.12	10.19	-14.25	-101.95	-999.0	31.5	507.0	680.9	36.0	7.4	9.7	238.7	31.1	6.2	25.8
10.19	10.3	-15.94	-115.6	155.9	26.5	225.9	546.9	33.6	8.5	11.5	160.9	22.2	8.9	56.1
10.3	10.4	-16.75	-124.93	155.1	32.6	88.5	183.8	11.3	-999.0	17.9	76.1	51.6	4.3	23.7
10.4	10.475	-16.65	-121.1	211.5	48.2	94.5	249.6	15.4	-999.0	25.2	92.8	63.8	5.6	37.5
10.475	10.54	-16.35	-116.2	497.7	48.5	230.2	653.3	34.0	21.5	48.8	186.2	55.2	29.3	198.0
10.54	10.6	-17.23	-125.5	56.6	34.0	72.1	88.5	6.1	4.8	8.3	26.2	16.0	1.4	8.3
10.6	10.67	-16.64	-118.6	29.2	76.2	572.6	1469.2	37.9	12.1	13.0	364.9	28.5	13.5	75.5
10.67	10.74	-14.01	-95.55	332.6	67.4	459.2	677.3	35.5	14.7	17.5	297.4	19.9	15.1	117.5
10.74	10.835	-15.21	-114.23	75.4	41.8	200.9	258.1	13.0	7.6	8.5	101.1	15.3	3.8	20.6
10.835	10.89	-16.36	-123.6	183.4	34.6	210.5	299.2	11.4	8.2	12.1	117.2	19.6	4.1	27.6
10.89	10.945	-14.56	-110.3	204.8	62.6	190.1	271.6	22.5	15.2	29.4	107.7	78.6	7.8	38.5
10.945	11.03	-13.66	-98.65	187.9	50.4	159.6	372.3	42.6	8.2	25.3	126.0	9.2	14.3	58.7
11.03	11.11	-14.66	-106.7	124.6	28.8	148.8	226.8	18.0	5.6	9.7	97.7	6.7	3.8	25.4
11.11	11.19	-17.09	-126.25	79.4	33.3	325.7	850.1	45.3	11.5	11.4	217.0	18.6	6.8	54.1
