# Illimani, Bolivia Holocene Ice Core Black Carbon Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26490 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/illimani/illimani2019rbc.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: chemistry
#---------------------------------------
# Contribution_Date
#    Date: 2019-03-28
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-03-28
#---------------------------------------
# Title
#    Study_Name: Illimani, Bolivia Holocene Ice Core Black Carbon Data
#---------------------------------------
# Investigators
#      Investigators: Osmont, D.; Sigl, M.; Eichler, A.; Jenk, T.M.; Schwikowski, M.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Refractory black carbon (rBC) record obtained from the Illimani 1999 ice core spanning 11000 BCE-1999 CE, raw data. Dating uncertainties are +/- 5 years for the time period 1800-1999 CE (+/- 2 year in the vicinity of reference horizons), +/- 20 years for the time period 1250-1800 CE and +/- 110 years at the youngest 14C age (1060-1280 BP).
#---------------------------------------
# Publication
# Authors: Dimitri Osmont, Michael Sigl, Anja Eichler, Theo M. Jenk, and Margit Schwikowski
# Published_Date_or_Year: 2019-03-28
# Published_Title: A Holocene black carbon ice-core record of biomass burning in the Amazon Basin from Illimani, Bolivia
# Journal_Name: Climate of the Past
# Volume: 15
# Edition: 
# Issue: 2
# Pages: 579-592
# Report Number: 
# DOI: 10.5194/cp-15-579-2019
# Online_Resource: https://www.clim-past.net/15/579/2019/
# Full_Citation: 
# Abstract: The Amazon Basin is one of the major contributors to global biomass burning emissions. However, regional paleofire trends remain particularly unknown. Due to their proximity to the Amazon Basin, Andean ice cores are suitable to reconstruct paleofire trends in South America and improve our understanding of the complex linkages between fires, climate and humans. Here we present the first refractory black carbon (rBC) ice-core record from the Andes as a proxy for biomass burning emissions in the Amazon Basin, derived from an ice core drilled at 6300 m.a.s.l. from the Illimani glacier in the Bolivian Andes and spanning the entire Holocene back to the last deglaciation 13 000 years ago. The Illimani rBC record displays a strong seasonality with low values during the wet season and high values during the dry season due to the combination of enhanced biomass burning emissions in the Amazon Basin and less precipitation at the Illimani site. Significant positive (negative) correlations were found with reanalyzed temperature (precipitation) data for regions in eastern Bolivia and western Brazil characterized by substantial fire activity. rBC long-term trends indirectly reflect regional climatic variations through changing biomass burning emissions as they show higher (lower) concentrations during warm-dry (cold-wet) periods, in line with climate variations such as the Younger Dryas, the 8.2 ka event, the Holocene Climatic Optimum, the Medieval Warm Period and the Little Ice Age. The highest rBC concentrations of the entire record occurred during the Holocene Climatic Optimum between 7000 and 3000 BCE, suggesting that this exceptionally warm and dry period caused high levels of biomass burning activity, unprecedented in the context of the past 13 000 years. Recent rBC levels, rising since 1730 CE in the context of increasing temperatures and deforestation, are similar to those of the Medieval Warm Period. No decrease in fire activity was observed in the 20th century, in contradiction to global biomass burning reconstructions based on charcoal data.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Swiss National Science Foundation SNF
#    Grant: Sinergia 154450
#---------------------------------------
# Site Information
# Site_Name: Illimani
# Location: South America>Bolivia
# Country: Bolivia
# Northernmost_Latitude: -16.65
# Southernmost_Latitude: -16.65
# Easternmost_Longitude: -67.7833
# Westernmost_Longitude: -67.7833
# Elevation: 6300
#---------------------------------------
# Data_Collection
#   Collection_Name: Illimani1999rBC
#   First_Year: -11050
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length: 138.7
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
# The timescale for the Illimani core was derived using annual layer-counting, known reference horizons from nuclear bomb testing in 1964 AD, 
# volcanic eruptions (Pinatubo (1991), El Chichon (1982), Agung (1963), Krakatoa (1883), Tambora (1815), "unknown" (1258)) and six 14C dating points. 
# A two-parameter model was fitted to the time markers to obtain a continuous depth-age relationship.
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
## depth	depth,,,m,,,,,N,Depth at sample end 
## depthweq	depthweq,,,m,,,,,N,Depth at sample end (m weq)
## age_CE	age,,,CE,,,,,N,Ice age at sample end (year Common Era)
## rBC_Illi99	black carbon,bulk ice,,nanogram per gram,,Ice cores,,Single Particle Soot Photometer,N,raw data
#
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NaN
#
depth	depthweq	age_CE	rBC_Illi99
16.533	8.872	1985.459	2.59
16.635	8.936	1985.370	4.10
16.738	9.000	1985.280	0.45
16.840	9.064	1985.191	0.22
16.941	9.124	1985.049	0.13
17.043	9.183	1984.907	0.20
17.144	9.242	1984.765	0.74
17.246	9.301	1984.623	0.39
17.347	9.361	1984.481	0.41
17.449	9.420	1984.339	0.42
17.550	9.479	1984.197	1.84
17.650	9.537	1984.087	0.91
17.750	9.595	1983.978	0.29
17.850	9.653	1983.869	2.16
17.950	9.712	1983.759	5.43
18.050	9.770	1983.650	2.02
18.150	9.828	1983.541	0.68
18.250	9.886	1983.431	0.37
18.358	9.954	1983.313	0.63
18.467	10.023	1983.194	0.20
18.575	10.092	1983.076	0.56
18.683	10.160	1982.957	0.13
18.792	10.229	1982.839	0.51
18.900	10.297	1982.720	1.00
18.999	10.358	1982.605	0.37
19.097	10.419	1982.490	0.89
19.196	10.480	1982.376	1.27
19.294	10.542	1982.261	1.31
19.393	10.603	1982.146	0.16
19.491	10.664	1982.031	0.06
19.590	10.725	1981.916	0.16
19.689	10.788	1981.861	0.11
19.789	10.852	1981.805	0.26
19.888	10.916	1981.750	0.12
19.987	10.980	1981.694	0.32
20.086	11.043	1981.639	3.53
20.186	11.107	1981.583	0.29
20.285	11.171	1981.528	0.86
20.391	11.240	1981.469	1.01
20.497	11.309	1981.410	1.52
20.603	11.378	1981.351	1.22
20.708	11.447	1981.291	2.51
20.814	11.516	1981.232	1.79
20.920	11.585	1981.173	0.53
21.017	11.652	1981.086	0.39
21.114	11.719	1980.999	0.24
21.211	11.787	1980.912	0.40
21.309	11.854	1980.825	0.61
21.406	11.921	1980.739	0.70
21.503	11.989	1980.652	1.14
21.600	12.056	1980.565	2.03
21.697	12.123	1980.451	3.04
21.794	12.190	1980.338	3.02
21.891	12.257	1980.224	0.52
21.989	12.324	1980.111	0.23
22.086	12.391	1979.997	0.15
22.183	12.458	1979.884	0.15
22.280	12.525	1979.770	0.24
22.374	12.591	1979.662	0.39
22.469	12.657	1979.553	1.73
22.563	12.723	1979.445	4.09
22.657	12.789	1979.337	1.70
22.751	12.854	1979.228	3.80
22.846	12.920	1979.120	0.63
22.940	12.986	1979.011	0.36
23.034	13.051	1978.932	0.73
23.129	13.116	1978.853	0.52
23.223	13.181	1978.774	0.44
23.317	13.246	1978.695	0.36
23.411	13.311	1978.616	1.05
23.506	13.376	1978.537	1.92
23.600	13.441	1978.458	1.10
23.696	13.509	1978.376	0.71
23.791	13.577	1978.293	0.69
23.887	13.645	1978.211	0.46
23.983	13.713	1978.129	0.45
24.079	13.781	1978.046	0.39
24.174	13.849	1977.964	0.28
24.270	13.917	1977.881	0.43
24.365	13.985	1977.787	0.40
24.460	14.054	1977.693	0.65
24.555	14.122	1977.599	1.11
24.650	14.190	1977.505	1.95
24.745	14.258	1977.411	0.71
24.840	14.327	1977.317	0.30
24.935	14.395	1977.223	0.28
25.033	14.466	1977.088	0.20
25.132	14.536	1976.952	0.40
25.230	14.607	1976.817	0.20
25.328	14.677	1976.682	0.59
25.427	14.748	1976.547	0.74
25.525	14.818	1976.411	1.87
25.619	14.890	1976.267	0.21
25.714	14.963	1976.124	0.19
25.808	15.035	1975.980	0.15
25.902	15.108	1975.836	0.77
25.996	15.180	1975.692	0.62
26.091	15.253	1975.548	3.43
26.185	15.325	1975.404	0.32
26.283	15.394	1975.267	0.25
26.382	15.462	1975.130	0.09
26.480	15.531	1974.992	0.13
26.578	15.599	1974.855	0.20
26.677	15.667	1974.717	2.00
26.775	15.736	1974.580	1.19
26.868	15.805	1974.440	0.13
26.961	15.873	1974.301	0.24
27.054	15.942	1974.161	0.15
27.146	16.011	1974.021	0.17
27.239	16.080	1973.881	0.43
27.332	16.149	1973.742	3.32
27.425	16.218	1973.602	2.49
27.515	16.285	1973.488	0.40
27.605	16.351	1973.375	0.10
27.695	16.418	1973.262	0.16
27.785	16.485	1973.148	0.24
27.875	16.552	1973.035	0.31
27.965	16.619	1972.922	0.24
28.055	16.686	1972.808	2.32
28.160	16.762	1972.742	0.85
28.265	16.838	1972.676	1.83
28.370	16.914	1972.610	0.38
28.475	16.989	1972.544	0.13
28.580	17.065	1972.478	0.30
28.685	17.141	1972.412	1.10
28.778	17.212	1972.354	0.28
28.871	17.282	1972.295	2.15
28.964	17.352	1972.237	0.72
29.056	17.423	1972.178	0.48
29.149	17.493	1972.120	1.00
29.242	17.564	1972.062	0.50
29.335	17.634	1972.003	0.71
29.431	17.707	1971.850	0.34
29.526	17.779	1971.696	0.58
29.622	17.852	1971.543	2.62
29.718	17.924	1971.390	0.21
29.814	17.997	1971.236	0.13
29.909	18.069	1971.083	0.11
30.005	18.142	1970.929	0.89
30.100	18.217	1970.808	0.19
30.195	18.293	1970.686	1.07
30.290	18.368	1970.564	2.00
30.385	18.444	1970.442	5.71
30.480	18.519	1970.321	0.25
30.575	18.594	1970.199	0.39
30.670	18.670	1970.077	0.26
30.780	18.758	1969.913	0.28
30.890	18.845	1969.748	0.69
31.000	18.933	1969.584	0.32
