# Illimani Ice Core 1,600 Year Ammonium Data and Amazon Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/18057
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/illimani/illimani2015nh4ann.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-24
#--------------------
# Title
#	Study_Name: Illimani Ice Core 1,600 Year Ammonium Data and Amazon Temperature Reconstruction
#--------------------
# Investigators
# 	Investigators: Kellerhals, T.; Brutsch, S.; Sigl, M.; Knusel, S.; Gaggeler, H.W.; Schwikowski, M.
#--------------------
# Description_and_Notes
#	Description: Ammonium (NH4+) data and reconstructed Tropical South American temperature from the 1999 Illimani ice core, 
#	Bolivian Andes, for the past 1,600 years. Calibration/verification was performed for the period 1905-1998 based on annual 
#	temperatures from the Amazon Basin subset of the gridded HadCRUT3 temperature data set. Dating uncertainties are <5 years 
#	(AD 1800-1998) and <20 years (AD 350-1800). Temperature anomalies are given as annual values for the period AD 1800-1998 
#	and 10-year averages for the period AD 350-1998.
#
#	In 1999, two parallel ice cores were retrieved from Nevado Illimani (16°37'S, 67°46′'W, 6300 m a.s.l.) 
#	in a joint operation of the French Institut de Recherche pour le Developpement (IRD) and the Swiss 
#	Paul Scherrer Institute (PSI). Both ice cores reached bedrock at depths of 138.7 and 136.7 m, respectively. 
#	Nevado Illimani is located in the eastern Bolivian Andes at the northeastern margin of the Bolivian Altiplano.
#	Analyses of the major ions, trace elements, tritium, and 14C were performed at the Laboratory of Radiochemistry 
#	and Environmental Chemistry (LCH) of the Paul Scherrer Institute (PSI) and the University of Bern, Switzerland. 
#	The mean annual accumulation rate is 0.58 m water equivalent.
#
#--------------------
# Publication 
# 	Authors: T. Kellerhals, S. Brütsch, M. Sigl, S. Knüsel, H. W. Gäggeler, M. Schwikowski
#	Published_Date_or_Year: 2010-08-27    
#	Published_Title: Ammonium concentration in ice cores: A new proxy for regional temperature reconstruction?
#	Journal_Name: Journal of Geophysical Research - Atmospheres
#	Volume: 115
#	Edition: D16123
#	Issue: D16
#	Pages: 
#	DOI: 10.1029/2009JD012603
#	Online_Resource: http://onlinelibrary.wiley.com/enhanced/doi/10.1029/2009JD012603/
#	Full_Citation: 
#	Abstract: We present a reconstruction of tropical South American temperature anomalies over the last ~1600 years. The reconstruction is based on a highly resolved and carefully dated ammonium record from an ice core that was drilled in 1999 on Nevado Illimani in the eastern Bolivian Andes. Concerning the relevant processes governing the observed correlation between ammonium concentrations and temperature anomalies, we discuss anthropogenic emissions, biomass burning, and precipitation changes but clearly favor a temperature-dependent source strength of the vegetation in the Amazon Basin. That given, the reconstruction reveals that Medieval Warm Period - and Little Ice Age - type episodes are distinguishable in tropical South America, a region for which until now only very limited temperature proxy data have been available. For the time period from about 1050 to 1300 AD, our reconstruction shows relatively warm conditions that are followed by cooler conditions from the 15th to the 18th century, when temperatures dropped by up to 0.6C below the 1961-1990 average. The last decades of the past millennium are characterized again by warm temperatures that seem to be unprecedented in the context of the last ~1600 years.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Institut de Recherche pour le Développement (IRD, France) 
#	Grant: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Paul Scherrer Institute (PSI, Switzerland)
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Illimani
#	Location: South America>Bolivia
#	Country: Bolivia
#	Northernmost_Latitude: -16.6167
#	Southernmost_Latitude: -16.6167
#	Easternmost_Longitude: -67.7667
#	Westernmost_Longitude: -67.7667
#	Elevation: 6300 m  
#------------------
# Data_Collection   
#	Collection_Name: Illimani2015NH4ann
#	Earliest_Year: 1800 
#	Most_Recent_Year: 1998 
#	Time_Unit: AD
#	Core_Length: 138.7m
#	Notes: 
#------------------
# Chronology: 
#
# The timescale for the Illimani core was derived using annual layer-counting, known reference horizons 
# from nuclear bomb testing in 1964 AD, volcanic eruptions (Pinatubo (1991), El Chichón (1982), Agung (1963), 
# Krakatoa (1883), Tambora (1815), “unknown” (1258)) and six 14C dating points. A two‐parameter model 
# was fitted to the time markers to obtain a continuous depth‐age relationship.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , AD, , , , ,N
##nh4_ueq/l	NH4+, , , microequivalent per liter, , , , 10-year average,N
##tempanom-ann	surface temperature anomaly, , , degrees C, annual, ice core, Amazon Basin vs. 1961-90 mean, ,N
##tempanom-ann2s-	surface temperature anomaly lower 2 sigma, , , degrees C, annual, ice core, Amazon Basin, ,N
##tempanom-ann2s+	surface temperature anomaly upper 2 sigma, , , degrees C, annual, ice core, Amazon Basin, ,N
#
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	nh4_ueq/l	tempanom-ann	tempanom-ann2s-	tempanom-ann2s+
1800	3.56	-0.141	-0.421	0.139
1801	2.09	-0.450	-0.730	-0.170
1802	2.12	-0.444	-0.724	-0.164
1803	2.82	-0.298	-0.578	-0.018
1804	2.82	-0.297	-0.577	-0.017
1805	2.78	-0.305	-0.585	-0.025
1806	3.00	-0.260	-0.540	0.020
1807	3.31	-0.195	-0.475	0.085
1808	2.94	-0.271	-0.551	0.009
1809	3.82	-0.088	-0.368	0.192
1810	3.29	-0.199	-0.479	0.081
1811	1.73	-0.525	-0.805	-0.245
1812	2.76	-0.309	-0.589	-0.029
1813	3.04	-0.251	-0.531	0.029
1814	2.35	-0.396	-0.676	-0.116
1815	2.90	-0.281	-0.561	-0.001
1816	2.50	-0.363	-0.643	-0.083
1817	2.87	-0.286	-0.566	-0.006
1818	2.70	-0.322	-0.602	-0.042
1819	2.60	-0.344	-0.624	-0.064
1820	2.58	-0.347	-0.627	-0.067
1821	3.68	-0.117	-0.397	0.163
1822	4.23	-0.001	-0.281	0.279
1823	2.75	-0.312	-0.592	-0.032
1824	2.42	-0.381	-0.661	-0.101
1825	3.36	-0.184	-0.464	0.096
1826	4.31	0.014	-0.266	0.294
1827	2.61	-0.342	-0.622	-0.062
1828	1.55	-0.562	-0.842	-0.282
1829	1.86	-0.498	-0.778	-0.218
1830	2.72	-0.318	-0.598	-0.038
1831	1.68	-0.534	-0.814	-0.254
1832	3.29	-0.199	-0.479	0.081
1833	2.17	-0.432	-0.712	-0.152
1834	3.54	-0.147	-0.427	0.133
1835	3.98	-0.054	-0.334	0.226
1836	3.01	-0.258	-0.538	0.022
1837	2.97	-0.266	-0.546	0.014
1838	3.44	-0.167	-0.447	0.113
1839	3.78	-0.096	-0.376	0.184
1840	3.41	-0.174	-0.454	0.106
1841	2.19	-0.428	-0.708	-0.148
1842	1.72	-0.528	-0.808	-0.248
1843	1.58	-0.556	-0.836	-0.276
1844	1.05	-0.667	-0.947	-0.387
1845	3.00	-0.260	-0.540	0.020
1846	2.49	-0.366	-0.646	-0.086
1847	2.48	-0.368	-0.648	-0.088
1848	3.27	-0.202	-0.482	0.078
1849	3.94	-0.063	-0.343	0.217
1850	2.53	-0.358	-0.638	-0.078
1851	2.83	-0.295	-0.575	-0.015
1852	4.08	-0.034	-0.314	0.246
1853	3.22	-0.213	-0.493	0.067
1854	3.62	-0.130	-0.410	0.150
1855	4.21	-0.007	-0.287	0.273
1856	4.01	-0.048	-0.328	0.232
1857	2.67	-0.329	-0.609	-0.049
1858	2.44	-0.376	-0.656	-0.096
1859	1.92	-0.484	-0.764	-0.204
1860	2.35	-0.394	-0.674	-0.114
1861	2.95	-0.271	-0.551	0.009
1862	2.78	-0.306	-0.586	-0.026
1863	3.01	-0.257	-0.537	0.023
1864	2.33	-0.398	-0.678	-0.118
1865	3.04	-0.251	-0.531	0.029
1866	2.84	-0.293	-0.573	-0.013
1867	2.60	-0.342	-0.622	-0.062
1868	3.18	-0.222	-0.502	0.058
1869	3.13	-0.233	-0.513	0.047
1870	2.14	-0.438	-0.718	-0.158
1871	2.05	-0.458	-0.738	-0.178
1872	2.42	-0.381	-0.661	-0.101
1873	1.90	-0.490	-0.770	-0.210
1874	1.07	-0.662	-0.942	-0.382
1875	2.20	-0.426	-0.706	-0.146
1876	1.97	-0.475	-0.755	-0.195
1877	3.70	-0.113	-0.393	0.167
1878	4.15	-0.020	-0.300	0.260
1879	2.30	-0.406	-0.686	-0.126
1880	3.27	-0.203	-0.483	0.077
1881	3.90	-0.071	-0.351	0.209
1882	3.02	-0.255	-0.535	0.025
1883	3.37	-0.182	-0.462	0.098
1884	3.71	-0.110	-0.390	0.170
1885	3.19	-0.220	-0.500	0.060
1886	3.10	-0.238	-0.518	0.042
1887	3.79	-0.094	-0.374	0.186
1888	4.48	0.050	-0.230	0.330
1889	3.56	-0.143	-0.423	0.137
1890	1.17	-0.641	-0.921	-0.361
1891	1.98	-0.472	-0.752	-0.192
1892	2.79	-0.302	-0.582	-0.022
1893	2.96	-0.267	-0.547	0.013
1894	3.23	-0.211	-0.491	0.069
1895	4.13	-0.024	-0.304	0.256
1896	3.58	-0.137	-0.417	0.143
1897	3.82	-0.088	-0.368	0.192
1898	2.28	-0.410	-0.690	-0.130
1899	3.65	-0.124	-0.404	0.156
1900	3.78	-0.096	-0.376	0.184
1901	3.92	-0.068	-0.348	0.212
1902	4.05	-0.039	-0.319	0.241
1903	4.03	-0.043	-0.323	0.237
1904	4.01	-0.047	-0.327	0.233
1905	4.00	-0.051	-0.331	0.229
1906	3.44	-0.167	-0.447	0.113
1907	2.89	-0.283	-0.563	-0.003
1908	2.84	-0.292	-0.572	-0.012
1909	3.20	-0.217	-0.497	0.063
1910	2.43	-0.378	-0.658	-0.098
1911	2.38	-0.388	-0.668	-0.108
1912	3.35	-0.185	-0.465	0.095
1913	3.67	-0.119	-0.399	0.161
1914	4.48	0.050	-0.230	0.330
1915	5.41	0.244	-0.036	0.524
1916	3.90	-0.071	-0.351	0.209
1917	3.37	-0.183	-0.463	0.097
1918	3.60	-0.135	-0.415	0.145
1919	4.47	0.048	-0.232	0.328
1920	3.37	-0.182	-0.462	0.098
1921	3.06	-0.246	-0.526	0.034
1922	2.41	-0.382	-0.662	-0.102
1923	4.50	0.054	-0.226	0.334
1924	3.80	-0.091	-0.371	0.189
1925	4.66	0.088	-0.192	0.368
