Top Depth  KNIF2     KNIF3     KNIF2
                          (on KNIF3 depth)
       m  d18 o/oo  d18O o/oo d18O o/oo
     9.8   -12.28    -9.81    -10.66
     9.9   -11.87    -9.85    -10.29
    10.0   -12.12    -9.98     -9.78
    10.1   -12.38    -9.82     -9.84
    10.2   -11.33    -9.99     -9.81
    10.3   -11.13   -10.12     -9.85
    10.4    -9.79   -10.02    -10.25
    10.5    -9.28    -9.92    -10.47
    10.6    -9.08   -10.07    -10.52
    10.7    -8.96   -10.37    -10.36
    10.8    -8.78    -8.71     -9.22
    10.9    -9.26    -7.86     -7.22
    11.0    -9.73    -7.31     -7.47
    11.1    -9.70    -7.76     -7.96
    11.2    -9.60    -7.96     -8.61
    11.3    -9.85    -9.32     -9.34
    11.4   -10.97    -9.36     -9.59
    11.5   -10.28    -9.40     -9.69
    11.6    -9.95    -9.46     -9.70
    11.7    -9.64    -9.40     -9.73
    11.8    -9.87    -9.27     -9.59
    11.9    -9.81    -9.20     -9.39
    12.0    -9.79    -9.23     -9.24
    12.1    -9.97    -9.20     -9.93
    12.2   -10.41    -9.26     -9.23
    12.3   -10.49    -9.00     -9.51
    12.4   -10.45    -9.51     -9.42
    12.5   -10.52   -10.55     -9.48
    12.6   -10.32   -10.75    -11.02
    12.7    -9.70   -10.28    -11.25
    12.8    -7.05   -10.58    -11.59
    12.9    -7.37   -10.58    -11.83
    13.0    -7.30   -11.10    -12.32
    13.1    -7.61   -10.66    -12.29
    13.2    -8.28   -10.47    -11.58
    13.3    -8.45   -10.30    -11.41
    13.4    -8.90   -10.05    -10.41
    13.5    -9.49   -10.22    -11.04
    13.6    -9.60    -9.88    -10.12
    13.7    -9.72    -9.99    -10.18
    13.8    -9.71   -10.45    -11.14
    13.9    -9.69   -10.14    -11.14
    14.0    -9.50   -10.19    -11.05
    14.1    -9.29   -10.19    -10.73
    14.2    -9.71   -10.08    -10.83
    14.3    -9.53    -9.64    -10.93
    14.4    -9.23   -10.09    -10.57
    14.5    -9.53    -9.75     -9.93
    14.6    -9.14    -8.36     -8.62
    14.7   -11.05   -10.53     -7.60
    14.8   -11.05   -11.13    -11.25
    14.9   -11.39   -10.71    -11.79
    15.0   -11.61    -9.57    -10.54
    15.1   -11.88    -8.87    -10.08
    15.2   -12.14    -8.75     -8.82
    15.3   -12.43    -8.86     -8.51
    15.4   -11.96    -9.02     -8.26
    15.5   -11.58    -9.06     -8.24
    15.6   -11.40    -9.04     -8.39
    15.7   -10.48    -9.02     -8.58
    15.8   -10.93    -9.23     -9.46
    15.9   -10.44    -9.30     -9.44
    16.0   -10.03   -10.83    -10.05
    16.1   -10.44   -10.44    -11.96
    16.2   -11.18   -10.46    -10.93
    16.3   -11.15   -10.54    -10.99
    16.4   -11.04   -10.73    -11.12
    16.5   -10.74   -10.78    -11.35
    16.6   -10.82   -11.31    -11.57
    16.7   -10.99   -11.42    -13.15
    16.8   -10.47   -11.43    -12.66
    16.9   -10.35   -10.86    -12.56
    17.0    -8.48   -10.60    -11.81
    17.1    -7.96   -10.18    -11.35
    17.2    -9.76    -9.98     -9.75
    17.3   -11.85    -9.48     -9.56
    17.4   -11.73    -9.15     -9.22
    17.5   -10.34    -8.95     -9.13
    17.6   -10.35    -8.94     -8.99
    17.7    -9.13    -9.12     -9.28
    17.8    -8.72    -9.76     -9.47
    17.9    -8.45   -10.20    -10.76
    18.0    -8.26   -10.01    -10.61
    18.1    -8.21    -9.83    -10.51
    18.2    -8.22    -9.54    -10.25
    18.3    -8.50    -9.12     -9.92
    18.4    -8.57    -9.22     -9.79
    18.5    -9.18    -9.21     -9.65
    18.6    -9.59    -9.33     -9.65
    18.7    -9.45    -9.43     -9.83
    18.8    -9.81    -9.43     -9.98
    18.9   -12.14    -9.38     -9.96
    19.0   -10.93    -9.45     -9.87
    19.1   -11.01    -9.68     -9.85
    19.2   -11.13   -11.43     -9.71
    19.3   -11.37   -11.84    -11.75
    19.4   -12.34   -12.10    -11.94
    19.5   -12.93   -12.56    -11.48
    19.6   -12.60   -12.66    -13.27
    19.7   -12.56   -12.55    -12.65
    19.8   -11.83   -12.37    -11.42
    19.9   -11.89   -11.51    -10.98
    20.0    -9.94   -10.24    -10.61
    20.1    -9.75   -10.61    -11.14
    20.2    -9.48   -11.35     -9.42
    20.3    -9.21   -11.71    -10.22
    20.4    -9.09   -11.32    -12.55
    20.5    -8.98   -11.47    -13.13
    20.6    -9.22   -11.72    -12.54
    20.7    -9.31    -9.80    -11.07
    20.8    -9.43    -8.97     -9.55
    20.9   -10.81    -9.00     -9.90
    21.0   -10.58    -7.79     -8.04
    21.1   -10.60    -7.44     -7.96
    21.2   -10.44    -7.48     -8.37
    21.3   -10.18    -7.66     -9.35
    21.4    -9.91    -7.66     -8.61
    21.5    -9.81    -7.94     -9.22
    21.6    -9.69    -8.87     -9.43
    21.7    -9.61   -10.36     -9.71
    21.8    -9.68   -11.25    -10.16
    21.9    -9.92   -10.95    -10.68
    22.0    -9.97   -11.03    -10.63
    22.1    -9.94   -10.64    -10.72
    22.2    -9.87   -10.12    -10.51
    22.3    -9.93   -10.17    -10.79
    22.4    -9.78   -10.77    -10.96
    22.5   -10.02   -11.03    -11.09
    22.6   -11.96   -11.20    -11.06
    22.7   -11.99   -11.10    -11.12
    22.8   -11.35   -11.05    -11.05
    22.9   -12.81   -10.84    -10.99
    23.0   -13.35   -10.93    -10.78
    23.1   -11.88   -10.43    -10.61
    23.2   -11.32    -9.87    -10.27
    23.3   -10.95    -9.43    -10.21
    23.4   -10.62    -9.08     -9.61
    23.5   -10.99    -8.83    -10.09
    23.6    -9.89    -7.35     -9.67
    23.7    -9.59    -9.75     -9.90
    23.8   -11.82    -9.94    -10.06
    23.9   -12.77   -10.98    -10.73
    24.0   -12.84   -12.13    -11.58
    24.1   -12.53   -11.76    -11.89
    24.2   -11.17   -11.66    -13.19
    24.3    -9.75   -10.57    -12.17
    24.4    -9.53    -9.91    -10.52
    24.5    -9.53    -8.79     -9.89
    24.6   -10.52    -8.55     -9.42
    24.7    -8.49    -8.53     -9.75
    24.8    -6.33    -7.25    -10.51
    24.9    -7.90   -10.66    -11.03
    25.0    -8.50   -11.65    -12.71
    25.1    -8.39   -11.29    -14.74
    25.2    -8.50   -11.40    -13.59
    25.3    -8.49   -11.55    -13.31
    25.4    -9.30   -11.16    -13.25
    25.5    -9.44   -10.47    -12.03
    25.6    -9.63    -9.90    -10.10
    25.7    -7.85    -9.82    -11.58
    25.8    -8.70    -8.86    -10.34
    25.9    -9.36    -9.00     -8.20
    26.0    -8.98    -9.23     -9.50
    26.1    -9.53   -10.07    -10.69
    26.2    -9.40   -10.65    -12.17
    26.3    -9.36   -10.66    -12.30
    26.4    -9.41   -10.81    -12.21
    26.5    -9.56   -11.32    -12.04
    26.6   -10.35   -11.62    -11.66
    26.7   -10.36   -11.06    -11.38
    26.8   -10.65   -11.17    -11.34
    26.9   -10.60   -11.91    -11.30
    27.0   -10.72   -11.18    -11.16
    27.1   -10.62   -10.75    -11.22
    27.2   -10.52   -10.44    -10.75
    27.3   -10.79   -10.54    -11.65
