Top Depth  KNIF2     KNIF3     KNIF2
                          (on KNIF3 depth)
       m  d18 o/oo  d18O o/oo d18O o/oo
    1.34             -6.69    -8.24    -9.07
    1.35             -7.42    -8.50    -9.03
    1.36             -8.01    -8.66    -8.98
    1.37             -8.70    -9.55    -9.24
    1.38             -9.26    -9.43    -9.21
    1.39            -10.08    -9.65    -9.84
    1.40             -9.89   -12.21   -10.95
    1.41             -9.76   -10.93   -10.45
    1.42             -8.95   -10.95   -10.47
    1.43             -9.56   -11.04   -10.53
    1.44            -10.52   -11.13   -10.69
    1.45             -9.59   -11.38   -10.81
    1.46             -9.18   -11.45   -10.96
    1.47            -10.13   -13.04   -11.47
    1.48                     -12.81   -11.39
    1.49                     -12.59   -11.42
                                



Data from Fig. 4.  
The 50-year averages of the Holocene d18O 
and dust histories from Kilimanjaro and 
Huascaran ice cores. 



Top Age     KNIF2    KNIF3    MIXED    KNIF3    Huascaran
kyr BP1950        d18O o/oo          Dust > 0.63um x10^5/ml
    0.00    -9.33    -9.45    -9.33    0.234    0.121
    0.05    -9.86    -9.63    -9.86    0.237    0.116
    0.10    -9.70    -7.64    -9.70    0.280    0.108
    0.15   -11.99    -9.10   -11.99    0.232    0.110
    0.20   -11.83    -9.04   -11.83    0.279    0.098
    0.25    -9.69    -8.38    -9.69    0.236    0.090
    0.30    -8.65    -7.77    -8.65    0.358    0.090
    0.35    -8.88    -9.52    -8.88    0.147    0.094
    0.40    -8.43    -8.47    -8.43    0.151    0.093
    0.45    -9.09    -9.57    -9.09    0.107    0.104
    0.50   -10.60   -10.13   -10.60    0.195    0.102
    0.55   -11.32   -10.57   -11.32    0.116    0.111
    0.60   -12.26   -11.35   -12.26    0.078    0.109
    0.65   -10.73   -10.21   -10.73    0.209    0.110
    0.70    -9.46    -9.11    -9.46    0.125    0.111
    0.75   -10.01    -9.90   -10.01    0.089    0.123
    0.80   -10.29    -9.93   -10.29    0.156    0.136
    0.85    -8.02    -8.00    -8.02    0.339    0.135
    0.90    -9.66    -9.38    -9.66    0.193    0.137
    0.95    -9.45    -9.21    -9.45    0.202    0.134
    1.00   -10.41   -10.11   -10.41    0.297    0.149
    1.05   -11.94   -10.69   -11.94    0.115    0.161
    1.10   -10.57   -10.06   -10.57    0.120    0.164
    1.15   -10.99   -10.27   -10.99    0.067    0.182
    1.20    -9.83    -9.56    -9.83    0.145    0.144
    1.25   -10.53   -10.32   -10.53    0.121    0.149
    1.30    -8.45    -8.90    -8.45    0.121    0.151
    1.35    -9.16    -9.26    -9.16    0.138    0.154
    1.40   -11.25   -10.62   -11.25    0.090    0.134
    1.45   -12.26   -11.21   -12.26    0.132    0.140
    1.50   -10.97   -10.33   -10.97    0.155    0.163
    1.55    -9.17    -9.06    -9.17    0.183    0.144
    1.60   -10.31    -9.89   -10.31    0.093    0.126
    1.65    -9.90    -9.33    -9.90    0.143    0.129
    1.70    -9.87    -9.40    -9.87    0.157    0.142
    1.75   -10.34   -10.43   -10.34    0.093    0.141
    1.80   -12.34   -12.41   -12.34    0.073    0.143
    1.85   -11.02   -11.34   -11.02    0.191    0.152
    1.90   -11.25   -11.37   -11.25    0.068    0.172
    1.95   -10.99   -10.39   -10.99    0.131    0.181
    2.00    -8.47    -7.95    -8.47    0.340    0.181
    2.05    -9.14    -7.78    -9.14    0.124    0.175
    2.10   -10.19   -10.65   -10.19    0.117    0.164
    2.15   -10.69   -10.44   -10.69    0.193    0.164
    2.20   -11.08   -10.96   -11.08    0.074    0.140
    2.25   -10.94   -10.99   -10.94    0.103    0.143
    2.30   -10.24    -9.99   -10.24    0.120    0.136
    2.35    -9.86    -8.55    -9.86    0.162    0.151
    2.40   -10.81   -10.82   -10.81    0.141    0.157
    2.45   -12.20   -11.31   -12.20    0.088    0.175
    2.50    -9.77    -9.03    -9.77    0.300    0.149
    2.55   -11.25    -9.33   -11.25    0.678    0.143
    2.60   -13.87   -11.43   -13.87    0.261    0.157
    2.65   -11.72   -10.64   -11.72    0.076    0.148
    2.70    -9.78    -9.26    -9.78    0.086    0.162
    2.75   -11.18    -9.96   -11.18    0.055    0.178
    2.80   -12.12   -10.93   -12.12    0.090    0.160
    2.85   -11.41   -11.26   -11.41    0.101    0.152
    2.90   -11.20   -11.26   -11.20    0.134    0.142
    2.95   -11.10   -10.51   -11.10    0.133    0.164
    3.00   -10.08   -10.19   -10.08    0.079    0.212
    3.05   -11.37    -9.58   -11.37    0.135    0.180
    3.10   -10.27    -9.42   -10.27    0.080    0.188
    3.15    -8.92    -8.96    -8.92    0.171    0.172
    3.20    -9.68    -9.58    -9.68    0.113    0.149
    3.25   -12.08   -10.81   -12.08    0.092    0.140
    3.30   -11.18   -10.03   -11.18    0.101    0.141
    3.35   -10.90    -9.46   -10.90    0.083    0.172
    3.40   -10.12   -10.00   -10.12    0.102    0.286
    3.45   -13.97   -13.47   -13.97    0.117    0.287
    3.50   -13.55   -12.93   -13.55    0.130    0.290
    3.55   -10.69   -10.44   -10.69    0.144    0.363
    3.60   -10.33   -10.50   -10.33    0.246    0.323
    3.65    -7.92    -7.82    -7.92    0.423    0.183
    3.70    -8.36    -8.28    -8.36    1.064    0.181
    3.75   -11.43    -9.67   -11.43    0.241    0.220
    3.80   -10.73    -9.35   -10.73    0.283    0.242
    3.85    -9.21    -7.93    -9.21    0.454    0.227
    3.90    -8.95    -7.93    -8.95    0.148    0.204
    3.95    -9.79    -7.90    -9.79  221.3      0.208
    4.00             -7.36    -7.36    3.755    0.225
    4.05             -7.25    -7.25    0.623    0.190
    4.10             -7.28    -7.28    0.402    0.241
    4.15             -8.94    -8.94    0.364    0.333
    4.20             -8.96    -8.96    0.109    0.324
    4.25             -7.80    -7.80    0.109    0.286
    4.30             -7.91    -7.91    0.125    0.502
    4.35            -10.24   -10.24    0.092    1.956
    4.40             -9.88    -9.88    0.103    4.224
    4.45             -8.54    -8.54    0.148    0.795
    4.50             -6.93    -6.93    0.210    0.478
    4.55             -6.65    -6.65    0.156    0.259
    4.60             -7.18    -7.18    0.104    0.146
    4.65             -7.64    -7.64    0.142    0.157
    4.70             -8.23    -8.23    0.182    0.178
    4.75             -8.10    -8.10    0.235    0.179
    4.80             -7.51    -7.51    0.199    0.150
    4.85             -7.33    -7.33    0.172    0.144
    4.90             -7.70    -7.70    0.176    0.133
    4.95             -7.29    -7.29    0.287    0.143
    5.00             -8.00    -8.00    0.221    0.150
    5.05             -7.98    -7.98    0.115    0.125
    5.10             -9.28    -9.28    0.101    0.115
    5.15            -14.41   -14.41    0.084    0.117
    5.20             -9.93    -9.93    0.093    0.117
    5.25             -9.27    -9.27    0.121    0.138
    5.30             -9.01    -9.01    0.124    0.122
    5.35             -9.47    -9.47    0.116    0.122
    5.40             -8.95    -8.95    0.091    0.130
    5.45             -9.74    -9.74    0.126    0.134
    5.50             -8.71    -8.71    0.110    0.151
    5.55             -9.36    -9.36    0.114    0.171
    5.60             -9.90    -9.90    0.159    0.149
    5.65             -9.17    -9.17    0.155    0.160
    5.70             -9.24    -9.24    0.121    0.135
    5.75            -10.30   -10.30    0.108    0.151
    5.80            -10.03   -10.03    0.105    0.148
    5.85            -10.21   -10.21    0.097    0.164
    5.90            -10.09   -10.09    0.088    0.216
    5.95             -9.56    -9.56    0.152    0.182
    6.00             -8.86    -8.86    0.137    0.143
    6.05             -8.43    -8.43    0.104    0.159
    6.10             -9.83    -9.83    0.101    0.147
    6.15             -9.81    -9.81    0.064    0.140
    6.20             -9.50    -9.50    0.120    0.132
    6.25            -10.45   -10.45    0.075    0.142
    6.30             -9.80    -9.80    0.118    0.156
    6.35            -10.70   -10.70    0.091    0.291
    6.40             -8.59    -8.59    0.112    0.206
    6.45             -6.84    -6.84    0.097    0.210
    6.50             -6.67    -6.67    0.072    0.174
    6.55             -7.03    -7.03    0.162    0.173
    6.60             -7.31    -7.31    0.074    0.177
    6.65             -6.79    -6.79    0.124    0.148
    6.70             -7.42    -7.42    0.213    0.179
    6.75             -7.46    -7.46    0.178    0.143
    6.80             -7.63    -7.63    0.203    0.154
    6.85             -7.29    -7.29    0.108    0.197
    6.90             -6.85    -6.85    0.109    0.167
    6.95             -6.78    -6.78    0.134    0.188
    7.00             -7.16    -7.16    0.204    0.161
    7.05             -7.49    -7.49    0.225    0.164
    7.10             -8.39    -8.39    0.353    0.147
    7.15             -7.60    -7.60    0.171    0.142
    7.20             -7.88    -7.88    0.220    0.154
    7.25             -8.80    -8.80    0.199    0.186
    7.30             -8.88    -8.88    0.275    0.154
    7.35             -8.69    -8.69    0.186    0.252
    7.40             -8.82    -8.82    0.082    0.177
    7.45             -9.00    -9.00    0.113    0.157
    7.50             -7.28    -7.28    0.458    0.165
    7.55             -5.82    -5.82    0.805    0.237
    7.60             -6.45    -6.45    0.362    0.225
    7.65             -7.21    -7.21    0.280    0.256
    7.70             -7.59    -7.59    0.190    0.187
    7.75             -7.56    -7.56    0.186    0.313
    7.80             -6.58    -6.58    0.143    0.303
    7.85             -7.55    -7.55    0.159    0.353
    7.90             -7.62    -7.62    0.205    0.295
    7.95             -8.80    -8.80    0.205    0.186
    8.00             -8.76    -8.76    0.189    0.170
    8.05             -8.10    -8.10    0.163    0.208
    8.10             -7.40    -7.40    0.130    0.183
    8.15             -6.97    -6.97    0.097    0.260
    8.20             -7.28    -7.28    0.130    0.231
    8.25             -6.70    -6.70    0.100    0.326
    8.30             -7.69    -7.69    0.092    0.198
    8.35             -8.55    -8.55    0.263    0.321
    8.40             -7.63    -7.63    0.130    0.321
    8.45             -8.22    -8.22    0.125    0.217
    8.50             -7.68    -7.68    0.090    0.187
    8.55             -6.19    -6.19    0.117    0.191
    8.60             -6.42    -6.42    0.119    0.149
    8.65             -6.85    -6.85    0.100    0.162
    8.70             -8.96    -8.96    0.073    0.178
    8.75             -8.61    -8.61    0.094    0.165
    8.80             -7.38    -7.38    0.124    0.192
    8.85             -8.33    -8.33    0.269    0.150
    8.90             -9.30    -9.30    0.176    0.151
    8.95             -8.74    -8.74    0.130    0.174
    9.00             -8.50    -8.50    0.406    0.156
    9.05             -8.36    -8.36    0.405    0.156
    9.10             -8.75    -8.75    0.096    0.127
    9.15             -9.00    -9.00    0.100    0.157
    9.20             -8.79    -8.79    0.087    0.347
    9.25             -8.00    -8.00    0.089    0.176
    9.30             -7.82    -7.82    0.126    0.333
    9.35             -7.59    -7.59    0.109    0.357
    9.40             -7.58    -7.58    0.134    0.294
    9.45             -7.36    -7.36    0.338    0.128
    9.50             -7.76    -7.76    0.432    0.193
    9.55             -8.34    -8.34    0.214    0.146
    9.60             -8.42    -8.42    0.211    0.119
    9.65             -8.51    -8.51    0.114    0.151
    9.70             -8.54    -8.54    0.075    0.203
    9.75             -8.43    -8.43    0.102    0.154
    9.80             -8.10    -8.10    0.091    0.145
    9.85             -7.86    -7.86    0.104    0.133
    9.90             -7.71    -7.71    0.113    0.193
    9.95             -7.44    -7.44    0.176    0.360
   10.00             -7.55    -7.55    0.500    0.228
   10.05             -7.63    -7.63    0.387    0.256
   10.10             -8.18    -8.18    0.272    0.274
   10.15             -7.73    -7.73    0.242    0.215
   10.20             -7.77    -7.77    0.138    0.127
   10.25             -8.00    -8.00    0.203    0.122
   10.30             -7.23    -7.23    0.277    0.126
   10.35             -7.38    -7.38    0.280    0.097
   10.40             -7.60    -7.60    0.381    0.124
   10.45             -7.28    -7.28    0.365    0.108
   10.50             -6.44    -6.44    0.199    0.112
   10.55             -7.15    -7.15    0.177    0.114
   10.60             -7.95    -7.95    0.132    0.140
   10.65             -7.70    -7.70    0.217    0.136
   10.70             -7.05    -7.05    0.247    0.158
   10.75             -7.11    -7.11    0.158    0.723
   10.80             -6.93    -6.93    0.121    0.157
   10.85             -7.14    -7.14    0.100    0.136
   10.90             -7.86    -7.86    0.072    0.118
   10.95             -8.69    -8.69    0.117    0.139
   11.00             -9.04    -9.04    0.154    0.116
   11.05             -8.97    -8.97    0.204    0.104
   11.10             -9.01    -9.01    0.073    0.104
   11.15             -9.13    -9.13    0.116    0.091
   11.20             -9.04    -9.04    0.064    0.091
   11.25             -9.68    -9.68    0.073    0.110
   11.30             -9.96    -9.96    0.075    0.110
   11.35            -10.62   -10.62    0.165    0.095
   11.40            -11.06   -11.06    0.076    0.095
   11.45            -11.89   -11.89    0.074    0.092
   11.50            -12.27   -12.27   18.91     0.092
   11.55            -11.61   -11.61    0.191    0.089
   11.60            -10.25   -10.25    0.222    0.089
   11.65            -10.61   -10.61    0.143    0.085
   11.70                                        0.085
   11.75                                        0.079
   11.80                                        0.086
   11.85                                        0.086
   11.90                                        0.133
   11.95                                        0.133
   12.00                                        0.101
   12.05                                        0.101
   12.10                                        0.088
   12.15                                        0.088
   12.20                                        0.091
   12.25                                        0.091
   12.30                                        0.076
   12.35                                        0.076
   12.40                                        0.068
   12.45                                        0.068
   12.50                                        0.070
   12.55                                        0.070
   12.60                                        0.070
   12.65                                        0.088
   12.70                                        0.088
   12.75                                        0.107
   12.80                                        0.107
   12.85                                        0.089
   12.90                                        0.089
   12.95                                        0.084
   13.00                                        0.069
   13.05                                        0.069
   13.10                                        0.104
   13.15                                        0.104
   13.20                                        0.089
   13.25                                        0.083
   13.30                                        0.083
   13.35                                        0.093
   13.40                                        0.093
   13.45                                        0.083
   13.50                                        0.083
   13.55                                        0.088
   13.60                                        0.093
   13.65                                        0.093
   13.70                                        0.100
   13.75                                        0.094
   13.80                                        0.094
   13.85                                        0.112
   13.90                                        0.112
   13.95                                        0.081



Data from Fig. 1-supplemental.  

The individual sample values for nitrate, 
dust, d18O, and 36Cl are shown for the 
upper 4 meters of the NIF2 core.


KNIF2                      Dust>0.63
Top DepthNO3- (ppbd18O o/oo(x10^5/ml
   0.000     38.7   -10.48    0.939
   0.040     44.5   -11.05    0.624
   0.076     66.6   -10.34    0.770
   0.126     84.5   -10.02    1.225
   0.166    110.6    -9.96    1.072
   0.202    119.4    -9.79    0.968
   0.238     96.3    -9.50    0.539
   0.274    159.6    -9.21    0.704
   0.310    223.7    -9.12    1.042
   0.360    319.7    -9.42    0.951
   0.400    296.4    -9.76    1.430
   0.436    356.3   -10.03    1.393
   0.472    380.4   -10.73    0.371
   0.508    495.2   -11.72    0.232
   0.544    382.9   -16.94    0.463
   0.580    295.3   -13.36    0.535
   0.610    425.5    -9.88    0.975
   0.650    253.9    -9.27    0.792
   0.686    237.5    -9.29    0.642
   0.722    212.4   -10.19    0.704
   0.758    141.1   -10.83    0.611
   0.794    186.8    -9.95    0.998
   0.830    127.5   -10.23    1.059
   0.866     42.8    -9.87    0.779
   0.902     48.1    -9.72    0.722
   0.938     83.4   -10.00    0.493
   0.974    189.3   -10.37    0.886
   1.010    188.3    -9.85    1.128
   1.050    114.0    -7.88    0.554
   1.090    126.0    -8.32    0.648
   1.125    140.8    -8.72    0.337
   1.159    226.4    -9.09    0.535
   1.193    226.3    -8.33    0.399
   1.227    142.6    -7.50    0.224
   1.261     98.2    -8.11    0.204
   1.295    223.2    -7.84    0.230
   1.329    207.2    -7.45    0.110
   1.363    153.0    -9.47    0.115
   1.397    161.8    -8.86    0.192
   1.434     86.5    -9.14    0.143
   1.468     74.3    -8.91    0.186
   1.502    152.2    -9.26    0.316
   1.536    178.0    -9.29    0.239
   1.570    287.2    -8.72    0.140
   1.604    286.1    -9.47    0.155
   1.638    301.1   -10.06    0.245
   1.668    231.6    -9.64    0.139
   1.706    208.3    -9.67    0.187
   1.740    178.9    -9.27    0.154
   1.774    108.5    -8.60    0.144
   1.808    100.5    -8.88    0.149
   1.842    137.4    -9.58    0.134
   1.876    198.2    -9.21    0.129
   1.910    323.1    -9.99    0.178
   1.944    252.2    -9.50    0.156
   1.978    338.4    -9.68    0.157
   2.012    197.8    -8.29    0.130
   2.046    176.1    -8.61    0.158
   2.080    255.2    -9.44    0.326
   2.111    365.1    -9.00    0.774
   2.142    459.1    -9.10    0.247
   2.173    687.0    -9.45    0.359
   2.204    673.7    -9.45    0.284
   2.235    415.8    -8.18    0.294
   2.266    598.2    -8.96    0.335
   2.297    604.4    -9.01    0.214
   2.328    594.9    -9.46    0.306
   2.359    359.8    -9.05    0.489
   2.390    415.2    -9.95    0.719
   2.415    413.8   -10.20    2.116
   2.440    391.7    -9.86    0.694
   2.471    342.1   -10.33    0.522
   2.502    242.5   -10.26    0.605
   2.533    197.5   -10.28    0.655
   2.564    293.4   -10.40    0.352
   2.595    307.5   -10.36    0.224
   2.626    488.1   -10.78    0.270
   2.657    424.7   -10.51    0.295
   2.688    253.1   -10.21    0.181
   2.719    335.0   -11.34    0.125
   2.750    407.6   -10.42    0.173
   2.781    457.8    -9.14    1.443
   2.821    403.6    -8.66    1.048
   2.856    385.0    -8.85    0.959
   2.887    274.0    -9.30    0.542
   2.918    270.3    -9.28    5.087
   2.949    306.4    -9.16    3.394
   2.980    352.0    -9.28    6.720
   3.011    371.9    -9.39    5.786
   3.045    441.2    -9.71    2.519
   3.090    240.0   -11.55    0.188
   3.123    421.9   -10.55    0.200
   3.153    351.6    -9.63    0.091
   3.183    281.8   -10.79    0.109
   3.213    316.2   -11.58    0.085
   3.243    332.6   -10.47    0.106
   3.273    319.3    -8.36    0.137
   3.303    249.7    -8.21    0.118
   3.333    416.8    -8.10    0.165
   3.363    615.4    -8.86    0.209
   3.393    649.3    -9.17    0.129
   3.423    609.7    -8.90    0.092
   3.453    686.0    -9.21    0.247
   3.483    579.7    -7.15    0.223
   3.513    287.9    -8.47    0.212
   3.548    288.2   -10.48    0.123
   3.579    311.3   -10.45    0.101
   3.609    381.5   -10.44    0.116
   3.640    359.4   -11.91    0.179
   3.670    306.7   -10.64    0.159
   3.701    274.2   -10.69    0.207
   3.731    225.0   -10.63    0.192
   3.762    171.1   -10.71    0.165
   3.792    192.2   -10.52    0.183
   3.823    146.8   -10.64    0.187
   3.853    234.7   -10.70    0.169
   3.884    197.6   -10.88    0.190
   3.914    165.4   -10.83    0.260
   3.945    168.3   -10.86    0.299
   3.975    196.7   -11.20    0.260

KNIF2    36Cl
Top Depthatoms/g  Error (%)
   0.000     2670      5.1
   0.450     3958      4.0
   0.795     4479      4.0
   1.200    11424      2.7
   1.540    11705      2.6
   1.895     2128      7.2
   2.260     1467      7.3
   2.640     1850      6.1
   3.180     1991     18.2
   3.505     1986      7.9
   3.880     2587      6.5
   4.250     2446      6.7
   4.695     1662      7.5
   5.110     1851      7.2
   5.530     1404      8.4
   5.975


Data from Fig. 2-supplemental.  

The 50-year averages of d18O, Mg2+, Ca2+, K+, 
NH4+, Na+, SO42-, NO3-, F-, Cl and dust 
(diameters from 0.63 to 16.0 µm per ml sample) 
are shown for the entire NIF2
record (above) and the entire NIF3 record (below).





       KNIF2 ion chemistry (ppb)                                  Dust>0.63um
Top Age Cl-      F-   Na+    NO3-    NH4+   Ca++   K+      Mg++ SO4--  10^5/ml
  0.00  111.9    5.7  187.6  337.7   65.4   44.4   51.0    4.8  111.9  0.334
  0.05  108.0    6.7  192.0  335.2   66.0   51.8   48.5    8.1  139.9  1.153
  0.10  137.0    6.3  129.1  408.1   90.7   45.1   39.4    5.3   85.1  0.168
  0.15   66.0    6.4  161.5  208.8   47.8   54.5   37.8    5.8   64.4  0.302
  0.20   44.7    3.2   78.7  161.5   42.8   32.5   22.2    2.9   40.6  0.248
  0.25   44.6    2.5   78.9  230.7   42.1   28.9   27.8    4.8   62.3  0.224
  0.30   63.9    3.1   68.1  253.4   57.4   23.7   22.4    4.2   55.2  0.243
  0.35   64.2    2.3   64.2  290.7   64.0   25.6   28.3    5.0   73.8  0.099
  0.40  110.5    4.4  160.0  268.6   67.3   27.9   24.1    3.0   59.1  0.256
  0.45   91.5    2.2  134.7  374.3   62.5   27.2   35.0    3.3   50.6  0.901
  0.50   70.6    2.4  107.6  263.6   66.4   31.0   23.8    3.6   64.4  2.392
  0.55   86.3    2.6  155.2  333.3   64.1   60.4   41.1    6.2  145.5  0.269
  0.60   38.6    0.4  107.1  108.3   20.6   18.0   18.7    1.3   33.3  0.095
  0.65  100.7    3.3  192.5  371.6   69.7   44.1   40.2    7.0  148.0  0.143
  0.70   83.9    5.1  191.2  292.7   58.5   40.0   34.6    8.1   94.4  0.240
  0.75  151.0    5.0  611.3  190.9   29.9   91.8   37.9   18.0  140.6  0.289
  0.80  160.6    6.8  535.1  605.5   86.5  182.6   26.7   26.6  453.1  0.246
  0.85   92.0    4.9  124.0  255.0   81.6   41.5   14.4    6.4   86.2  0.292
  0.90   44.8    5.0   57.1  191.1   48.2   25.7   18.4    3.3   53.4  0.179
  0.95   64.1    3.4   78.9  211.0   65.0   24.2   22.2    3.7   91.6  0.198
  1.00   90.4    2.3   91.7  325.2   83.0   27.3   32.5    4.6   97.8  0.223
  1.05   52.4    3.0  101.9  364.2   46.0   70.8   55.7   15.1  255.7  0.097
  1.10   80.9    6.4  152.0  619.3   71.7  109.1   96.5   28.1  305.5  0.106
  1.15   72.5    2.1   76.8  401.8   66.8   30.8   40.0    4.0  106.0  0.099
  1.20  126.3    5.5  171.5  751.8  113.1  153.1   91.8   12.3  439.9  0.113
  1.25   83.8    2.5  111.4  467.8   76.6   69.4   53.3   11.6  249.7  0.169
  1.30   89.0    4.8  141.8  492.4   79.5   81.4   50.3   19.2  383.7  0.109
  1.35   67.5    3.0   86.3  349.9   66.9   29.5   29.9    9.6  173.1  0.113
  1.40   36.9    1.1   28.7  215.5   46.4   21.6   20.9    4.9   88.6  0.073
  1.45   45.6    1.3   50.8  304.4   50.3   26.0   24.9    5.6  108.7  0.132
  1.50   62.6    3.3  101.4  556.7   75.0   82.9   61.4   10.4  319.0  0.132
  1.55   65.0    2.7   66.6  290.4   74.1   48.2   31.2   11.5  141.8  0.259
  1.60   59.5    0.7   48.1  227.7   55.4   24.1   21.3    3.7   48.5  0.115
  1.65   59.0    0.9   56.7  296.7   65.4   20.6   25.9    4.6   54.7  0.120
  1.70   36.5    1.1   38.5  193.0   47.6   13.7   19.7    4.3   35.8  0.140
  1.75   44.0    0.8   40.6  222.1   47.3   29.4   21.3    3.9   72.7  0.092
  1.80   34.8    0.7   35.6  190.5   43.6   17.9   14.8    4.5   54.5  0.090
  1.85   61.5    3.0  103.2  440.3   63.9   40.1   48.8    4.4  118.2  0.095
  1.90   71.1   27.7  167.5  342.9   58.9   85.1   49.5    7.1   98.3  0.236
  1.95   69.6   16.4  156.3  309.5   38.9   89.9   39.6    7.8  156.1  0.101
  2.00  114.3    5.3  116.7  428.4  102.6   53.6   41.0    4.9  119.5  0.194
  2.05   81.1    3.1  122.6  467.4   72.6   38.0   37.2    5.0  107.0  0.113
  2.10   39.7    1.0   47.1  212.4   34.4   19.7   16.8    2.1   39.3  0.079
  2.15   76.8    1.4   66.1  245.4   58.3   22.3   20.3    3.1   53.0  0.098
  2.20   31.7    0.9   26.5  132.2   29.6   14.5   12.1    1.8   29.3  0.072
  2.25   42.4    1.5   46.4  171.7   33.2   14.2   14.4    2.3   32.1  0.203
  2.30   64.1    1.8   70.4  257.3   57.8   24.9   20.4    2.8   53.9  0.210
  2.35   56.4    1.3   63.9  275.0   59.3   36.3   25.3    4.1   80.6  0.086
  2.40   59.8    1.5   67.2  283.3   56.2   44.4   26.9    4.8   98.9  0.132
  2.45   51.7    1.9   76.2  317.2   53.8   66.3   37.8    7.3  175.1  0.110
  2.50   68.7    2.6  106.6  407.3   69.3   96.2   50.1    9.7  257.3  0.124
  2.55   53.0    3.6   72.3  304.0   56.0   62.5   37.1    9.4  190.2  0.062
  2.60   87.7    7.3  195.9  704.9   79.3  198.0  120.3   32.0  717.7  0.080
  2.65  131.6    6.0  221.7  792.9   99.4  163.6  116.4   26.6  570.3  0.129
  2.70  125.2   18.8  309.6  987.1   83.3   98.8  198.9   46.8  517.6  0.289
  2.75   40.9    1.3   48.2  205.7   41.0   41.7   21.3    5.6  123.5  0.104
  2.80    9.0    1.4   15.8  104.0   15.8   19.2   12.5    6.1   92.8  0.065
  2.85   47.4    1.5   51.4  211.9   39.9   27.5   21.2    8.4  139.8  0.089
  2.90   36.6    3.1   44.7  241.6   33.5   20.4   23.4    9.6  142.2  0.093
  2.95   54.5    3.2   77.7  382.2   60.5   46.9   43.6   14.6  238.2  0.120
  3.00  102.3    1.6   95.1  445.4  100.3   71.0   37.3   10.7  211.1  0.130
  3.05   24.9    0.8   28.4  148.3   26.3   19.7   11.9    5.8   59.8  0.101
  3.10   25.1    2.3   56.1  229.8   29.1   21.8   26.5    3.7  117.1  0.115
  3.15   63.3    1.1   60.9  241.4   58.1   37.6   22.2    6.0   78.5  0.135
  3.20   56.2    1.6   54.8  222.8   52.0   48.6   24.6    8.1  114.0  0.135
  3.25   29.5    0.9   28.8  172.1   33.6   24.6   19.4    6.9   65.0  0.085
  3.30   29.3    1.0   37.4  158.0   30.8   17.1   16.0    6.6   48.6  0.111
  3.35   36.4    1.2   38.2  140.9   30.6   22.9   14.9    4.0   50.4  0.118
  3.40   64.8    1.4   56.1  231.1   59.9   29.4   21.6    5.0   65.5  0.124
  3.45   42.1    1.9   47.5  263.8   53.3   44.8   23.2   12.2  186.7  0.092
  3.50  108.7    4.1  181.3  637.5   70.1  211.7   84.7   17.3  543.6  0.078
  3.55  101.6    8.4  153.7  531.8   80.5   96.8   62.0   10.1  292.9  0.081
  3.60   80.6    9.7  120.2  367.2   63.1   72.2   53.5   11.4  225.6  0.119
  3.65   95.0    6.6  109.6  369.9   78.2   84.8   49.7   12.1  215.5  0.110
  3.70   47.2    4.9   61.6  136.4   49.1   20.6   12.9    2.5   71.0  0.093
  3.75   55.0    7.4   48.9  113.3   35.8   13.1   16.9    1.5   37.5  0.096
  3.80   95.8    3.7   52.4  162.9   69.1    7.8   13.5    1.3   20.7  0.068
  3.85  212.9   10.3   94.3  240.2  125.4   14.6   19.3    1.2   21.5  0.156
  3.90  260.3   17.4  133.9  325.7  144.2    7.2   23.7    1.1   24.6  0.165
  3.95   78.9   41.4  131.9  236.5   50.4   11.7   20.0    1.2   24.6  0.084
	       	     
        KNIF3 ion chemistry (ppb)
Top Age Cl-     F-   Na+    NO3-    NH4+   Ca++   K+      Mg++ SO4--
  0.00   81.6    5.6  127.5  316.8   76.4   71.0   85.8    7.4  111.1
  0.05   89.1    5.2   88.3  300.7   47.4   33.7   39.2    4.4   56.8
  0.10  100.6    5.5  112.1  269.5   82.1   26.3   30.7    2.8   25.0
  0.15   53.4    6.5   81.2  119.9   45.3   29.9   16.2    3.3   31.6
  0.20   59.3    7.5   83.6  155.1   55.5   35.8   17.4    4.2   52.3
  0.25   80.6    4.2   97.3  205.6   68.6   24.5   21.9    2.9   39.8
  0.30  114.2    3.3  104.2  253.3   82.4   25.6   18.1    3.0   40.2
  0.35   57.6    1.5   47.4  180.4   47.6   18.8   15.5    2.5   40.9
  0.40  120.6    4.0   81.1  309.7   96.0   20.0   16.5    2.7   48.4
  0.45   77.3    1.9   49.5  240.5   69.1   14.1   12.9    1.6   49.4
  0.50   86.8    1.7   71.7  314.0   76.4   27.1   21.3    2.3   46.7
  0.55   48.7    1.5   44.4  197.9   49.3   27.1   13.9    2.2   35.3
  0.60   17.2    0.8   21.7   43.9   16.4    9.6   11.5    1.6   10.8
  0.65   93.1    3.3  147.3  426.7   81.0   59.6   70.8   11.8  167.4
  0.70   95.7    1.6   94.9  262.9   78.5   30.7   14.3    3.6   67.7
  0.75   70.9    1.5   66.9  250.8   66.2   24.1    8.9    2.5   54.8
  0.80  101.7    2.4   97.4  377.6   79.4   43.7   27.5    6.5  119.9
  0.85  119.6    4.2  102.3  352.5   96.9   44.0   36.8    6.6   83.8
  0.90   55.2    3.9   41.8  132.9   44.0   16.9   11.3    1.5   27.3
  0.95   62.6    3.3   49.4  208.1   56.3   21.9   18.9    2.3   38.6
