#Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1953,47.40,67.53,11.56,30.34,38.59,21.03,20.31,51.06,30.58,54.90,36.50,15.83
1954,78.87,81.79,4.69,29.88,9.67,32.05,41.29,37.51,20.60,84.32,60.73,60.63
1955,57.61,117.55,36.46,45.68,61.10,40.50,41.77,54.43,34.52,89.63,33.64,32.21
1956,81.82,104.95,159.28,61.59,84.91,70.19,74.05,23.03,32.86,58.90,21.74,32.89
1957,21.34,50.57,29.87,21.28,7.04,46.52,30.62,20.81,9.56,20.91,13.90,37.89
1958,50.24,33.57,37.25,24.81,40.56,40.95,33.83,49.66,38.18,57.68,42.05,43.53
1959,65.42,70.75,65.70,41.96,21.11,20.95,31.38,15.02,24.21,63.02,30.39,42.77
1960,47.47,37.62,20.70,28.93,61.98,18.32,55.39,38.57,48.63,22.85,56.61,39.60
1961,29.86,44.04,40.73,58.41,12.38,23.60,43.23,32.00,15.01,32.04,86.21,59.41
1962,103.77,23.97,62.67,20.52,40.57,21.17,34.18,41.64,32.71,37.16,17.91,86.75
1963,86.95,25.24,89.71,24.03,67.34,45.22,29.11,41.25,31.06,34.11,39.75,43.88
1964,44.36,24.51,24.10,51.16,33.87,30.20,46.29,28.43,75.98,63.32,27.47,27.53
1965,10.82,7.71,5.41,18.15,21.38,16.66,29.33,41.02,30.35,32.01,28.56,71.72
1966,27.50,28.74,38.31,10.01,25.36,27.24,26.99,67.61,35.46,45.34,50.66,60.43
1967,25.38,17.77,55.40,3.31,24.89,41.66,15.09,36.08,12.92,27.26,8.36,25.10
1968,87.64,21.66,36.27,43.78,86.70,23.91,38.13,45.08,16.98,25.54,24.42,51.67
1969,27.87,55.83,93.81,28.00,48.36,27.09,41.82,29.24,35.77,53.89,48.99,28.86
1970,64.15,23.97,38.94,56.66,21.07,18.32,9.73,39.96,77.03,31.13,51.45,77.91
1971,71.73,74.18,39.79,34.13,26.18,16.27,41.55,44.64,38.73,21.94,56.72,63.91
1972,76.62,37.72,11.88,23.97,22.83,11.23,14.54,38.60,15.12,42.04,46.92,18.52
1973,55.42,121.34,31.91,37.13,27.06,44.93,53.81,58.13,41.23,95.28,67.94,68.71
1974,168.05,49.30,30.73,104.81,53.01,18.60,40.17,51.04,40.69,67.76,42.60,14.75
1975,38.36,61.38,48.85,12.82,16.94,34.78,35.88,41.82,56.35,86.60,19.46,86.14
1976,108.86,123.84,34.67,10.26,15.33,22.32,33.12,18.51,38.33,72.91,48.19,28.76
1977,44.02,71.93,61.81,26.80,81.54,29.45,11.84,11.59,20.06,19.68,25.91,13.20
1978,88.05,15.38,52.03,17.30,75.70,57.97,57.82,39.38,72.39,33.13,60.09,55.37
1979,33.44,23.71,39.92,28.66,47.64,28.90,12.95,33.42,52.58,44.15,33.94,11.09
1980,33.12,22.22,18.79,31.81,49.80,28.64,36.03,24.94,11.84,48.94,13.72,51.71
1981,26.01,50.86,22.09,19.32,68.25,64.99,77.48,35.22,18.51,38.79,52.37,27.74
1982,46.80,16.62,81.39,13.79,20.61,13.00,9.23,5.41,22.04,17.55,5.60,28.66
1983,30.90,23.42,64.15,64.67,120.53,35.19,41.97,52.57,40.45,45.69,81.26,50.59
1984,162.42,38.12,25.01,48.20,8.84,19.82,91.60,45.48,35.19,41.14,31.20,23.53
1985,15.81,21.08,23.38,23.81,28.90,28.37,29.25,72.24,22.60,59.93,67.52,62.80
1986,24.88,21.13,2.85,18.16,43.65,9.97,73.82,48.67,40.24,55.54,46.08,32.42
1987,51.79,34.64,45.39,10.79,45.31,51.55,28.40,52.84,15.06,41.68,34.16,61.31
1988,41.00,36.53,31.84,88.25,53.89,40.05,65.22,32.54,49.58,12.95,42.96,76.04
1989,27.25,18.61,92.89,80.39,85.07,43.70,40.84,28.81,13.36,38.32,37.54,30.81
1990,30.53,44.33,39.94,150.67,53.76,30.96,56.30,40.19,24.63,28.81,9.81,21.23
1991,83.53,37.24,13.65,10.10,33.42,54.27,42.91,28.72,25.50,11.49,26.08,61.47
1992,31.76,71.46,13.95,27.55,37.29,18.60,21.70,56.95,49.05,59.40,64.76,106.13
1993,60.54,29.52,32.01,3.24,26.39,26.02,72.44,25.31,64.39,72.25,37.70,63.95
1994,16.79,92.83,39.19,8.95,10.05,30.54,12.39,8.99,12.55,27.35,42.54,24.73
1995,126.87,29.45,7.40,18.73,68.04,44.05,37.76,7.45,38.88,48.09,72.25,37.86
1996,96.00,29.12,21.76,22.52,50.54,41.57,58.58,46.49,48.31,43.31,33.76,51.72
1997,64.08,68.73,20.77,2.13,48.36,22.33,10.91,22.69,57.66,38.87,41.77,48.89
1998,52.70,44.43,4.19,58.45,32.02,51.06,86.19,54.83,73.97,45.18,50.31,21.06
1999,53.43,35.19,71.31,29.88,32.47,35.44,32.16,39.21,25.94,74.45,66.71,88.20
2000,27.49,63.62,65.79,45.10,60.70,24.54,26.48,38.57,25.42,69.85,103.48,23.82
2001,35.16,42.41,42.60,18.42,16.76,40.13,38.79,25.69,29.56,51.49,45.63,19.90
2002,28.84,63.88,27.72,14.01,15.96,23.05,10.91,18.29,24.17,9.43,15.90,27.57
2003,12.72,67.50,22.81,39.11,22.10,37.35,38.17,58.19,13.77,47.18,28.09,53.35
2004,72.04,31.36,29.54,21.66,24.36,31.57,25.89,35.00,32.96,24.84,60.18,77.09
2005,28.84,31.19,11.68,5.15,16.24,91.89,31.43,33.54,48.40,56.88,53.19,30.44
2006,38.57,27.16,22.68,23.13,7.94,33.78,43.69,8.46,17.87,3.51,26.80,23.05
2007,52.05,32.32,36.73,27.41,45.68,39.14,19.74,21.51,8.72,29.32,70.20,91.63
