% Antarctica 2K 2017 isotope anomalies
Units
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica: WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
535	0.5536	0.2106	      NaN	0.3406	0.9047	      NaN	      NaN	0.5686	0.4831	0.4683
545	0.4926	0.6813	      NaN	-0.0276	1.2654	-0.0926	      NaN	0.6633	0.4434	0.5902
555	1.2863	0.8376	      NaN	0.1081	0.7445	0.414	      NaN	0.1906	0.9088	0.8188
565	0.6874	-0.3651	      NaN	-0.3001	0.5648	-0.391	      NaN	0.1103	0.246	0.183
575	0.3528	0.5664	      NaN	-0.3826	0.7312	-0.151	      NaN	0.3343	0.2638	0.3229
585	0.8265	0.274	      NaN	0.2212	0.3002	-1.246	      NaN	0.5036	0.3899	0.2965
595	1.1313	0.3659	      NaN	0.1143	0.6026	0.743	      NaN	0.238	0.9036	0.8155
605	-0.322	0.3863	      NaN	0.0449	1.6502	-1.273	      NaN	0.7011	-0.3133	0.0472
615	1.1756	0.068	      NaN	0.0887	1.144	-0.818	      NaN	0.4004	0.5957	0.6184
625	0.3999	0.2128	      NaN	-0.5801	0.9335	0.474	      NaN	0.2062	0.2628	0.2828
635	-0.3213	0.0799	      NaN	-0.1232	0.5875	1.491	      NaN	0.4576	-0.1097	0.066
645	0.4019	0.4257	      NaN	-0.1919	0.2849	0.163	      NaN	-0.071	0.3201	0.3528
655	-0.5023	-0.0294	      NaN	-0.3607	0.4177	0.0474	      NaN	-0.1449	-0.4531	-0.2814
665	0.5894	0.3913	      NaN	-0.1607	0.6572	0.7607	      NaN	0.1939	0.4947	0.45
675	0.5878	0.0915	      NaN	0.0831	1.4557	0.422	      NaN	0.8583	0.4493	0.5781
685	0.7798	0.484	      NaN	-0.2838	0.7538	-0.594	      NaN	0.2418	0.4522	0.426
695	0.2443	0.5635	      NaN	-0.1657	-0.0299	1.513	      NaN	-0.1316	0.2974	0.2497
705	1.1274	0.9663	      NaN	-0.1347	0.8239	-0.716	      NaN	0.2991	0.6515	0.6267
715	0.2877	1.1028	      NaN	-0.2411	0.5387	0.0118	      NaN	0.1799	0.3621	0.4056
725	0.5108	-0.1406	      NaN	0.3149	1.2366	0.494	      NaN	0.7947	0.4925	0.6237
735	0.4413	0.3418	      NaN	0.2187	0.4396	-0.356	      NaN	0.1349	0.1954	0.2342
745	0.3935	0.6987	      NaN	-0.4938	0.9604	-0.271	      NaN	0.3383	0.3422	0.3548
755	0.2272	0.4938	      NaN	-0.2894	0.9511	-0.411	      NaN	0.4809	0.0544	0.1246
765	-0.1042	0.4174	      NaN	-0.5757	0.3313	0.4569	      NaN	0.0035	0.0887	0.1209
775	0.7444	0.7253	      NaN	0.2212	0.7064	-0.326	      NaN	0.3266	0.529	0.5647
785	-0.5607	0.3027	      NaN	-0.4176	0.2777	-0.209	      NaN	-0.1711	-0.357	-0.2049
795	0.533	0.62	      NaN	-0.1294	0.4175	-0.7522	      NaN	-0.0107	0.3247	0.2408
805	0.5748	0.4436	      NaN	-0.1057	0.9647	-0.0385	      NaN	0.5829	0.439	0.462
815	-0.7642	0.3452	      NaN	0.2593	0.4566	-0.3037	      NaN	0.3415	-0.3517	-0.0977
825	0.4312	0.2359	      NaN	0.6049	0.2579	-0.3971	      NaN	0.2197	0.3354	0.3302
835	-0.1236	0.8853	      NaN	0.2806	0.8847	-1.17	      NaN	0.4973	-0.2678	0.0294
845	-0.4652	0.4264	      NaN	-0.1044	0.2	-1.2704	      NaN	-0.0054	-0.4163	-0.2525
855	0.5379	0.4426	      NaN	-0.0819	0.2921	-0.959	      NaN	-0.0719	0.1458	0.1459
865	-0.3461	1.0996	      NaN	0.1031	0.3703	0.5126	      NaN	0.2254	0.046	0.1939
875	0.4767	0.5668	      NaN	-0.2351	0.7575	-0.1137	      NaN	0.3102	0.3025	0.3376
885	0.3631	0.2856	      NaN	-0.2288	0.4571	-0.5585	      NaN	0.1629	0.1746	0.1374
895	0.8247	0.8011	      NaN	-0.1363	0.3841	-0.734	      NaN	0.0907	0.4405	0.3413
905	0.9819	-0.0485	      NaN	-0.0813	0.5026	-0.1222	      NaN	0.2986	0.5532	0.4536
915	0.9916	0.0784	      NaN	-0.5851	0.7612	-0.378	      NaN	0.3998	0.5651	0.5148
925	0.1289	0.6935	      NaN	-0.0376	0.6545	0.702	      NaN	0.227	0.2694	0.3939
935	0.6951	0.5598	      NaN	0.6506	0.335	-1.069	      NaN	0.2651	0.3367	0.38
945	0.5752	0.0279	      NaN	-0.4738	0.6299	-0.364	      NaN	0.0148	0.327	0.3249
955	0.4348	-0.019	      NaN	-0.6438	0.3113	-0.322	      NaN	0.0197	0.2565	0.1245
965	0.1212	-0.0557	      NaN	-0.4501	0.7857	0.864	      NaN	0.3474	0.1977	0.2594
975	0.6192	0.1552	      NaN	-0.1619	0.3184	0.844	      NaN	0.0829	0.4344	0.46
985	-0.3353	0.5231	      NaN	0.5474	0.3932	0.9753	      NaN	0.1016	-0.0612	0.24
995	-0.1211	0.6354	      NaN	-0.3263	0.4003	-0.5072	      NaN	0.0126	-0.1011	0.0179
1005	-0.9575	-0.0162	0.6446	0.2031	0.4669	1.462	      NaN	0.3631	-0.2095	0.0554
1015	0.1871	0.5127	-0.9564	0.6531	0.6677	-0.017	      NaN	0.4588	0.1417	0.296
1025	-0.2663	0.3954	0.4306	-0.3594	0.1119	-0.147	      NaN	-0.1301	0.0435	0.0653
1035	0.0387	0.405	-0.1324	-0.5119	1.2373	-0.3593	      NaN	0.7145	0.1106	0.289
1045	-0.8289	0.4803	0.0876	-0.0126	0.3586	-1.2504	      NaN	0.157	-0.4754	-0.2924
1055	-0.4761	0.5735	1.3356	-0.3713	0.2856	1.018	      NaN	-0.0303	0.1835	0.2831
1065	-0.3821	0.0596	-0.3014	-0.7607	0.9203	-0.0785	      NaN	0.2586	-0.2343	0.0089
1075	-0.0283	0.4515	0.6266	-0.1376	0.4452	-0.736	      NaN	0.1501	0.1057	0.168
1085	-0.8383	0.3753	-0.4134	0.0224	0.5386	-0.016	      NaN	0.1715	-0.502	-0.2153
