% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica: WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
525	0.4636	-0.0843	      NaN	0.7748	0.8723	0.3776	      NaN	0.3801	0.2698	0.4125
535	0.5265	0.4015	      NaN	0.8514	0.9409	      NaN	      NaN	0.584	0.4831	0.479
545	0.4685	1.2992	      NaN	-0.0689	1.316	-0.0767	      NaN	0.6812	0.4434	0.6038
555	1.2233	1.5972	      NaN	0.2701	0.7743	0.3428	      NaN	0.1958	0.9088	0.8376
565	0.6537	-0.6963	      NaN	-0.7502	0.5874	-0.3237	      NaN	0.1132	0.246	0.1873
575	0.3355	1.0801	      NaN	-0.9564	0.7605	-0.125	      NaN	0.3433	0.2638	0.3303
585	0.786	0.5225	      NaN	0.553	0.3122	-1.0316	      NaN	0.5172	0.3899	0.3034
595	1.0758	0.6977	      NaN	0.2858	0.6267	0.6152	      NaN	0.2444	0.9036	0.8343
605	-0.3063	0.7366	      NaN	0.1123	1.7163	-1.054	      NaN	0.72	-0.3133	0.0482
615	1.118	0.1296	      NaN	0.2217	1.1897	-0.6773	      NaN	0.4112	0.5957	0.6326
625	0.3803	0.4059	      NaN	-1.4502	0.9708	0.3925	      NaN	0.2117	0.2628	0.2893
635	-0.3055	0.1523	      NaN	-0.308	0.611	1.2346	      NaN	0.47	-0.1097	0.0675
645	0.3822	0.8118	      NaN	-0.4799	0.2963	0.135	      NaN	-0.0729	0.3201	0.361
655	-0.4777	-0.0561	      NaN	-0.9017	0.4344	0.0392	      NaN	-0.1488	-0.4531	-0.2878
665	0.5605	0.7461	      NaN	-0.4017	0.6834	0.6299	      NaN	0.1991	0.4947	0.4603
675	0.559	0.1745	      NaN	0.2076	1.5139	0.3495	      NaN	0.8814	0.4493	0.5914
685	0.7416	0.9229	      NaN	-0.7095	0.784	-0.4918	      NaN	0.2483	0.4522	0.4358
695	0.2323	1.0747	      NaN	-0.4142	-0.0311	1.2528	      NaN	-0.1352	0.2974	0.2554
705	1.0721	1.8427	      NaN	-0.3366	0.8569	-0.5928	      NaN	0.3072	0.6515	0.6411
715	0.2736	2.1031	      NaN	-0.6028	0.5602	0.0098	      NaN	0.1848	0.3621	0.4149
725	0.4857	-0.2681	      NaN	0.7873	1.2861	0.4091	      NaN	0.8162	0.4925	0.6381
735	0.4197	0.6518	      NaN	0.5467	0.4572	-0.2947	      NaN	0.1386	0.1954	0.2396
745	0.3742	1.3324	      NaN	-1.2345	0.9988	-0.2243	      NaN	0.3475	0.3422	0.363
755	0.216	0.9416	      NaN	-0.7236	0.9891	-0.3403	      NaN	0.4939	0.0544	0.1275
765	-0.0991	0.796	      NaN	-1.4392	0.3445	0.3783	      NaN	0.0036	0.0887	0.1237
775	0.708	1.3831	      NaN	0.553	0.7346	-0.2699	      NaN	0.3355	0.529	0.5777
785	-0.5333	0.5773	      NaN	-1.0439	0.2888	-0.173	      NaN	-0.1757	-0.357	-0.2096
795	0.5069	1.1824	      NaN	-0.3236	0.4342	-0.6228	      NaN	-0.011	0.3247	0.2464
805	0.5466	0.846	      NaN	-0.2642	1.0033	-0.0318	      NaN	0.5986	0.439	0.4726
815	-0.7267	0.6583	      NaN	0.6483	0.4749	-0.2515	      NaN	0.3507	-0.3517	-0.0999
825	0.4101	0.4499	      NaN	1.5123	0.2683	-0.3288	      NaN	0.2256	0.3354	0.3378
835	-0.1175	1.6883	      NaN	0.7014	0.9201	-0.9687	      NaN	0.5107	-0.2678	0.0301
845	-0.4424	0.8132	      NaN	-0.2611	0.208	-1.0519	      NaN	-0.0055	-0.4163	-0.2583
855	0.5115	0.844	      NaN	-0.2049	0.3037	-0.794	      NaN	-0.0739	0.1458	0.1492
865	-0.3291	2.0969	      NaN	0.2576	0.3851	0.4244	      NaN	0.2315	0.046	0.1984
875	0.4534	1.0809	      NaN	-0.5877	0.7878	-0.0942	      NaN	0.3186	0.3025	0.3453
885	0.3453	0.5446	      NaN	-0.572	0.4754	-0.4624	      NaN	0.1673	0.1746	0.1406
895	0.7843	1.5277	      NaN	-0.3408	0.3995	-0.6077	      NaN	0.0932	0.4405	0.3491
905	0.9337	-0.0925	      NaN	-0.2033	0.5227	-0.1012	      NaN	0.3067	0.5532	0.464
915	0.943	0.1495	      NaN	-1.4627	0.7917	-0.3129	      NaN	0.4106	0.5651	0.5267
925	0.1226	1.3226	      NaN	-0.0939	0.6807	0.5813	      NaN	0.2331	0.2694	0.403
935	0.6611	1.0675	      NaN	1.6264	0.3484	-0.8851	      NaN	0.2722	0.3367	0.3887
945	0.547	0.0532	      NaN	-1.1845	0.6551	-0.3014	      NaN	0.0152	0.327	0.3323
955	0.4135	-0.0363	      NaN	-1.6095	0.3238	-0.2666	      NaN	0.0202	0.2565	0.1274
965	0.1153	-0.1063	      NaN	-1.1252	0.8171	0.7154	      NaN	0.3568	0.1977	0.2654
975	0.5888	0.2959	      NaN	-0.4049	0.3311	0.6989	      NaN	0.0852	0.4344	0.4706
985	-0.3189	0.9975	      NaN	1.3686	0.4089	0.8075	      NaN	0.1044	-0.0612	0.2455
995	-0.1151	1.2118	      NaN	-0.8158	0.4163	-0.42	      NaN	0.013	-0.1011	0.0183
1005	-0.9106	-0.0309	0.6478	0.5076	0.4856	1.2106	      NaN	0.3729	-0.2095	0.0567
1015	0.1779	0.9777	-0.9612	1.6326	0.6944	-0.014	      NaN	0.4711	0.1417	0.3028
1025	-0.2532	0.754	0.4327	-0.8986	0.1164	-0.1217	      NaN	-0.1336	0.0435	0.0668
1035	0.0368	0.7724	-0.1331	-1.2799	1.2868	-0.2975	      NaN	0.7338	0.1106	0.2956
1045	-0.7882	0.916	0.088	-0.0314	0.3729	-1.0353	      NaN	0.1613	-0.4754	-0.2991
1055	-0.4528	1.0936	1.3422	-0.9283	0.297	0.8429	      NaN	-0.0312	0.1835	0.2897
