% Antarctica 2K 2017 isotope anomalies
% weighting method : unweighted, with grid reduction
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast


Time (year AD, centre of 10y bin)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast
5	-0.3009	      NaN	      NaN	0.1431	-1.0052	0.1196	       NaN
15	-0.5229	      NaN	      NaN	-0.0994	0.6529	0.6353	       NaN
25	0.2781	      NaN	      NaN	-0.0569	0.0564	-0.834	       NaN
35	-0.4162	      NaN	      NaN	0.2762	0.7945	-0.501	       NaN
45	-0.6579	      NaN	      NaN	0.0112	-0.2051	0.4678	       NaN
55	0.4962	      NaN	      NaN	0.1437	0.0547	-0.8535	       NaN
65	-0.1151	      NaN	      NaN	0.6481	0.1587	0.81	       NaN
75	-0.2163	      NaN	      NaN	0.1724	0.3012	0.402	       NaN
85	-0.1807	      NaN	      NaN	0.3662	0.7567	1.669	       NaN
95	-0.9599	      NaN	      NaN	-0.2551	-0.4742	0.323	       NaN
105	-0.3346	      NaN	      NaN	0.2831	-0.0063	-1.229	       NaN
115	-0.352	      NaN	      NaN	0.2787	-0.4677	-0.121	       NaN
125	-0.0555	      NaN	      NaN	0.4949	0.1365	2.449	       NaN
135	0.2002	      NaN	      NaN	0.4112	0.6555	0.2429	       NaN
145	0.7752	      NaN	      NaN	0.6689	0.2057	-0.0993	       NaN
155	0.5406	      NaN	      NaN	0.3128	0.1072	-0.6504	       NaN
165	0.4149	      NaN	      NaN	0.4393	0.1477	-1.8197	       NaN
175	0.1332	-0.2578	      NaN	0.0468	-0.161	0.0953	       NaN
185	-0.4928	0.6046	      NaN	0.2312	-0.6985	1.094	       NaN
195	-0.2067	-0.0952	      NaN	0.3556	-0.4959	-1.006	       NaN
205	-0.4776	0.5562	      NaN	-0.3132	-0.2621	-1.1422	       NaN
215	0.0502	0.0202	      NaN	0.1356	-0.3732	1.2218	       NaN
225	0.071	0.1535	      NaN	-0.2932	0.5907	-0.003	       NaN
235	0.5702	-0.2326	      NaN	-0.0232	0.1665	1.457	       NaN
245	0.2956	0.416	      NaN	0.1406	-0.0742	0.956	       NaN
255	-0.1685	0.1462	      NaN	-0.278	0.2527	-0.621	       NaN
265	0.1994	0.1196	      NaN	-0.4134	0.1528	-0.221	       NaN
275	0.0098	0.0607	      NaN	0.3618	0.4244	0.134	       NaN
285	-0.165	-0.3666	      NaN	0.0049	-0.7748	-1.704	       NaN
295	-0.1667	0.5039	      NaN	-0.1119	0.0558	0.4965	       NaN
305	-0.2368	0.0811	      NaN	0.0456	0.6311	-0.977	       NaN
315	0.0508	0.225	      NaN	-0.1869	0.1341	-1.4135	       NaN
325	0.1276	0.5196	      NaN	-0.5551	-0.2224	-0.466	       NaN
335	0.0716	0.322	      NaN	-0.1269	-0.1346	0.393	       NaN
345	-0.4717	0.2203	      NaN	-0.5657	0.3432	0.0565	       NaN
355	0.1759	0.1534	      NaN	0.5518	-0.1143	-0.0388	       NaN
365	0.1257	0.736	      NaN	0.3756	-0.5895	-0.6397	       NaN
375	0.6549	0.0983	      NaN	0.1968	-0.5505	      NaN	       NaN
385	0.4062	0.4238	      NaN	0.5699	-0.0231	-0.336	       NaN
395	-0.5929	0.3922	      NaN	0.8399	-0.4197	0.25	       NaN
405	0.8382	-0.3372	      NaN	0.0306	-0.0895	-1.8288	       NaN
415	0.7385	0.7066	      NaN	0.1674	-0.279	0.0524	       NaN
425	0.3476	0.1877	      NaN	-0.5119	-0.0394	-1.1831	       NaN
435	0.2359	0.0908	      NaN	0.3381	0.0583	-0.696	       NaN
445	0.9445	0.4948	      NaN	-0.0513	-0.3094	-0.5197	       NaN
455	0.6465	0.1412	      NaN	0.1556	-0.0164	-0.356	       NaN
465	0.0547	0.2563	      NaN	0.7118	-0.1714	-0.239	       NaN
475	0.1074	0.1213	      NaN	0.8499	-1.2663	-0.9	       NaN
485	-0.4652	0.5589	      NaN	0.5262	0.037	0.78	       NaN
495	-0.4187	0.5129	      NaN	0.4962	0.0123	-0.066	       NaN
505	0.2004	0.4076	      NaN	0.1574	0.0617	0.0983	       NaN
515	0.3231	0.1638	      NaN	0.5299	-0.1154	      NaN	       NaN
525	0.0676	-0.0442	      NaN	0.3099	-0.14	0.456	       NaN
535	0.3759	0.2106	      NaN	0.3406	0.3435	      NaN	       NaN
545	0.495	0.6813	      NaN	-0.0276	0.4747	-0.0926	       NaN
555	1.0448	0.8376	      NaN	0.1081	-0.4036	0.414	       NaN
565	0.3459	-0.3651	      NaN	-0.3001	-0.1167	-0.391	       NaN
575	0.2764	0.5664	      NaN	-0.3826	0.4089	-0.151	       NaN
585	0.5238	0.274	      NaN	0.2212	0.9598	-1.246	       NaN
595	0.5976	0.3659	      NaN	0.1143	-0.1004	0.743	       NaN
605	-0.2301	0.3863	      NaN	0.0449	0.0743	-1.273	       NaN
615	0.5678	0.068	      NaN	0.0887	-0.2444	-0.818	       NaN
625	-0.1559	0.2128	      NaN	-0.5801	-0.0583	0.474	       NaN
635	-0.518	0.0799	      NaN	-0.1232	0.7456	1.491	       NaN
645	0.1005	0.4257	      NaN	-0.1919	-0.4012	0.163	       NaN
655	-0.7367	-0.0294	      NaN	-0.3607	-0.648	0.0474	       NaN
665	-0.0429	0.3913	      NaN	-0.1607	-0.0858	0.7607	       NaN
675	0.1611	0.0915	      NaN	0.0831	0.7395	0.422	       NaN
685	0.5682	0.484	      NaN	-0.2838	0.0343	-0.594	       NaN
695	0.0036	0.5635	      NaN	-0.1657	-0.2263	1.513	       NaN
705	0.6508	0.9663	      NaN	-0.1347	0.0067	-0.716	       NaN
715	0.3243	1.1028	      NaN	-0.2411	0.0748	0.0118	       NaN
725	0.3859	-0.1406	      NaN	0.3149	0.6357	0.494	       NaN
735	0.1247	0.3418	      NaN	0.2187	-0.2903	-0.356	       NaN
745	0.2713	0.6987	      NaN	-0.4938	0.2337	-0.271	       NaN
755	-0.0764	0.4938	      NaN	-0.2894	0.5095	-0.411	       NaN
765	-0.0463	0.4174	      NaN	-0.5757	0.0554	0.4569	       NaN
775	0.5146	0.7253	      NaN	0.2212	-0.0436	-0.326	       NaN
785	-0.4061	0.3027	      NaN	-0.4176	-0.5159	-0.209	       NaN
795	0.1527	0.62	      NaN	-0.1294	-0.4336	-0.7522	       NaN
805	0.2982	0.4436	      NaN	-0.1057	0.6511	-0.0385	       NaN
815	-0.1325	0.3452	      NaN	0.2593	0.2661	-0.3037	       NaN
825	0.2249	0.2359	      NaN	0.6049	-0.1206	-0.3971	       NaN
835	-0.4425	0.8853	      NaN	0.2806	0.1982	-1.17	       NaN
845	-0.3579	0.4264	      NaN	-0.1044	-0.176	-1.2704	       NaN
855	0.0978	0.4426	      NaN	-0.0819	-0.5008	-0.959	       NaN
865	-0.0557	1.0996	      NaN	0.1031	0.1451	0.5126	       NaN
875	0.1213	0.5668	      NaN	-0.2351	0.1905	-0.1137	       NaN
885	-0.0026	0.2856	      NaN	-0.2288	0.1095	-0.5585	       NaN
895	0.1554	0.8011	      NaN	-0.1363	-0.0877	-0.734	       NaN
905	0.2847	-0.0485	      NaN	-0.0813	0.3443	-0.1222	       NaN
915	0.5446	0.0784	      NaN	-0.5851	0.719	-0.378	       NaN
925	0.061	0.6935	      NaN	-0.0376	-0.0836	0.702	       NaN
935	0.2214	0.5598	      NaN	0.6506	-0.1134	-1.069	       NaN
945	0.1683	0.0279	      NaN	-0.4738	-0.3495	-0.364	       NaN
955	0.2435	-0.019	      NaN	-0.6438	0.1769	-0.322	       NaN
965	0.099	-0.0557	      NaN	-0.4501	0.4311	0.864	       NaN
975	0.1706	0.1552	      NaN	-0.1619	-0.0123	0.844	       NaN
985	-0.4458	0.5231	      NaN	0.5474	-0.5887	0.9753	       NaN
995	-0.2241	0.6354	      NaN	-0.3263	-0.1933	-0.5072	       NaN
1005	-0.4865	-0.0162	0.6446	0.2031	0.3608	1.462	       NaN
1015	0.0563	0.5127	-0.9564	0.6531	0.0597	-0.017	       NaN
1025	-0.3244	0.3954	0.4306	-0.3594	-0.2452	-0.147	       NaN
1035	0.214	0.405	-0.1324	-0.5119	1.0247	-0.3593	       NaN
1045	-0.1089	0.4803	0.0876	-0.0126	0.0449	-1.2504	       NaN
1055	-0.2291	0.5735	1.3356	-0.3713	-0.1486	1.018	       NaN
1065	-0.0889	0.0596	-0.3014	-0.7607	0.2438	-0.0785	       NaN
1075	-0.0564	0.4515	0.6266	-0.1376	0.0159	-0.736	       NaN
1085	-0.4543	0.3753	-0.4134	0.0224	-0.1549	-0.016	       NaN
1095	-0.2576	0.4894	-0.3054	-0.1194	-0.0799	0.711	       NaN
1105	0.1932	-0.2884	0.4696	-0.0888	-0.1279	-0.5385	       NaN
1115	-0.0266	0.1552	0.0286	-0.1801	0.2479	0.992	       NaN
1125	-0.0875	-0.1285	0.3836	0.2037	0.0211	-0.118	       NaN
1135	0.1621	0.2318	0.2976	-0.1288	-0.3825	-0.176	       NaN
1145	0.1309	0.3941	1.2211	0.1387	-1.4212	0.0412	       NaN
1155	0.1336	0.1268	-1.4924	-0.7601	-0.007	1.5507	       NaN
1165	0.0205	-0.0369	0.5096	-0.2176	-0.5637	-0.3925	       NaN
1175	0.1661	0.1973	-0.3784	-0.1188	-0.1356	-0.2694	       NaN
1185	0.3211	0.2767	-0.0934	-0.4026	0.1518	0.482	       NaN
1195	-0.1458	-0.1533	0.0256	-0.7563	-0.4069	-0.8231	       NaN
1205	-0.7281	0.3	1.2206	-0.4688	0.3041	-1.2002	       NaN
1215	-0.7197	0.4273	-1.2834	-0.3113	0.5145	-0.1495	       NaN
1225	-0.4829	0.0636	-0.4204	-0.2238	0.0263	-0.3316	       NaN
1235	-0.1798	0.278	0.3666	-0.3926	0.007	0.2804	       NaN
1245	-0.1427	0.3434	1.5886	-0.1701	0.2369	0.2295	       NaN
1255	-0.5218	0.0705	0.5476	0.4184	0.1687	-0.4637	       NaN
1265	-0.2094	-0.0924	0.2426	-0.1927	-0.131	0.821	       NaN
1275	-0.5008	-0.2265	1.0516	0.4728	-0.1405	0.8049	       NaN
1285	-0.5825	-0.0909	0.4216	-0.7527	-0.4514	-0.0423	       NaN
1295	-0.4632	-0.0696	0.4496	0.2528	-0.6118	-1.8296	       NaN
1305	-0.4248	0.3554	0.2296	-0.4889	0.2539	-1.2824	       NaN
1315	-0.106	0.4176	0.0866	0.1775	0.0386	-0.5412	       NaN
1325	-0.119	0.4673	0.0846	0.0833	-0.2514	-1.6204	       NaN
1335	-0.853	0.3664	-1.1714	-0.0703	-0.0276	-1.8694	       NaN
1345	-0.0226	0.67	0.9956	0.3091	-0.5198	-1.3541	       NaN
1355	-0.0878	0.4242	0.4076	-0.2057	0.401	-0.4558	       NaN
1365	-0.0013	0.1566	0.4286	-0.467	0.0365	-1.0762	       NaN
1375	0.0467	0.1865	0.2326	-0.7589	-0.0982	-0.4352	       NaN
1385	0.3179	0.4828	1.3986	-0.9056	-0.331	-1.2456	       NaN
1395	0.018	0.4387	1.2666	-0.1673	-0.6148	-1.3104	       NaN
1405	-0.1241	0.5316	0.6756	0.3294	0.3948	-0.7893	       NaN
1415	-0.6916	0.5285	0.1606	-0.4398	-0.0421	-0.1873	       NaN
1425	-0.293	-0.0005	1.3556	-1.3072	0.1024	-1.2528	       NaN
1435	-0.5961	0.4233	0.4986	-0.6248	-0.0453	-0.6838	       NaN
1445	-0.4135	-0.011	-0.0064	0.1212	0.0418	0.6972	       NaN
1455	-0.6524	0.2178	0.0006	-0.8767	-0.7041	-1.1761	       NaN
1465	-0.0243	0.2826	0.3306	0.6809	-0.4526	-1.309	       NaN
1475	-0.8481	0.5344	0.4126	0.0882	-0.0691	-0.4373	       NaN
1485	-0.3625	0.019	-0.9944	-0.3425	0.7325	-0.7143	       NaN
1495	-0.4361	0.081	1.1056	-0.4272	0.1713	-0.2522	       NaN
1505	-0.4309	0.1769	-0.4304	0.1563	-0.029	-1.082	       NaN
1515	-0.4401	0.4325	-0.1534	-0.5559	-0.0652	-1.1611	       NaN
1525	-0.529	0.9204	0.1786	-0.1825	0.553	0.1089	       NaN
1535	-0.2383	0.1926	0.8236	0.0884	0.4152	0.9581	-1.0429
1545	-0.3683	0.0206	0.9926	-0.1336	0.0724	-1.1616	-1.0379
1555	0.1054	0.3213	0.1206	-0.8889	0.4897	-0.0794	-1.4402
1565	-0.0746	0.3581	0.2546	0.0852	0.1866	-0.1656	-1.3512
1575	-0.4672	-0.1132	0.0676	-0.3221	-0.18	-1.1964	-1.8259
1585	-0.009	0.1277	-0.6834	-0.6809	-0.2444	-1.4268	-0.9721
1595	-0.4655	0.0007	-0.3674	0.6542	-0.1696	-1.0777	-3.1995
1605	0.0322	0.3563	0.5476	0.0455	0.2597	0.7414	-3.2031
1615	-0.4785	0.6166	-0.6544	0.3124	0.0878	0.0979	-1.3734
1625	-0.9743	0.2705	0.3286	0.036	-0.0364	-0.4619	-1.4144
1635	-0.3553	0.0098	0.3016	-0.0317	0.3511	-0.3999	-0.9858
1645	-0.4597	0.2414	0.5356	-0.4024	0.0986	-0.5657	-1.1233
1655	-0.4721	0.5082	-0.1234	-0.0775	0.6889	-0.8949	-2.0656
1665	-0.436	0.0543	1.6186	0.0495	0.2943	0.0952	-2.7702
1675	-0.2548	0.2862	0.1466	0.1811	-0.2068	-0.9966	-1.2869
1685	-0.1913	0.2924	-0.2714	-0.2534	0.0445	0.0652	-1.8326
1695	-0.635	-0.4435	-0.6984	-0.2443	0.5416	-0.0319	-3.6659
1705	-0.4983	0.1617	0.3176	0.1607	0.0656	-0.8038	-1.1781
1715	-0.3092	0.6477	0.0966	-0.0274	-0.0819	-1.0879	-0.5634
1725	-0.1164	0.3087	0.9016	-0.3071	0.0505	-1.038	1.813
1735	-0.4471	0.1388	0.9316	0.2371	0.1926	-0.769	-1.3032
1745	-0.1987	0.038	-0.1504	0.0201	-0.4121	-0.5281	-0.1062
1755	0.0934	0.0771	0.5776	0.0216	-0.0169	-1.5454	0.0508
1765	-0.7154	-0.1254	-0.0104	0.4372	-0.0309	-1.0649	-1.0836
1775	-0.5102	-0.1713	0.1856	0.2746	-0.2361	-1.1756	0.2983
1785	-0.8298	-0.4176	-0.8124	0.0992	-0.1728	-0.5968	-0.7349
1795	-0.3889	-0.1733	0.3496	0.0708	-0.0698	-0.2316	1.0537
1805	-0.384	-0.5651	0.7006	-0.1186	-0.1949	-1.0958	-0.0115
1815	-0.1618	-0.2022	1.0656	0.1569	0.118	-0.6575	-0.3557
1825	-0.5	0.1318	-0.4924	-0.0495	0.2682	-0.6316	-0.6817
1835	-0.199	0.1496	0.2456	0.6132	0.6712	-0.688	-0.2371
1845	-0.4981	-0.3408	0.1106	-0.4376	-0.0669	-0.8655	0.1896
1855	-0.4959	0.2886	-0.6454	-0.0851	0.5458	-0.8645	-0.3258
1865	-0.1454	0.5739	-1.3294	-0.3464	0.1423	-0.0268	0.5514
1875	-0.0663	-0.0097	-0.9974	0.0512	0.0405	-1.0481	-1.2689
1885	-0.4393	-0.3505	0.2596	-0.0453	0.2862	-0.7104	-0.3472
1895	0.2	-0.376	-0.1834	0.0745	-0.0039	0.1025	-1.0524
1905	-0.1974	-0.3592	0.1576	-0.1488	-0.1739	-0.4325	0.0268
1915	-0.2344	-0.4343	0.9196	-0.152	0.0814	-0.0554	-0.2382
