% Antarctica 2K 2017 isotope anomalies (relative to 1900-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 10-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)


Time (year AD, centre of 10y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
665	-0.0429	5	-1.3598	-1.1653	0.9218	1.5486		0.3913	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1607	1	NaN	NaN	NaN	NaN		-0.0858	2	-1.0788	-1.0788	0.9071	0.9071		0.7607	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
675	0.1611	5	-0.6747	-0.5510	0.7961	1.4268		0.0915	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0831	1	NaN	NaN	NaN	NaN		0.7395	2	-0.2176	-0.2176	1.6966	1.6966		0.422	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
685	0.5682	5	-0.0214	0.1553	0.8279	1.8270		0.484	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2838	1	NaN	NaN	NaN	NaN		0.0343	2	-0.9273	-0.9273	0.9959	0.9959		-0.594	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
695	0.0036	6	-0.7785	-0.5245	0.4958	0.8709		0.5635	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1657	1	NaN	NaN	NaN	NaN		-0.2263	2	-0.4887	-0.4887	0.0361	0.0361		1.513	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
705	0.6508	6	-0.6074	-0.1705	1.0750	3.3465		0.9663	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1347	1	NaN	NaN	NaN	NaN		0.0067	2	-1.0854	-1.0854	1.0989	1.0989		-0.716	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
715	0.3243	6	-0.5504	-0.1842	0.7489	1.0325		1.1028	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2411	1	NaN	NaN	NaN	NaN		0.0748	2	-0.5452	-0.5452	0.6948	0.6948		0.0118	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
725	0.3859	6	-0.4325	0.0303	0.7946	0.8965		-0.1406	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3149	1	NaN	NaN	NaN	NaN		0.6357	2	-0.1675	-0.1675	1.4388	1.4388		0.494	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
735	0.1247	6	-0.3921	-0.2698	0.4726	0.7696		0.3418	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2187	1	NaN	NaN	NaN	NaN		-0.2903	2	-1.2658	-1.2658	0.6852	0.6852		-0.356	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
745	0.2713	6	-0.3426	0.1869	0.4341	0.5827		0.6987	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.4938	1	NaN	NaN	NaN	NaN		0.2337	2	-0.7376	-0.7376	1.2049	1.2049		-0.271	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
755	-0.0764	6	-0.4088	-0.3896	0.3296	0.3746		0.4938	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2894	1	NaN	NaN	NaN	NaN		0.5095	2	-0.0807	-0.0807	1.0997	1.0997		-0.411	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
765	-0.0463	6	-0.6154	-0.3798	0.3451	0.5115		0.4174	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.5757	1	NaN	NaN	NaN	NaN		0.0554	2	-0.3133	-0.3133	0.4241	0.4241		0.4569	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
775	0.5146	6	-0.8854	-0.7439	1.5401	2.6154		0.7253	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2212	1	NaN	NaN	NaN	NaN		-0.0436	2	-1.0459	-1.0459	0.9587	0.9587		-0.326	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
785	-0.4061	6	-1.0287	-0.9250	-0.0013	0.3479		0.3027	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.4176	1	NaN	NaN	NaN	NaN		-0.5159	2	-1.5765	-1.5765	0.5447	0.5447		-0.209	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
795	0.1527	6	-0.7919	-0.4449	0.6904	0.7081		0.62	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1294	1	NaN	NaN	NaN	NaN		-0.4336	3	-1.5704	-1.5704	0.7032	0.7032		-0.7522	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
805	0.2982	6	-0.5341	-0.4024	1.1247	1.6708		0.4436	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1057	1	NaN	NaN	NaN	NaN		0.6511	3	0.2321	0.2321	1.0700	1.0700		-0.0385	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
815	-0.1325	6	-1.4682	-0.8331	0.4990	0.8558		0.3452	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2593	1	NaN	NaN	NaN	NaN		0.2661	3	0.0117	0.0117	0.5206	0.5206		-0.3037	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
825	0.2249	6	-0.6060	-0.3693	0.8362	1.1871		0.2359	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.6049	1	NaN	NaN	NaN	NaN		-0.1206	3	-0.6262	-0.6262	0.3851	0.3851		-0.3971	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
835	-0.4425	6	-1.5474	-1.1098	0.4402	0.4773		0.8853	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2806	1	NaN	NaN	NaN	NaN		0.1982	3	-0.7189	-0.7189	1.1152	1.1152		-1.17	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
845	-0.3579	6	-0.8874	-0.7551	-0.0787	0.2259		0.4264	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1044	1	NaN	NaN	NaN	NaN		-0.176	3	-0.6781	-0.6781	0.3262	0.3262		-1.2704	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
855	0.0978	6	-1.0979	-0.8561	0.6704	2.3122		0.4426	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0819	1	NaN	NaN	NaN	NaN		-0.5008	3	-1.5600	-1.5600	0.5583	0.5583		-0.959	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
865	-0.0557	6	-0.7523	-0.4022	0.4268	0.6121		1.0996	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1031	1	NaN	NaN	NaN	NaN		0.1451	3	-0.1556	-0.1556	0.4459	0.4459		0.5126	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
875	0.1213	6	-0.6854	-0.3252	0.5187	1.0510		0.5668	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2351	1	NaN	NaN	NaN	NaN		0.1905	3	-0.5670	-0.5670	0.9480	0.9480		-0.1137	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
885	-0.0026	6	-1.0670	-0.2297	0.3571	0.5246		0.2856	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2288	1	NaN	NaN	NaN	NaN		0.1095	3	-0.3548	-0.3548	0.5738	0.5738		-0.5585	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
895	0.1554	6	-1.0516	-0.7067	0.8205	2.2227		0.8011	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1363	1	NaN	NaN	NaN	NaN		-0.0877	3	-0.7180	-0.7180	0.5425	0.5425		-0.734	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
905	0.2847	6	-1.0999	-0.8011	1.3330	3.1917		-0.0485	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0813	1	NaN	NaN	NaN	NaN		0.3443	3	0.1328	0.1328	0.5558	0.5558		-0.1222	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
915	0.5446	6	-1.2654	-0.5295	1.2615	3.6289		0.0784	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.5851	1	NaN	NaN	NaN	NaN		0.719	3	0.6627	0.6627	0.7754	0.7754		-0.378	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
925	0.061	6	-0.7524	-0.4373	0.6493	1.0466		0.6935	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0376	1	NaN	NaN	NaN	NaN		-0.0836	3	-1.0696	-1.0696	0.9024	0.9024		0.702	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
935	0.2214	6	-0.9045	-0.7717	1.0651	2.3787		0.5598	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.6506	1	NaN	NaN	NaN	NaN		-0.1134	3	-0.7122	-0.7122	0.4855	0.4855		-1.069	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
945	0.1683	6	-0.7754	-0.7222	1.1612	2.1600		0.0279	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.4738	1	NaN	NaN	NaN	NaN		-0.3495	3	-1.6577	-1.6577	0.9587	0.9587		-0.364	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
955	0.2435	6	-0.8413	-0.3531	0.9773	1.2167		-0.019	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.6438	1	NaN	NaN	NaN	NaN		0.1769	3	-0.0026	-0.0026	0.3564	0.3564		-0.322	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
965	0.099	6	-0.8390	-0.6301	0.6122	0.9217		-0.0557	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.4501	1	NaN	NaN	NaN	NaN		0.4311	3	-0.0426	-0.0426	0.9048	0.9048		0.864	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
975	0.1706	6	-0.9954	-0.6784	0.8830	2.6344		0.1552	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1619	1	NaN	NaN	NaN	NaN		-0.0123	3	-0.4541	-0.4541	0.4294	0.4294		0.844	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
985	-0.4458	6	-1.2559	-0.9705	0.1791	0.2283		0.5231	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5474	1	NaN	NaN	NaN	NaN		-0.5887	3	-1.9004	-1.9004	0.7229	0.7229		0.9753	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
995	-0.2241	6	-0.8291	-0.8189	0.1814	0.5597		0.6354	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.3263	1	NaN	NaN	NaN	NaN		-0.1933	3	-0.9863	-0.9863	0.5996	0.5996		-0.5072	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1005	-0.4865	8	-1.6287	-0.9001	0.1251	0.5217		-0.0162	1	NaN	NaN	NaN	NaN		0.6446	1	NaN	NaN	NaN	NaN		0.2031	1	NaN	NaN	NaN	NaN		0.3608	3	0.2191	0.2191	0.5025	0.5025		1.462	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1015	0.0563	8	-1.1654	-0.6469	0.3069	1.6275		0.5127	1	NaN	NaN	NaN	NaN		-0.9564	1	NaN	NaN	NaN	NaN		0.6531	1	NaN	NaN	NaN	NaN		0.0597	3	-0.7526	-0.7526	0.8719	0.8719		-0.017	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1025	-0.3244	8	-1.2206	-0.9249	0.5199	0.6379		0.3954	1	NaN	NaN	NaN	NaN		0.4306	1	NaN	NaN	NaN	NaN		-0.3594	1	NaN	NaN	NaN	NaN		-0.2452	3	-0.7222	-0.7222	0.2318	0.2318		-0.147	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1035	0.214	8	-0.2399	-0.1949	0.7549	0.8022		0.405	1	NaN	NaN	NaN	NaN		-0.1324	1	NaN	NaN	NaN	NaN		-0.5119	1	NaN	NaN	NaN	NaN		1.0247	3	0.7407	0.7407	1.3086	1.3086		-0.3593	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1045	-0.1089	8	-1.5054	-0.6499	0.7566	1.0395		0.4803	1	NaN	NaN	NaN	NaN		0.0876	1	NaN	NaN	NaN	NaN		-0.0126	1	NaN	NaN	NaN	NaN		0.0449	3	-0.3742	-0.3742	0.4639	0.4639		-1.2504	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1055	-0.2291	8	-0.9283	-0.8781	0.5081	0.6459		0.5735	1	NaN	NaN	NaN	NaN		1.3356	1	NaN	NaN	NaN	NaN		-0.3713	1	NaN	NaN	NaN	NaN		-0.1486	3	-0.7286	-0.7286	0.4314	0.4314		1.018	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1065	-0.0889	8	-0.7172	-0.3784	0.4354	0.6739		0.0596	1	NaN	NaN	NaN	NaN		-0.3014	1	NaN	NaN	NaN	NaN		-0.7607	1	NaN	NaN	NaN	NaN		0.2438	3	-0.6598	-0.6598	1.1474	1.1474		-0.0785	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1075	-0.0564	8	-1.3460	-1.2954	0.7254	1.0504		0.4515	1	NaN	NaN	NaN	NaN		0.6266	1	NaN	NaN	NaN	NaN		-0.1376	1	NaN	NaN	NaN	NaN		0.0159	3	-0.5575	-0.5575	0.5893	0.5893		-0.736	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1085	-0.4543	8	-2.5609	-0.7051	0.5136	0.7186		0.3753	1	NaN	NaN	NaN	NaN		-0.4134	1	NaN	NaN	NaN	NaN		0.0224	1	NaN	NaN	NaN	NaN		-0.1549	3	-1.0813	-1.0813	0.7714	0.7714		-0.016	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1095	-0.2576	8	-1.1491	-0.6540	0.1084	0.6366		0.4894	1	NaN	NaN	NaN	NaN		-0.3054	1	NaN	NaN	NaN	NaN		-0.1194	1	NaN	NaN	NaN	NaN		-0.0799	3	-0.2135	-0.2135	0.0537	0.0537		0.711	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1105	0.1932	8	-0.3445	-0.2151	0.5156	0.5334		-0.2884	1	NaN	NaN	NaN	NaN		0.4696	1	NaN	NaN	NaN	NaN		-0.0888	1	NaN	NaN	NaN	NaN		-0.1279	3	-1.0415	-1.0415	0.7858	0.7858		-0.5385	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1115	-0.0266	8	-1.0845	-0.4549	0.3236	1.0123		0.1552	1	NaN	NaN	NaN	NaN		0.0286	1	NaN	NaN	NaN	NaN		-0.1801	1	NaN	NaN	NaN	NaN		0.2479	3	-0.1028	-0.1028	0.5985	0.5985		0.992	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1125	-0.0875	8	-1.5105	-0.7131	0.5213	1.7868		-0.1285	1	NaN	NaN	NaN	NaN		0.3836	1	NaN	NaN	NaN	NaN		0.2037	1	NaN	NaN	NaN	NaN		0.0211	3	-0.3221	-0.3221	0.3643	0.3643		-0.118	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1135	0.1621	7	-2.0408	-0.3734	0.1595	3.6218		0.2318	1	NaN	NaN	NaN	NaN		0.2976	1	NaN	NaN	NaN	NaN		-0.1288	1	NaN	NaN	NaN	NaN		-0.3825	3	-0.8034	-0.8034	0.0384	0.0384		-0.176	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
1145	0.1309	8	-1.4491	-1.1569	0.4074	2.9262		0.3941	1	NaN	NaN	NaN	NaN		1.2211	1	NaN	NaN	NaN	NaN		0.1387	1	NaN	NaN	NaN	NaN		-1.4212	3	-2.6732	-2.6732	-0.1692	-0.1692		0.0412	2	-0.7650	-0.7650	0.8474	0.8474		       NaN	0	NaN	NaN	NaN	NaN
1155	0.1336	8	-0.7588	-0.3001	0.6716	1.4191		0.1268	1	NaN	NaN	NaN	NaN		-1.4924	1	NaN	NaN	NaN	NaN		-0.7601	1	NaN	NaN	NaN	NaN		-0.007	3	-0.3270	-0.3270	0.3129	0.3129		1.5507	2	1.0262	1.0262	2.0753	2.0753		       NaN	0	NaN	NaN	NaN	NaN
1165	0.0205	8	-0.5354	-0.3958	0.4979	0.8269		-0.0369	1	NaN	NaN	NaN	NaN		0.5096	1	NaN	NaN	NaN	NaN		-0.2176	1	NaN	NaN	NaN	NaN		-0.5637	3	-1.0195	-1.0195	-0.1079	-0.1079		-0.3925	2	-1.6350	-1.6350	0.8500	0.8500		       NaN	0	NaN	NaN	NaN	NaN
1175	0.1661	8	-0.6478	-0.4634	0.4827	2.0172		0.1973	1	NaN	NaN	NaN	NaN		-0.3784	1	NaN	NaN	NaN	NaN		-0.1188	1	NaN	NaN	NaN	NaN		-0.1356	3	-0.5393	-0.5393	0.2680	0.2680		-0.2694	2	-0.4590	-0.4590	-0.0799	-0.0799		       NaN	0	NaN	NaN	NaN	NaN
1185	0.3211	8	-0.5914	0.1225	0.4786	1.1412		0.2767	1	NaN	NaN	NaN	NaN		-0.0934	1	NaN	NaN	NaN	NaN		-0.4026	1	NaN	NaN	NaN	NaN		0.1518	3	-0.0393	-0.0393	0.3430	0.3430		0.482	2	-0.9550	-0.9550	1.9190	1.9190		       NaN	0	NaN	NaN	NaN	NaN
1195	-0.1458	8	-1.2954	-0.2153	0.2295	0.5069		-0.1533	1	NaN	NaN	NaN	NaN		0.0256	1	NaN	NaN	NaN	NaN		-0.7563	1	NaN	NaN	NaN	NaN		-0.4069	3	-1.2719	-1.2719	0.4581	0.4581		-0.8231	2	-0.8717	-0.8717	-0.7745	-0.7745		       NaN	0	NaN	NaN	NaN	NaN
1205	-0.7281	8	-1.5017	-1.3898	0.1005	0.5059		0.3	1	NaN	NaN	NaN	NaN		1.2206	1	NaN	NaN	NaN	NaN		-0.4688	1	NaN	NaN	NaN	NaN		0.3041	3	-0.3620	-0.3620	0.9702	0.9702		-1.2002	2	-1.3595	-1.3595	-1.0410	-1.0410		       NaN	0	NaN	NaN	NaN	NaN
1215	-0.7197	8	-1.3384	-1.2791	-0.5508	0.3137		0.4273	1	NaN	NaN	NaN	NaN		-1.2834	1	NaN	NaN	NaN	NaN		-0.3113	1	NaN	NaN	NaN	NaN		0.5145	3	0.3891	0.3891	0.6399	0.6399		-0.1495	2	-0.1600	-0.1600	-0.1391	-0.1391		       NaN	0	NaN	NaN	NaN	NaN
1225	-0.4829	8	-1.2054	-0.7333	0.0948	0.3479		0.0636	1	NaN	NaN	NaN	NaN		-0.4204	1	NaN	NaN	NaN	NaN		-0.2238	1	NaN	NaN	NaN	NaN		0.0263	3	-0.3118	-0.3118	0.3645	0.3645		-0.3316	2	-0.6130	-0.6130	-0.0502	-0.0502		       NaN	0	NaN	NaN	NaN	NaN
1235	-0.1798	9	-0.8294	-0.3891	0.0554	0.5839		0.278	1	NaN	NaN	NaN	NaN		0.3666	1	NaN	NaN	NaN	NaN		-0.3926	1	NaN	NaN	NaN	NaN		0.007	3	-0.2401	-0.2401	0.2541	0.2541		0.2804	2	-0.0942	-0.0942	0.6550	0.6550		       NaN	0	NaN	NaN	NaN	NaN
1245	-0.1427	9	-0.7797	-0.7594	0.4649	1.1484		0.3434	1	NaN	NaN	NaN	NaN		1.5886	1	NaN	NaN	NaN	NaN		-0.1701	1	NaN	NaN	NaN	NaN		0.2369	3	-0.2920	-0.2920	0.7658	0.7658		0.2295	2	-0.3960	-0.3960	0.8550	0.8550		       NaN	0	NaN	NaN	NaN	NaN
1255	-0.5218	10	-1.1128	-0.8000	-0.2870	0.1861		0.0705	1	NaN	NaN	NaN	NaN		0.5476	1	NaN	NaN	NaN	NaN		0.4184	1	NaN	NaN	NaN	NaN		0.1687	3	-0.1483	-0.1483	0.4856	0.4856		-0.4637	2	-0.7026	-0.7026	-0.2247	-0.2247		       NaN	0	NaN	NaN	NaN	NaN
1265	-0.2094	10	-0.7943	-0.6923	0.2150	0.6979		-0.0924	1	NaN	NaN	NaN	NaN		0.2426	1	NaN	NaN	NaN	NaN		-0.1927	1	NaN	NaN	NaN	NaN		-0.131	3	-0.4775	-0.4775	0.2155	0.2155		0.821	2	0.7340	0.7340	0.9080	0.9080		       NaN	0	NaN	NaN	NaN	NaN
1275	-0.5008	10	-0.9831	-0.8999	-0.0176	0.3927		-0.2265	1	NaN	NaN	NaN	NaN		1.0516	1	NaN	NaN	NaN	NaN		0.4728	1	NaN	NaN	NaN	NaN		-0.1405	3	-0.1505	-0.1505	-0.1304	-0.1304		0.8049	2	-0.6930	-0.6930	2.3028	2.3028		       NaN	0	NaN	NaN	NaN	NaN
1285	-0.5825	10	-1.1108	-0.7924	-0.3177	-0.2887		-0.0909	1	NaN	NaN	NaN	NaN		0.4216	1	NaN	NaN	NaN	NaN		-0.7527	1	NaN	NaN	NaN	NaN		-0.4514	3	-1.3566	-1.3566	0.4539	0.4539		-0.0423	2	-0.2816	-0.2816	0.1970	0.1970		       NaN	0	NaN	NaN	NaN	NaN
1295	-0.4632	10	-1.2906	-0.8878	-0.1134	-0.0525		-0.0696	1	NaN	NaN	NaN	NaN		0.4496	1	NaN	NaN	NaN	NaN		0.2528	1	NaN	NaN	NaN	NaN		-0.6118	3	-0.8332	-0.8332	-0.3905	-0.3905		-1.8296	2	-3.9794	-3.9794	0.3203	0.3203		       NaN	0	NaN	NaN	NaN	NaN
1305	-0.4248	10	-0.9799	-0.8644	0.1545	0.4139		0.3554	1	NaN	NaN	NaN	NaN		0.2296	1	NaN	NaN	NaN	NaN		-0.4889	1	NaN	NaN	NaN	NaN		0.2539	3	-0.1955	-0.1955	0.7033	0.7033		-1.2824	2	-2.9149	-2.9149	0.3500	0.3500		       NaN	0	NaN	NaN	NaN	NaN
1315	-0.106	10	-1.8681	-0.7709	0.7122	0.7586		0.4176	1	NaN	NaN	NaN	NaN		0.0866	1	NaN	NaN	NaN	NaN		0.1775	1	NaN	NaN	NaN	NaN		0.0386	3	-0.4841	-0.4841	0.5613	0.5613		-0.5412	2	-2.4927	-2.4927	1.4103	1.4103		       NaN	0	NaN	NaN	NaN	NaN
1325	-0.119	10	-1.3956	-0.4115	0.3091	0.7650		0.4673	1	NaN	NaN	NaN	NaN		0.0846	1	NaN	NaN	NaN	NaN		0.0833	1	NaN	NaN	NaN	NaN		-0.2514	3	-0.3356	-0.3356	-0.1671	-0.1671		-1.6204	2	-3.0534	-3.0534	-0.1874	-0.1874		       NaN	0	NaN	NaN	NaN	NaN
1335	-0.853	10	-2.0478	-1.4480	-0.1837	0.1618		0.3664	1	NaN	NaN	NaN	NaN		-1.1714	1	NaN	NaN	NaN	NaN		-0.0703	1	NaN	NaN	NaN	NaN		-0.0276	3	-0.4540	-0.4540	0.3988	0.3988		-1.8694	2	-3.3558	-3.3558	-0.3830	-0.3830		       NaN	0	NaN	NaN	NaN	NaN
1345	-0.0226	10	-0.9154	-0.4872	0.4751	0.8333		0.67	1	NaN	NaN	NaN	NaN		0.9956	1	NaN	NaN	NaN	NaN		0.3091	1	NaN	NaN	NaN	NaN		-0.5198	3	-1.1778	-1.1778	0.1382	0.1382		-1.3541	2	-1.4117	-1.4117	-1.2966	-1.2966		       NaN	0	NaN	NaN	NaN	NaN
1355	-0.0878	10	-0.7121	-0.4712	0.3790	0.5762		0.4242	1	NaN	NaN	NaN	NaN		0.4076	1	NaN	NaN	NaN	NaN		-0.2057	1	NaN	NaN	NaN	NaN		0.401	3	0.2529	0.2529	0.5491	0.5491		-0.4558	2	-1.0307	-1.0307	0.1190	0.1190		       NaN	0	NaN	NaN	NaN	NaN
1365	-0.0013	10	-1.0940	-0.4696	0.5343	1.3346		0.1566	1	NaN	NaN	NaN	NaN		0.4286	1	NaN	NaN	NaN	NaN		-0.467	1	NaN	NaN	NaN	NaN		0.0365	3	-0.3406	-0.3406	0.4137	0.4137		-1.0762	2	-2.5265	-2.5265	0.3740	0.3740		       NaN	0	NaN	NaN	NaN	NaN
1375	0.0467	10	-0.9777	-0.5541	0.3204	1.6477		0.1865	1	NaN	NaN	NaN	NaN		0.2326	1	NaN	NaN	NaN	NaN		-0.7589	1	NaN	NaN	NaN	NaN		-0.0982	3	-0.2968	-0.2968	0.1005	0.1005		-0.4352	2	-1.4010	-1.4010	0.5306	0.5306		       NaN	0	NaN	NaN	NaN	NaN
1385	0.3179	11	-0.6839	-0.2601	1.0638	1.4880		0.4828	1	NaN	NaN	NaN	NaN		1.3986	1	NaN	NaN	NaN	NaN		-0.9056	1	NaN	NaN	NaN	NaN		-0.331	3	-0.4043	-0.4043	-0.2577	-0.2577		-1.2456	2	-1.3553	-1.3553	-1.1360	-1.1360		       NaN	0	NaN	NaN	NaN	NaN
1395	0.018	11	-1.6829	-0.3842	0.6086	0.6846		0.4387	1	NaN	NaN	NaN	NaN		1.2666	1	NaN	NaN	NaN	NaN		-0.1673	1	NaN	NaN	NaN	NaN		-0.6148	3	-1.2428	-1.2428	0.0131	0.0131		-1.3104	2	-1.6410	-1.6410	-0.9798	-0.9798		       NaN	0	NaN	NaN	NaN	NaN
