% Antarctica 2K 2017 isotope anomalies (relative to 1900-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 10-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)


Time (year AD, centre of 10y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
145	0.7752	3	0.0076	0.2342	1.2815	1.4039		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.6689	1	NaN	NaN	NaN	NaN		0.2057	2	-0.8042	-0.8042	1.2156	1.2156		-0.0993	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
155	0.5406	3	-0.2654	-0.0228	1.0629	1.1822		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3128	1	NaN	NaN	NaN	NaN		0.1072	2	-1.1856	-1.1856	1.4000	1.4000		-0.6504	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
165	0.4149	3	-0.3284	-0.1504	0.9879	1.1892		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.4393	1	NaN	NaN	NaN	NaN		0.1477	2	-0.6194	-0.6194	0.9148	0.9148		-1.8197	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
175	0.1332	4	-1.0530	-0.7242	0.9907	2.3368		-0.2578	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0468	1	NaN	NaN	NaN	NaN		-0.161	2	-0.9323	-0.9323	0.6102	0.6102		0.0953	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
185	-0.4928	4	-1.0412	-0.9333	-0.0522	0.0038		0.6046	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2312	1	NaN	NaN	NaN	NaN		-0.6985	2	-1.7425	-1.7425	0.3455	0.3455		1.094	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
195	-0.2067	4	-0.8764	-0.7199	0.3064	0.6475		-0.0952	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3556	1	NaN	NaN	NaN	NaN		-0.4959	2	-1.5742	-1.5742	0.5824	0.5824		-1.006	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
205	-0.4776	4	-0.9954	-0.9053	-0.0499	0.3927		0.5562	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.3132	1	NaN	NaN	NaN	NaN		-0.2621	2	-1.7490	-1.7490	1.2248	1.2248		-1.1422	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
215	0.0502	4	-0.7059	-0.6077	0.7081	0.8901		0.0202	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1356	1	NaN	NaN	NaN	NaN		-0.3732	2	-2.1578	-2.1578	1.4114	1.4114		1.2218	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
225	0.071	4	-0.4476	-0.3165	0.4584	0.7484		0.1535	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2932	1	NaN	NaN	NaN	NaN		0.5907	2	-0.5267	-0.5267	1.7081	1.7081		-0.003	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
235	0.5702	4	-0.1494	0.0769	1.0635	1.0837		-0.2326	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0232	1	NaN	NaN	NaN	NaN		0.1665	2	-0.7848	-0.7848	1.1177	1.1177		1.457	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
245	0.2956	4	-0.3814	0.0135	0.5777	0.6312		0.416	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1406	1	NaN	NaN	NaN	NaN		-0.0742	2	-1.0109	-1.0109	0.8625	0.8625		0.956	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
255	-0.1685	4	-1.3254	-0.7821	0.4451	0.5308		0.1462	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.278	1	NaN	NaN	NaN	NaN		0.2527	2	-0.4485	-0.4485	0.9540	0.9540		-0.621	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
265	0.1994	4	-0.5214	-0.3048	0.7036	1.2280		0.1196	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.4134	1	NaN	NaN	NaN	NaN		0.1528	2	-0.2862	-0.2862	0.5919	0.5919		-0.221	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
275	0.0098	4	-0.4764	-0.3786	0.3982	0.7818		0.0607	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3618	1	NaN	NaN	NaN	NaN		0.4244	2	0.0416	0.0416	0.8073	0.8073		0.134	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
285	-0.165	4	-0.9124	-0.8511	0.5212	1.0575		-0.3666	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0049	1	NaN	NaN	NaN	NaN		-0.7748	2	-1.8713	-1.8713	0.3216	0.3216		-1.704	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
295	-0.1667	4	-1.0854	-0.9723	0.6389	1.2700		0.5039	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1119	1	NaN	NaN	NaN	NaN		0.0558	2	-0.3487	-0.3487	0.4604	0.4604		0.4965	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
305	-0.2368	4	-1.3654	-0.8709	0.3973	1.0209		0.0811	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0456	1	NaN	NaN	NaN	NaN		0.6311	2	0.0469	0.0469	1.2152	1.2152		-0.977	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
315	0.0508	4	-0.7304	-0.5891	0.6908	1.6315		0.225	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1869	1	NaN	NaN	NaN	NaN		0.1341	2	-0.6027	-0.6027	0.8708	0.8708		-1.4135	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
325	0.1276	4	-0.5176	-0.3065	0.5618	0.6827		0.5196	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.5551	1	NaN	NaN	NaN	NaN		-0.2224	2	-1.3348	-1.3348	0.8901	0.8901		-0.466	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
335	0.0716	4	-0.9275	-0.6992	0.8424	1.8703		0.322	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1269	1	NaN	NaN	NaN	NaN		-0.1346	2	-0.6363	-0.6363	0.3671	0.3671		0.393	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
345	-0.4717	4	-1.8602	-1.1628	0.2195	0.6247		0.2203	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.5657	1	NaN	NaN	NaN	NaN		0.3432	2	-1.1828	-1.1828	1.8691	1.8691		0.0565	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
355	0.1759	4	-1.0954	-0.6411	0.9930	1.8983		0.1534	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5518	1	NaN	NaN	NaN	NaN		-0.1143	2	-0.8804	-0.8804	0.6517	0.6517		-0.0388	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
365	0.1257	4	-0.6421	-0.4638	0.7152	0.9896		0.736	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3756	1	NaN	NaN	NaN	NaN		-0.5895	2	-1.2688	-1.2688	0.0897	0.0897		-0.6397	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
375	0.6549	4	-0.5662	-0.1558	1.4657	2.4310		0.0983	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1968	1	NaN	NaN	NaN	NaN		-0.5505	2	-2.0781	-2.0781	0.9771	0.9771		      NaN	0	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
385	0.4062	4	-0.3654	-0.0043	0.8167	1.2069		0.4238	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5699	1	NaN	NaN	NaN	NaN		-0.0231	2	-0.9491	-0.9491	0.9029	0.9029		-0.336	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
395	-0.5929	4	-1.4340	-1.1867	0.0009	0.5032		0.3922	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.8399	1	NaN	NaN	NaN	NaN		-0.4197	2	-1.0889	-1.0889	0.2494	0.2494		0.25	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
405	0.8382	4	-0.7054	-0.6717	2.3482	3.7203		-0.3372	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0306	1	NaN	NaN	NaN	NaN		-0.0895	2	-1.4891	-1.4891	1.3101	1.3101		-1.8288	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
