% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on 1960-2010 variance of NB2014
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
515	0.6406	0.2403	      NaN	0.5322	2.0674	      NaN	      NaN	0.9803	0.7611	0.7433
525	0.4999	-0.0649	      NaN	0.3112	1.637	0.2573	      NaN	0.7186	0.3647	0.5467
535	0.5187	0.3089	      NaN	0.342	1.6775	      NaN	      NaN	0.9031	0.6066	0.6165
545	0.38	0.9996	      NaN	-0.0277	2.3474	-0.0523	      NaN	1.0696	0.5225	0.7358
555	1.0308	1.2289	      NaN	0.1085	1.503	0.2336	      NaN	0.5033	1.0572	1.0127
565	0.5521	-0.5358	      NaN	-0.3013	1.1063	-0.2206	      NaN	0.2842	0.2198	0.1978
575	0.3521	0.831	      NaN	-0.3842	1.3324	-0.0852	      NaN	0.5125	0.4064	0.4573
585	0.6808	0.402	      NaN	0.2221	0.4057	-0.703	      NaN	0.5557	0.4523	0.3522
595	0.9215	0.5368	      NaN	0.1148	1.1761	0.4192	      NaN	0.475	0.9496	0.8975
605	-0.2621	0.5667	      NaN	0.0451	3.1585	-0.7182	      NaN	1.2874	-0.2581	0.2352
615	0.9591	0.0997	      NaN	0.0891	2.2422	-0.4615	      NaN	0.8392	0.6349	0.7426
625	0.3308	0.3123	      NaN	-0.5825	1.8045	0.2675	      NaN	0.4719	0.3253	0.3901
635	-0.1809	0.1172	      NaN	-0.1237	0.996	0.8413	      NaN	0.5879	-0.0065	0.1596
645	0.3836	0.6246	      NaN	-0.1928	0.6191	0.092	      NaN	0.041	0.4353	0.4495
655	-0.3329	-0.0431	      NaN	-0.3622	0.9184	0.0267	      NaN	0.0146	-0.3644	-0.1747
665	0.5104	0.5741	      NaN	-0.1614	1.2783	0.4292	      NaN	0.4152	0.5801	0.5733
675	0.4966	0.1343	      NaN	0.0834	2.6658	0.2381	      NaN	1.3233	0.471	0.6948
685	0.655	0.7101	      NaN	-0.285	1.4427	-0.3351	      NaN	0.4721	0.5574	0.5543
695	0.2471	0.8269	      NaN	-0.1664	-0.0172	0.8537	      NaN	-0.1434	0.462	0.3751
705	1.0186	1.4178	      NaN	-0.1352	1.5824	-0.404	      NaN	0.5751	0.9134	0.8825
715	0.2703	1.6181	      NaN	-0.2421	1.022	0.0067	      NaN	0.3356	0.5496	0.5826
725	0.3737	-0.2063	      NaN	0.3163	2.2634	0.2788	      NaN	1.2193	0.3956	0.6343
735	0.3486	0.5015	      NaN	0.2196	0.8968	-0.2008	      NaN	0.343	0.2725	0.3482
745	0.2694	1.0252	      NaN	-0.4959	1.8042	-0.1529	      NaN	0.5993	0.4042	0.4675
755	0.1752	0.7245	      NaN	-0.2907	1.7371	-0.2319	      NaN	0.7403	0.161	0.2743
765	-0.0402	0.6125	      NaN	-0.5781	0.6268	0.2578	      NaN	0.0458	0.1676	0.1802
775	0.7055	1.0642	      NaN	0.2221	1.3654	-0.1839	      NaN	0.6089	0.7108	0.7674
785	-0.3733	0.4442	      NaN	-0.4193	0.6257	-0.1179	      NaN	-0.0797	-0.2485	-0.0999
795	0.3711	0.9098	      NaN	-0.13	0.85	-0.4244	      NaN	0.1445	0.3792	0.3435
805	0.5106	0.6509	      NaN	-0.1061	1.6044	-0.0217	      NaN	0.7917	0.5306	0.576
815	-0.6216	0.5065	      NaN	0.2604	0.8272	-0.1714	      NaN	0.5119	-0.3444	-0.0477
825	0.3255	0.3461	      NaN	0.6075	0.4955	-0.224	      NaN	0.3855	0.3262	0.378
835	-0.0169	1.299	      NaN	0.2817	1.6074	-0.6601	      NaN	0.8015	-0.0082	0.2989
845	-0.3096	0.6257	      NaN	-0.1049	0.3944	-0.7168	      NaN	0.0575	-0.2959	-0.1462
855	0.5672	0.6494	      NaN	-0.0823	0.5682	-0.5411	      NaN	0.0239	0.3585	0.3318
865	-0.2922	1.6134	      NaN	0.1035	0.6228	0.2892	      NaN	0.3264	0.1887	0.3358
875	0.4	0.8317	      NaN	-0.2361	1.3154	-0.0642	      NaN	0.4821	0.4266	0.4692
885	0.2491	0.4191	      NaN	-0.2298	0.8639	-0.3151	      NaN	0.2908	0.1948	0.189
895	0.7244	1.1754	      NaN	-0.1369	0.6872	-0.4141	      NaN	0.1852	0.6385	0.5233
905	0.9134	-0.0712	      NaN	-0.0817	0.7904	-0.069	      NaN	0.3816	0.6423	0.5238
915	0.96	0.1151	      NaN	-0.5876	1.2558	-0.2133	      NaN	0.4986	0.6987	0.5946
925	0.1782	1.0176	      NaN	-0.0377	1.1548	0.3961	      NaN	0.4041	0.4234	0.5448
935	0.6565	0.8213	      NaN	0.6533	0.598	-0.6031	      NaN	0.4413	0.5063	0.5525
945	0.5594	0.0409	      NaN	-0.4758	1.1679	-0.2054	      NaN	0.1587	0.3932	0.3875
955	0.3806	-0.0279	      NaN	-0.6466	0.5105	-0.1817	      NaN	0.0084	0.2621	0.1207
965	0.1636	-0.0818	      NaN	-0.452	1.3551	0.4875	      NaN	0.4965	0.2242	0.2967
975	0.6434	0.2277	      NaN	-0.1626	0.6242	0.4762	      NaN	0.1826	0.5898	0.5659
985	-0.1858	0.7675	      NaN	0.5498	0.7396	0.5503	      NaN	0.2991	0.0939	0.3926
995	-0.0181	0.9324	      NaN	-0.3277	0.7149	-0.2862	      NaN	0.0875	0.0706	0.1591
1005	-0.7504	-0.0237	0.3219	0.2039	0.761	0.8249	      NaN	0.4878	-0.2477	0.0493
1015	0.275	0.7523	-0.4777	0.6558	1.1604	-0.0096	      NaN	0.7161	0.322	0.4805
1025	-0.2297	0.5801	0.2151	-0.361	0.1879	-0.0829	      NaN	-0.1487	0.0685	0.0887
1035	-0.0038	0.5943	-0.0662	-0.5141	2.0509	-0.2027	      NaN	0.9333	0.1347	0.3754
1045	-0.5816	0.7048	0.0437	-0.0126	0.6205	-0.7055	      NaN	0.2493	-0.34	-0.1593
1055	-0.3925	0.8415	0.6671	-0.3729	0.516	0.5744	      NaN	0.009	0.2346	0.3352
1065	-0.3162	0.0874	-0.1506	-0.7639	1.5911	-0.0443	      NaN	0.4056	-0.2394	0.0605
1075	0.0752	0.6625	0.313	-0.1382	0.7597	-0.4152	      NaN	0.2442	0.2388	0.2923
1085	-0.7676	0.5506	-0.2065	0.0225	0.9927	-0.009	      NaN	0.3446	-0.4942	-0.1517
1095	-0.1031	0.718	-0.1526	-0.12	-0.3197	0.4012	      NaN	-0.1967	0.0849	0.0365
1105	0.3178	-0.4231	0.2345	-0.0892	0.9843	-0.3038	      NaN	0.3038	0.0729	0.2001
1115	-0.1396	0.2277	0.0143	-0.1808	0.835	0.5597	      NaN	0.3318	-0.0528	0.1397
1125	0.6075	-0.1885	0.1916	0.2045	0.4652	-0.0666	      NaN	0.262	0.2734	0.272
1135	1.1069	0.3401	0.1486	-0.1294	-0.0522	-0.0993	      NaN	-0.1922	0.6612	0.4576
1145	0.9924	0.5783	0.6099	0.1393	-0.6854	0.2094	      NaN	-0.6781	0.8987	0.5927
