1. Site information for each site of the PAGES Antarctica2k database																																																																																																																	
																																																																																																																	
Column 1 	time in year CE																																																																																																																
Column 2:n	temperature anomalies, in °C																																																																																																																-0.30
																																																																																																																	
	1957.00	-0.66	-0.23	0.39	0.49	0.32	0.29	0.31	0.49	0.40	0.52	0.32	0.52	0.37	0.49	0.41	0.27	0.26	0.27	0.35	0.42	0.52	0.52	0.52	0.51	0.32	0.37	0.50	0.51	0.42	0.44	0.36	0.51	0.41	0.41	-0.22	0.26	-0.40	-0.45	0.06	0.45	0.29	-0.79	-0.34	-0.42	-0.23	-0.87	-0.70	-0.79	-0.42	-2.02	-2.53	-1.89	-3.39	-1.16	-1.11	-0.99	-1.86	-1.86	-2.32	-1.75	-1.75	-1.76	-1.96	-1.65	-1.68	-1.49	-1.70	-1.25	-1.14	-0.95	-1.70	-1.22	-0.70	-0.25	-0.71	-1.35	-0.53	-0.37	0.20	0.21	0.24	0.40	0.44	0.40	0.31	0.44	0.31	0.44	0.31	-0.09	0.05	0.02	0.02	0.02	0.02	0.02	0.15	0.17	0.17	0.17	0.16	0.18	0.18	0.18	0.17	0.22	0.07	0.28	0.32	0.21	0.27	0.11
	1958.00	-0.86	-0.18	0.44	0.51	0.52	0.21	0.24	0.50	0.45	0.55	0.52	0.55	0.56	0.50	0.47	0.54	0.44	0.43	0.45	0.49	0.55	0.55	0.55	0.57	0.52	0.56	0.60	0.56	0.49	0.45	0.40	0.56	0.06	0.06	-0.34	0.23	-0.41	-0.44	-0.35	0.50	0.29	-0.66	-0.36	-0.24	-0.22	-0.57	-0.39	-0.57	-1.34	-2.13	-3.07	-2.42	-3.97	-0.94	-0.93	-0.77	-0.78	-0.78	-0.79	-0.80	-0.80	-0.81	-0.61	-0.29	-0.24	-0.81	-0.74	-0.83	-0.79	-0.76	-0.74	-0.62	1.19	-0.07	-0.64	-1.11	-0.09	-0.52	0.07	0.03	0.45	0.78	0.79	0.48	0.30	0.79	0.30	0.79	0.30	0.41	1.00	0.54	0.54	0.54	0.54	0.54	0.42	0.45	0.45	0.45	0.68	0.56	0.56	0.56	0.45	0.57	0.83	0.26	0.25	0.20	0.43	-0.56
	1959.00	-1.11	-2.04	-0.24	-0.38	-0.49	-0.50	-0.57	-0.33	-0.25	-0.42	-0.49	-0.42	-0.48	-0.33	-0.39	-0.44	-0.50	-0.29	-0.17	-0.35	-0.42	-0.42	-0.42	-0.45	-0.49	-0.48	-0.48	-0.42	-0.35	-0.32	-0.32	-0.42	-0.94	-0.94	-0.38	-1.35	-0.57	-0.61	-0.17	-0.45	-0.51	-1.47	-1.68	-1.76	-1.26	-1.11	-1.37	-1.39	-0.17	-0.64	-0.90	-0.68	-1.19	-0.77	-0.55	-0.59	-1.33	-1.33	-1.50	-1.27	-1.27	-1.22	-1.45	-1.47	-1.48	-1.12	-1.24	-0.88	-0.80	-0.68	-1.24	-1.04	-1.47	-0.48	-1.10	-1.76	-0.61	-0.96	-0.75	-0.67	-0.44	-0.80	-0.69	-0.74	-0.74	-0.69	-0.74	-0.69	-0.74	-0.29	-0.49	-0.47	-0.47	-0.47	-0.47	-0.47	-0.32	-0.31	-0.31	-0.31	-0.56	-0.52	-0.52	-0.52	-0.31	-0.39	-0.56	-0.54	-0.48	-0.67	-0.29	-0.59
	1960.00	0.51	1.03	-0.26	-0.15	0.10	-0.01	0.14	-0.22	-0.28	-0.06	0.10	-0.06	0.10	-0.22	-0.09	0.05	0.12	-0.24	-0.35	-0.21	-0.06	-0.06	-0.06	0.02	0.10	0.10	0.05	-0.01	-0.21	-0.23	-0.27	-0.01	0.70	0.70	-0.13	0.77	-0.02	-0.02	0.16	-0.03	0.01	0.94	1.10	0.95	1.15	1.02	0.91	0.90	-0.59	-0.74	-1.85	-0.84	-1.01	-0.63	-0.76	-0.61	-0.98	-0.98	-1.13	-0.92	-0.92	-0.91	-1.02	-0.81	-0.78	-0.76	-0.93	-0.71	-0.65	-0.56	-0.93	-0.68	0.59	0.11	0.01	-0.05	0.14	0.14	0.03	-0.01	0.14	0.29	0.26	0.24	0.21	0.26	0.21	0.26	0.21	-0.43	-0.27	-0.19	-0.19	-0.19	-0.19	-0.19	-0.22	0.10	0.10	0.10	0.07	-0.03	-0.03	-0.03	0.10	0.19	0.09	0.09	0.01	0.17	-0.24	0.06
	1961.00	-0.39	-0.81	-1.17	-1.35	-1.36	-1.13	-1.17	-1.27	-1.19	-1.41	-1.36	-1.41	-1.36	-1.27	-1.30	-1.30	-1.26	-1.18	-1.12	-1.28	-1.41	-1.41	-1.41	-1.42	-1.36	-1.36	-1.38	-1.41	-1.28	-1.21	-1.13	-1.41	-0.58	-0.58	-0.50	-0.91	-0.45	-0.52	-0.15	-1.38	-1.20	-0.99	-0.66	-0.72	-1.08	-0.44	-1.05	-1.06	-0.32	-0.32	0.72	0.00	0.04	-1.06	-0.95	-1.06	-2.25	-2.25	-2.71	-2.11	-2.11	-2.07	-2.54	-2.45	-2.52	-1.69	-2.10	-1.27	-1.18	-1.07	-2.10	-1.71	-2.44	-0.72	-1.39	-1.99	-0.89	-0.92	-1.10	-1.00	-0.76	-1.40	-1.17	-1.05	-1.04	-1.17	-1.04	-1.17	-1.04	-0.81	-1.26	-1.23	-1.23	-1.23	-1.23	-1.23	-1.16	-0.71	-0.71	-0.71	-1.06	-1.10	-1.10	-1.10	-0.71	-0.81	-1.08	-1.11	-1.14	-1.09	-1.18	0.10
	1962.00	-0.28	0.66	0.13	0.03	-0.25	-0.36	-0.26	0.07	0.11	-0.01	-0.25	-0.01	-0.21	0.07	-0.01	-0.18	-0.19	0.18	0.18	0.09	-0.01	-0.01	-0.01	-0.08	-0.25	-0.21	-0.13	-0.05	0.09	0.09	0.16	-0.05	0.17	0.17	0.11	0.16	-0.06	-0.10	0.53	-0.05	-0.31	-0.93	-0.17	0.14	-0.29	-1.35	-1.12	-1.10	0.49	-0.86	-0.74	-0.71	-1.42	-0.21	-0.09	-0.09	-0.56	-0.56	-0.69	-0.58	-0.58	-0.61	-0.60	-0.51	-0.52	-0.55	-0.52	-0.53	-0.45	-0.33	-0.52	-0.49	-0.38	0.12	-0.39	-0.56	-0.05	-0.11	-0.77	-0.68	0.10	-0.18	-0.04	-0.33	-0.46	-0.04	-0.46	-0.04	-0.46	0.72	0.51	0.29	0.29	0.29	0.29	0.29	0.20	0.24	0.24	0.24	0.07	0.02	0.02	0.02	0.24	0.18	0.27	-0.38	-0.30	-0.59	0.18	0.17
	1963.00	-0.38	-0.72	-1.04	-0.86	-0.47	-0.49	-0.46	-0.97	-1.03	-0.74	-0.47	-0.74	-0.48	-0.97	-0.70	-0.51	-0.46	-1.16	-1.12	-0.91	-0.74	-0.74	-0.74	-0.64	-0.47	-0.48	-0.56	-0.66	-0.91	-1.00	-1.07	-0.66	-0.21	-0.21	-0.27	-0.50	0.11	0.12	-0.49	-0.71	-0.47	-0.95	-0.82	-0.76	-0.39	-1.18	-0.72	-0.85	-1.55	-0.52	-0.86	-0.45	-0.93	-0.10	-0.08	-0.14	-0.36	-0.36	-0.36	-0.37	-0.37	-0.34	-0.25	-0.23	-0.23	-0.37	-0.35	-0.38	-0.35	-0.29	-0.35	-0.32	0.08	0.17	0.16	0.07	0.00	0.07	-0.54	-0.40	-0.48	-0.73	-0.60	-0.43	-0.43	-0.60	-0.43	-0.60	-0.43	-2.01	-2.01	-1.44	-1.44	-1.44	-1.44	-1.44	-1.20	-0.74	-0.74	-0.74	-0.85	-0.90	-0.90	-0.90	-0.74	-0.67	-1.11	-0.50	-0.50	-0.51	-1.16	-0.44
