% Antarctica 2K 2017 isotope anomalies (relative to 1960-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 5-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)

Time (year AD, centre of 5y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
1862.5	-0.1317	28	-1.5385	-0.5955	0.4235	1.1651		0.7442	2	0.1552	0.1552	1.3332	1.3332		-1.1290	1	NaN	NaN	NaN	NaN		-0.5759	3	-1.3045	-1.1309	-0.0125	0.1867		0.1942	12	-0.9805	-0.5013	0.5761	2.0743		-0.2528	4	-1.4476	-1.3560	1.0576	1.7706		0.1172	2	-0.1993	-0.1993	0.4337	0.4337
1867.5	-0.0651	28	-1.0396	-0.6010	0.6396	1.0375		-0.1947	2	-0.2728	-0.2728	-0.1165	-0.1165		-1.1390	1	NaN	NaN	NaN	NaN		-0.6981	3	-0.9483	-0.8669	-0.5483	-0.5236		0.0366	12	-1.0658	-0.4058	0.0684	2.4793		0.2648	4	-0.8787	-0.8043	1.5454	2.2543		0.4343	2	0.1389	0.1389	0.7297	0.7297
1872.5	0.0303	28	-1.1438	-0.4108	0.4226	1.3025		-0.1916	2	-0.2854	-0.2854	-0.0979	-0.0979		-0.6890	1	NaN	NaN	NaN	NaN		-0.4901	3	-0.9485	-0.7950	-0.2241	-0.1872		-0.4534	12	-2.3125	-1.3613	0.1266	2.0477		-1.1641	4	-3.1899	-2.5317	0.0518	0.2548		-1.831	2	-1.9503	-1.9503	-1.7117	-1.7117
1877.5	-0.0974	27	-1.0042	-0.7742	0.5857	0.8346		-0.4261	2	-0.5207	-0.5207	-0.3316	-0.3316		-0.9150	1	NaN	NaN	NaN	NaN		0.0113	3	-0.3822	-0.2615	0.2618	0.3155		0.4808	12	-0.4149	0.0920	0.9407	0.9877		-0.8248	4	-1.2592	-1.1765	-0.4471	-0.2867		-1.2582	2	-1.2663	-1.2663	-1.2501	-1.2501
1882.5	-0.3495	27	-1.9809	-1.2544	0.4760	1.6061		-0.7964	2	-1.3067	-1.3067	-0.2861	-0.2861		-0.0970	1	NaN	NaN	NaN	NaN		-0.8466	3	-1.4265	-1.2497	-0.4754	-0.3942		0.1406	12	-1.1380	-0.4489	0.5097	2.1643		-0.5786	5	-1.1365	-0.9764	-0.2015	-0.1032		-0.6871	3	-1.6393	-1.3609	-0.0536	0.1037
1887.5	-0.3884	28	-1.7012	-1.2848	0.3180	1.2894		-0.5028	2	-0.6966	-0.6966	-0.3091	-0.3091		1.0070	1	NaN	NaN	NaN	NaN		0.1749	3	-0.1485	-0.1013	0.4847	0.6329		0.3992	12	-0.1103	0.0393	0.6873	0.8368		-0.581	5	-1.6873	-1.3408	0.1089	0.2456		-0.8542	3	-1.5258	-1.4449	-0.1763	0.1657
1892.5	0.2623	28	-1.0221	-0.6271	1.1983	2.6453		-0.8427	2	-1.6773	-1.6773	-0.0081	-0.0081		0.7290	1	NaN	NaN	NaN	NaN		0.3046	3	-0.0925	-0.0823	0.7807	1.0582		-0.2446	13	-1.2810	-0.9754	0.2818	1.1283		0.0567	5	-0.5733	-0.5508	0.7992	1.2268		-1.558	4	-2.6263	-2.2498	-0.8661	-0.6299
1897.5	0.3144	30	-1.2688	-0.8877	1.0452	2.0515		-0.5337	2	-1.2052	-1.2052	0.1378	0.1378		-0.7050	1	NaN	NaN	NaN	NaN		-0.7367	3	-1.2085	-1.0563	-0.4514	-0.4020		0.2424	14	-1.1624	-0.1460	0.3035	1.7417		0.3198	5	-0.8490	-0.4814	1.0455	1.1868		-1.0282	4	-2.1279	-1.7561	-0.3003	0.4398
1902.5	-0.1407	32	-1.4893	-1.1974	0.5569	1.7456		-0.4918	2	-0.9981	-0.9981	0.0146	0.0146		0.7690	1	NaN	NaN	NaN	NaN		-0.2369	4	-0.7025	-0.4831	0.0094	0.1016		-0.0244	14	-0.7490	-0.2873	0.1806	0.7874		-0.1501	5	-0.6857	-0.6406	0.4293	0.7408		0.2427	5	-0.2083	-0.1043	0.5898	0.8615
1907.5	-0.0698	33	-2.4606	-1.1312	0.9457	2.8889		-0.8248	2	-1.8010	-1.8010	0.1513	0.1513		-0.0630	1	NaN	NaN	NaN	NaN		-0.543	4	-1.2065	-0.9265	-0.1594	-0.0400		-0.334	14	-1.5163	-0.8630	-0.0438	1.4403		-0.5435	5	-0.9645	-0.8431	-0.2601	-0.1872		-0.784	5	-1.5343	-1.4443	-0.1236	0.1787
