% Antarctica 2K 2017 isotope anomalies
% units:
% weighting method : based on the correlation between site d18O and regional d18O from ECHAM5 nudged by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
515	1.4334	0.1638	      NaN	0.5299	-0.2605	      NaN	      NaN	-0.9286	1.1582	-0.22
525	1.2226	-0.0442	      NaN	0.3099	-0.2603	0.456	      NaN	-0.8176	0.6919	-0.1024
535	1.1482	0.2106	      NaN	0.3406	0.2745	      NaN	      NaN	-0.0552	0.8944	0.2815
545	0.6349	0.6813	      NaN	-0.0276	0.3775	-0.0926	      NaN	-0.1066	0.3899	0.4214
555	1.7524	0.8376	      NaN	0.1081	-0.5447	0.414	      NaN	-1.1991	1.0517	-0.2889
565	0.838	-0.3651	      NaN	-0.3001	-0.2004	-0.391	      NaN	-0.6079	0.2021	-0.163
575	0.863	0.5664	      NaN	-0.3826	0.3693	-0.151	      NaN	0.1489	0.4283	0.3353
585	1.1999	0.274	      NaN	0.2212	1.0409	-1.246	      NaN	1.3994	0.2461	0.6841
595	1.6854	0.3659	      NaN	0.1143	-0.1869	0.743	      NaN	-0.5914	1.1451	0.0163
605	-0.3107	0.3863	      NaN	0.0449	-0.1194	-1.273	      NaN	-1.0462	-0.4327	-0.1278
615	1.6385	0.068	      NaN	0.0887	-0.415	-0.818	      NaN	-1.2175	0.5622	-0.311
625	0.508	0.2128	      NaN	-0.5801	-0.1802	0.474	      NaN	-0.7832	0.4151	-0.0163
635	-0.2619	0.0799	      NaN	-0.1232	0.765	1.491	      NaN	0.8239	0.2366	0.8057
645	0.7984	0.4257	      NaN	-0.1919	-0.4855	0.163	      NaN	-0.8803	0.4746	-0.3009
655	-0.4236	-0.0294	      NaN	-0.3607	-0.7789	0.0474	      NaN	-1.3936	-0.247	-0.5965
665	1.1008	0.3913	      NaN	-0.1607	-0.1771	0.7607	      NaN	-0.6165	0.8774	-0.0217
675	1.0102	0.0915	      NaN	0.0831	0.6515	0.422	      NaN	0.2051	0.6783	0.658
685	1.256	0.484	      NaN	-0.2838	-0.0541	-0.594	      NaN	-0.4892	0.4917	-0.0434
695	0.4246	0.5635	      NaN	-0.1657	-0.2504	1.513	      NaN	-0.3634	0.6465	-0.0149
705	2.1511	0.9663	      NaN	-0.1347	-0.0937	-0.716	      NaN	-0.5793	0.9196	-0.0898
715	0.7187	1.1028	      NaN	-0.2411	0.0178	0.0118	      NaN	-0.2671	0.5189	0.0784
725	0.6739	-0.1406	      NaN	0.3149	0.5618	0.494	      NaN	0.1963	0.5456	0.611
735	0.4639	0.3418	      NaN	0.2187	-0.38	-0.356	      NaN	-0.7888	0.129	-0.2909
745	0.386	0.6987	      NaN	-0.4938	0.1444	-0.271	      NaN	-0.311	0.2534	0.1701
755	0.162	0.4938	      NaN	-0.2894	0.4552	-0.411	      NaN	0.1645	-0.011	0.3675
765	0.1952	0.4174	      NaN	-0.5757	0.0215	0.4569	      NaN	-0.1653	0.314	0.0992
775	1.812	0.7253	      NaN	0.2212	-0.1358	-0.326	      NaN	-0.5659	0.9199	-0.1029
785	-0.2742	0.3027	      NaN	-0.4176	-0.6134	-0.209	      NaN	-1.0757	-0.1481	-0.4971
795	0.5183	0.62	      NaN	-0.1294	-0.5376	-0.7522	      NaN	-1.0251	0.1878	-0.4743
805	1.2063	0.4436	      NaN	-0.1057	0.6127	-0.0385	      NaN	0.399	0.69	0.5272
815	-0.8543	0.3452	      NaN	0.2593	0.2428	-0.3037	      NaN	0.1308	-0.397	0.1913
825	0.6882	0.2359	      NaN	0.6049	-0.1669	-0.3971	      NaN	-0.3606	0.355	-0.1622
835	-0.0041	0.8853	      NaN	0.2806	0.1143	-1.17	      NaN	-0.2854	-0.3356	0.0298
845	-0.2481	0.4264	      NaN	-0.1044	-0.2219	-1.2704	      NaN	-0.4397	-0.4449	-0.3155
855	1.4141	0.4426	      NaN	-0.0819	-0.5977	-0.959	      NaN	-1.0467	0.4182	-0.58
865	-0.4604	1.0996	      NaN	0.1031	0.1176	0.5126	      NaN	-0.0162	0.0979	0.2045
