 SAMPLE   DUP    START      END       MID     CHLORIDE  NITRATE   SULFATE
   ID            DEPTH     DEPTH     DEPTH      MG/L      MG/L      MG/L


FRE-353    1       77      77.195   77.0975    0.013     <0.01     <0.01
FRE-354    1     77.195    77.35    77.2725    0.016     <0.01     <0.01
FRE-354    2     77.195    77.35    77.2725    0.016     <0.01     <0.01
FRE-355    1     77.35     77.585   77.4675    0.013     <0.01     <0.01
FRE-356    1     77.585    77.775    77.68     0.024     <0.01     0.012
FRE-357    1     77.775    77.96    77.8675    0.017     <0.01     <0.01
FRE-358    1     77.96      78.2     78.08     0.042     0.036     0.021
FRE-359    1      78.2     78.395   78.2975    0.034     0.028     0.022
FRE-360    1     78.395     78.6    78.4975    0.041     <0.01     0.026
FRE-361    1      78.6     78.795   78.6975    0.046     0.034     0.034
FRE-362    1     78.795    78.97    78.8825    0.056     <0.01     0.035
FRE-363    1     78.97     79.16     79.065    0.042     <0.01     0.031
FRE-364    1     79.16     79.365   79.2625    0.021     <0.01     <0.01
FRE-365    1     79.365    79.585    79.475    <0.01     <0.01     <0.01
FRE-366    1     80.755    80.945    80.85     0.015     <0.01     <0.01
FRE-367    1     80.945    81.145    81.045    0.019     <0.01     <0.01
FRE-368    1     81.145    81.36    81.2525    0.012     <0.01     <0.01
FRE-369    1     81.36     81.525   81.4425    <0.01     <0.01     <0.01
FRE-370    1     81.525    81.715    81.62     <0.01     <0.01     <0.01
FRE-371    1     81.715    81.93    81.8225    0.012     <0.01     <0.01
FRE-371    2     81.715    81.93    81.8225    0.011     <0.01     <0.01
FRE-372    1     81.93     82.135   82.0325    0.014     <0.01     <0.01
FRE-373    1     82.135    82.395    82.265    0.014     <0.01     <0.01
FRE-374    1     82.395    82.59    82.4925     0.02     <0.01     <0.01
FRE-375    1     82.59     82.77     82.68     0.017     <0.01     <0.01
FRE-376    1     82.77     82.935   82.8525    0.025     <0.01     <0.01
FRE-377    1     82.935    83.115    83.025    0.019     <0.01     <0.01
FRE-378    1     83.115    83.355    83.235    0.027      0.04     <0.01
FRE-379    1     83.355    83.59    83.4725    0.025     0.027     <0.01
FRE-380    1     83.59     83.83     83.71     0.028     <0.01     0.013
FRE-381    1     83.83     84.02     83.925    0.013     <0.01     <0.01
FRE-382    1     84.02     84.285   84.1525    0.023     <0.01     <0.01
FRE-383    1     84.285    84.485    84.385    0.016     <0.01     <0.01
FRE-384    1     84.485    84.695    84.59     0.022     <0.01     <0.01
FRE-385    1     84.695    84.865    84.78     0.016     <0.01     <0.01
FRE-386    1     84.865    85.035    84.95     0.016     <0.01     <0.01
FRE-387    1     85.035    85.24    85.1375    0.017     <0.01     <0.01
FRE-388    1     85.24     85.465   85.3525    0.014     <0.01     <0.01
FRE-389    1     85.465    85.74    85.6025    0.015     <0.01     <0.01
FRE-390    1     85.74     85.955   85.8475    0.015     <0.01     <0.01
FRE-391    1     85.955    86.115    86.035    0.015     <0.01     <0.01
FRE-392    1     86.115    86.315    86.215    0.017     <0.01     <0.01
FRE-393    1     86.315    86.565    86.44      0.02     <0.01     <0.01
FRE-394    1     86.565    86.765    86.665    <0.01     <0.01     <0.01
FRE-395    1     86.765    86.95    86.8575    <0.01     <0.01     <0.01
FRE-396    1     86.91     87.145   87.0275    <0.01     <0.01     <0.01
FRE-397    1     87.145    87.29    87.2175    <0.01     <0.01     <0.01
FRE-398    1     87.29     87.495   87.3925    <0.01     <0.01     <0.01
FRE-399    1     87.495    87.715    87.605    <0.01     <0.01     <0.01
FRE-400    1     87.715    87.865    87.79     0.042     0.025     0.011
FRE-401    1     87.865    88.095    87.98     0.036     <0.01     <0.01
FRE-402    1     88.095    88.32    88.2075    0.039     0.018     <0.01
FRE-403    1     88.32     88.71     88.515    0.069     <0.01      0.01
FRE-404    1     79.585    79.75    79.6675    <0.01     0.029     <0.01
FRE-405    1     79.75     79.96     79.855    <0.01     <0.01     <0.01
FRE-406    1     79.96     80.16     80.06     <0.01     <0.01     <0.01
FRE-407    1     80.16     80.345   80.2525    <0.01     <0.01     <0.01
FRE-408    1     80.345    80.56    80.4525    <0.01     <0.01     <0.01
FRE-409    1     80.56     80.755   80.6575    <0.01     <0.01     <0.01
FRE-410    1     88.71     88.875   88.7925     0.03     0.014      0.01
FRE-411    1     88.875    89.075    88.975    <0.01     <0.01     <0.01
FRE-412    1     89.075    89.245    89.16     <0.01     <0.01     <0.01
FRE-413    1     89.245    89.425    89.335    0.013     <0.01     <0.01
FRE-414    1     89.425    89.635    89.53     0.016     <0.01     <0.01
FRE-415    1     89.635    89.85    89.7425     0.02     <0.01     <0.01
FRE-416    1     89.85     90.045   89.9475    0.029      0.05     <0.01
FRE-417    1     90.045    90.23    90.1375     0.02     0.037     <0.01
FRE-418    1     90.23     90.465   90.3475    0.071     0.054     0.023
FRE-419    1     90.465    90.655    90.56      0.03     0.048     <0.01
FRE-420    1     90.655    90.845    90.75     0.038      0.03     <0.01
FRE-421    1     90.845    91.02    90.9325    0.029     0.061     <0.01
FRE-422    1     91.02     91.26     91.14      0.03     0.066     <0.01
FRE-423    1     91.26     91.45     91.355    0.024     0.051     <0.01
FRE-424    1     91.45     91.635   91.5425    0.028     0.047     <0.01
FRE-425    1     91.635    91.835    91.735    0.026     0.044     <0.01
FRE-426    1     91.835    92.03    91.9325    0.042     0.046     <0.01
FRE-427    1     92.03     92.225   92.1275    0.047     0.061     <0.01
FRE-428    1     92.225    92.415    92.32     0.041     0.071     <0.01
FRE-429    1     92.415    92.61    92.5125     0.05     0.054     <0.01
FRE-430    1     92.61     92.815   92.7125    0.033     0.046     <0.01
FRE-431    1     92.815      93     92.9075     0.03     0.047     <0.01
FRE-432    1       93      93.305   93.1525     0.02     0.033     <0.01
FRE-432    2       93      93.305   93.1525     0.02     0.031     <0.01
FRE-433    1     93.305     93.6    93.4525    0.041     0.036     <0.01
FRE-434    1      93.6      93.8      93.7     0.031     0.063     <0.01
FRE-435    1      93.8     94.005   93.9025    0.032     0.046     <0.01
FRE-436    1     94.005    94.175    94.09     0.022     0.049     <0.01
FRE-437    1     94.175    94.335    94.255    0.017      0.04     <0.01
FRE-438    1     94.335    94.495    94.415    0.025     0.051     <0.01
FRE-439    1     94.495    94.685    94.59     0.013     <0.01     <0.01
FRE-440    1     94.685    94.895    94.79     0.016     <0.01     <0.01
FRE-441    1     94.895    95.09    94.9925     0.02     <0.01     <0.01
FRE-442    1     95.09      95.4     95.245    0.028     <0.01     <0.01
FRE-443    1      95.4      95.7     95.55     0.011     <0.01     <0.01
FRE-444    1      95.7     95.91     95.805    0.023     <0.01     <0.01
FRE-445    1     95.91     96.105   96.0075    0.024     <0.01     <0.01
FRE-446    1     96.105    96.29    96.1975    0.061     <0.01     <0.01
FRE-447    1     96.29     96.515   96.4025    0.038     <0.01     <0.01
FRE-448    1     96.515    96.695    96.605     0.04     <0.01     <0.01
FRE-449    1     96.695    96.85    96.7725    0.018     <0.01     <0.01
FRE-450    1     96.85     97.06     96.955     0.04     <0.01     <0.01
FRE-451    1     97.06     97.325   97.1925    0.055     0.019     <0.01
FRE-452    1     97.325    97.54    97.4325    0.022     <0.01     <0.01
FRE-452    2     97.325    97.54    97.4325    0.023     <0.01     <0.01
FRE-453    1     97.54     97.805   97.6725    0.018     <0.01     <0.01
FRE-454    1     97.805    98.055    97.93     0.016     <0.01     <0.01
FRE-455    1     98.055    98.275    98.165    0.027     <0.01     <0.01
FRE-456    1     98.275    98.445    98.36     0.023     <0.01     <0.01
FRE-457    1     98.445    98.635    98.54     0.021     <0.01     <0.01
FRE-458    1     98.635    98.825    98.73     0.015     <0.01     <0.01
FRE-459    1     98.825    99.065    98.945    0.025     <0.01     <0.01
FRE-460    1     99.065    99.225    99.145    0.035     <0.01     <0.01
FRE-461    1     99.225    99.435    99.33     <0.01     <0.01     <0.01
FRE-462    1     99.435     99.7    99.5675    <0.01     <0.01     <0.01
FRE-463    1      99.7     99.905   99.8025    <0.01     <0.01     <0.01
FRE-464    1     99.905   100.185   100.045    <0.01     <0.01     <0.01
FRE-465    1    100.185    100.33   100.2575   0.011     <0.01     <0.01
FRE-466    1     100.33    100.52   100.425    0.011     0.029     <0.01
FRE-467    1     100.52    100.7     100.61    <0.01     <0.01     <0.01
FRE-468    1     100.7    100.915   100.8075   <0.01     <0.01     <0.01
FRE-469    1    100.915   101.145    101.03    <0.01     <0.01     <0.01
FRE-470    1    101.145    101.33   101.2375   <0.01     <0.01     <0.01
FRE-471    1     101.33    101.52   101.425    <0.01     <0.01     <0.01
FRE-472    1     101.52   101.715   101.6175   0.014     <0.01     <0.01
FRE-472    2     101.52   101.715   101.6175   0.015     <0.01     <0.01
FRE-473    1    101.715   101.915   101.815    <0.01     <0.01     <0.01
FRE-474    1    101.915   102.195   102.055    <0.01     <0.01     <0.01
FRE-475    1    102.195    102.4    102.2975   0.016     <0.01     <0.01
FRE-476    1     102.4     102.6     102.5     0.021     <0.01     <0.01
FRE-477    1     102.6     102.78    102.69    0.022     <0.01     <0.01
FRE-478    1     102.78    102.98    102.88     0.02     <0.01     <0.01
FRE-479    1     102.98   103.185   103.0825   <0.01     <0.01     <0.01
FRE-480    1    103.185    103.39   103.2875   <0.01     <0.01     <0.01
FRE-481    1     103.39    103.55    103.47    <0.01     <0.01     <0.01
FRE-482    1     103.55    103.74   103.645    <0.01     <0.01     <0.01
FRE-483    1     103.74   103.925   103.8325   <0.01     <0.01     <0.01
FRE-484    1    103.925   104.135    104.03     0.01     <0.01     <0.01
FRE-485    1    104.135   104.315   104.225    <0.01     <0.01     <0.01
FRE-486    1    104.315    104.53   104.4225   <0.01     <0.01     <0.01
FRE-487    1     104.53    104.69    104.61    0.013     <0.01     <0.01
FRE-488    1     104.69   104.895   104.7925   <0.01     <0.01     <0.01
FRE-489    1    104.895   105.105     105      <0.01     <0.01     <0.01
FRE-490    1    105.105    105.31   105.2075   0.012     <0.01     <0.01
FRE-491    1     105.31    105.5    105.405    <0.01     <0.01     <0.01
FRE-492    1     105.5     105.7     105.6     <0.01     <0.01     <0.01
FRE-493    1     105.7    105.925   105.8125   0.015     <0.01     <0.01
FRE-494    1    105.925    106.14   106.0325   0.031     <0.01     <0.01
FRE-495    1     106.14    106.34    106.24    <0.01     <0.01     <0.01
FRE-496    1     106.34   106.545   106.4425   0.018     <0.01     <0.01
FRE-497    1    106.545   106.735    106.64    <0.01     <0.01     <0.01
FRE-497    2    106.545   106.735    106.64    <0.01     <0.01     <0.01
FRE-498    1    106.735   106.935   106.835    0.024     <0.01     <0.01
FRE-499    1    106.935    107.14   107.0375   <0.01     <0.01     <0.01
FRE-500    1     107.14   107.355   107.2475   <0.01     <0.01     <0.01
FRE-501    1    107.355    107.57   107.4625   <0.01     <0.01     <0.01
FRE-502    1     107.57    107.75    107.66    0.014     <0.01     <0.01
FRE-503    1     107.75    107.93    107.84    <0.01     <0.01     <0.01
FRE-504    1     107.93    108.12   108.025    0.012     <0.01     <0.01
FRE-505    1     108.12    108.34    108.23    0.043     <0.01     <0.01
FRE-506    1     108.34   108.565   108.4525   0.026     <0.01     <0.01
FRE-507    1    108.565   108.745   108.655    0.023     <0.01     <0.01
FRE-508    1    108.745    108.93   108.8375   0.011     <0.01     <0.01
FRE-509    1     108.93    109.11    109.02     0.02     <0.01     <0.01
FRE-510    1     109.1    109.265   109.1825   0.024     <0.01     <0.01
FRE-511    1    109.265   109.465   109.365    0.019     <0.01     <0.01
FRE-512    1    109.465   109.655    109.56    0.019     <0.01     <0.01
FRE-513    1    109.655   109.855   109.755    0.023     <0.01     <0.01
FRE-514    1    109.855    110.03   109.9425   0.049     <0.01     <0.01
FRE-515    1     110.03   110.225   110.1275   0.028     <0.01     <0.01
FRE-516    1    110.225    110.42   110.3225   0.015     <0.01     <0.01
FRE-517    1     110.42    110.6     110.51     0.01     <0.01     <0.01
FRE-518    1     110.6     110.78    110.69    0.016     <0.01     <0.01
FRE-519    1     110.78   110.985   110.8825   0.023     <0.01     <0.01
FRE-520    1    110.985   111.175    111.08    0.014     <0.01     <0.01
FRE-521    1    111.175   111.365    111.27    0.016     <0.01     <0.01
FRE-522    1    111.365    111.58   111.4725   0.014     <0.01     <0.01
FRE-523    1     111.58    111.79   111.685    0.015     <0.01     <0.01
FRE-524    1     111.79   111.975   111.8825   0.019     <0.01     <0.01
FRE-525    1    111.975   112.155   112.065    0.019     <0.01     <0.01
FRE-526    1    112.155   112.335   112.245    0.018     <0.01     <0.01
FRE-527    1    112.335    112.54   112.4375   0.013     <0.01     <0.01
FRE-528    1     112.54   112.735   112.6375   <0.01     <0.01     <0.01
FRE-529    1    112.735    112.91   112.8225   0.011     <0.01     <0.01
FRE-530    1     112.91   113.105   113.0075   0.014     <0.01     <0.01
FRE-531    1    113.105    113.3    113.2025   0.015     <0.01      0.01
FRE-532    1     113.3    113.495   113.3975   0.014     <0.01     <0.01
FRE-533    1    113.495   113.695   113.595    0.013     <0.01     <0.01
FRE-534    1    113.695    113.84   113.7675   0.013     <0.01     <0.01
FRE-535    1     113.84   114.045   113.9425   0.014     <0.01     <0.01
FRE-535    2     113.84   114.045   113.9425   0.011     <0.01     <0.01
FRE-536    1    114.045   114.245   114.145     0.02     <0.01      0.03
FRE-537    1    114.245   114.455    114.35    0.014     <0.01     <0.01
FRE-538    1    114.455    114.65   114.5525   0.016     <0.01     <0.01
FRE-539    1     114.65   114.845   114.7475   0.015     <0.01     <0.01
FRE-540    1    114.845   115.095    114.97    0.014     <0.01     <0.01
FRE-541    1    115.095   115.295   115.195    <0.01     0.024     <0.01
FRE-542    1    115.295    115.49   115.3925   <0.01     <0.01     <0.01
FRE-543    1     115.49   115.675   115.5825   0.019     <0.01     <0.01
FRE-544    1    115.675    115.83   115.7525   0.011     <0.01     <0.01
FRE-545    1     115.83   115.975   115.9025   0.034     <0.01     <0.01
FRE-546    1    115.975   116.165    116.07    <0.01     <0.01     <0.01
FRE-547    1    116.165   116.355    116.26    <0.01     <0.01     <0.01
FRE-548    1    116.355    116.55   116.4525   <0.01     <0.01     <0.01
FRE-548    2    116.355    116.55   116.4525   <0.01     <0.01     <0.01
FRE-549    1     116.55   116.795   116.6725   0.015     <0.01     <0.01
FRE-550    1    116.795   116.955   116.875    <0.01     <0.01     <0.01
FRE-551    1    116.955   117.125    117.04    0.015     <0.01     <0.01
FRE-552    1    117.125   117.265   117.195    0.013     <0.01     <0.01
FRE-553    1    117.265   117.465   117.365    <0.01     <0.01     <0.01
FRE-554    1    117.465   117.625   117.545    <0.01     <0.01     <0.01
FRE-555    1    117.625    117.8    117.7125    0.01     <0.01     <0.01
FRE-556    1     117.8    117.965   117.8825   0.018     <0.01     <0.01
FRE-557    1    117.965    118.16   118.0625   0.014     <0.01     <0.01
FRE-558    1     118.16   118.305   118.2325   <0.01     <0.01     <0.01
FRE-559    1    118.305    118.47   118.3875   <0.01     <0.01     <0.01
FRE-560    1     118.47   118.655   118.5625   0.017     <0.01     0.012
FRE-561    1    118.655   118.845    118.75    0.012     <0.01     <0.01
FRE-562    1    118.845    119.04   118.9425   <0.01     <0.01     <0.01
FRE-563    1     119.04   119.195   119.1175   <0.01     <0.01     <0.01
FRE-564    1    119.195    119.37   119.2825   <0.01     <0.01     <0.01
FRE-565    1     119.37   119.565   119.4675   0.011     <0.01     <0.01
FRE-566    1    119.565   119.805   119.685    <0.01     <0.01     <0.01
FRE-567    1    119.805    120.05   119.9275   <0.01     <0.01     <0.01
FRE-568    1     120.05    120.18   120.115    <0.01     <0.01     <0.01
FRE-569    1     120.18   120.375   120.2775   <0.01     <0.01     <0.01
FRE-570    1    120.375   120.525    120.45    <0.01     <0.01     <0.01
FRE-571    1    120.525   120.725   120.625    <0.01     <0.01     <0.01
FRE-572    1    120.725    120.92   120.8225   0.011     <0.01     <0.01
FRE-573    1     120.92    121.12    121.02    0.012     <0.01     <0.01
FRE-574    1     121.12   121.315   121.2175   <0.01     <0.01     <0.01
FRE-575    1    121.315    121.49   121.4025   0.038     <0.01     <0.01
FRE-576    1    121.495    121.68   121.5875   0.026     <0.01     <0.01
FRE-577    1     121.68    121.88    121.78    <0.01     <0.01     <0.01
FRE-578    1     121.88   122.085   121.9825   <0.01     <0.01     0.022
FRE-579    1    122.085    122.3    122.1925   <0.01     <0.01     <0.01
FRE-580    1     122.3     122.51   122.405    <0.01     <0.01     0.015
FRE-581    1     122.51    122.71    122.61    <0.01     <0.01     <0.01
FRE-582    1     122.71   122.905   122.8075   <0.01     <0.01     <0.01
FRE-583    1    122.905    123.12   123.0125   <0.01     <0.01     <0.01
FRE-584    1     123.12    123.34    123.23    <0.01     <0.01     <0.01
FRE-584    2     123.12    123.34    123.23    <0.01     <0.01     <0.01
FRE-585    1     123.34    123.56    123.45    <0.01     <0.01     <0.01
FRE-586    1     123.56    123.73   123.645    <0.01     <0.01     0.013
FRE-587    1     123.73   123.955   123.8425   0.122     <0.01     <0.01
FRE-588    1    123.955    124.2    124.0775   <0.01     <0.01     <0.01
FRE-589    1     124.2    124.355   124.2775   <0.01     <0.01     <0.01
FRE-590    1    124.355    124.52   124.4375   <0.01     <0.01     <0.01
FRE-591    1     124.52   124.695   124.6075   <0.01     <0.01     <0.01
FRE-592    1    124.695   124.975   124.835    <0.01     <0.01     <0.01
FRE-593    1    1424.975   125.23   775.1025   <0.01     <0.01     <0.01
FRE-594    1     125.23   125.465   125.3475   <0.01     <0.01     <0.01
FRE-595    1    125.465   125.675    125.57    <0.01     <0.01     <0.01
FRE-596    1    125.675   125.895   125.785    0.015     <0.01     <0.01
FRE-597    1    125.895    126.07   125.9825   0.013     <0.01     <0.01
FRE-598    1     126.07   126.235   126.1525   0.017     <0.01     <0.01
FRE-599    1    126.235    126.44   126.3375   0.012     <0.01     <0.01
FRE-600    1     126.44   126.635   126.5375   <0.01     <0.01     <0.01
FRE-601    1    126.635    126.83   126.7325   0.011     <0.01     <0.01
FRE-602    1     126.83    127.11    126.97     0.01     <0.01     <0.01
FRE-603    1     127.11   127.285   127.1975   0.011     <0.01     <0.01
FRE-604    1    127.285   127.445   127.365    0.011     <0.01     <0.01
FRE-605    1    127.445    127.65   127.5475   0.016     <0.01     <0.01
FRE-606    1     127.65    127.85    127.75    0.021     <0.01     <0.01
FRE-606    2     127.65    127.85    127.75    0.011     <0.01     <0.01
FRE-607    1     127.85   128.045   127.9475   0.012     <0.01     <0.01
FRE-608    1    128.045    128.28   128.1625   <0.01     <0.01     <0.01
FRE-609    1    128.395   128.595   128.495    <0.01     <0.01     <0.01
FRE-610    1    128.595    128.77   128.6825   0.017     <0.01     <0.01
FRE-611    1     128.77    129.06   128.915    0.011     <0.01     <0.01
FRE-611    2     128.77    129.06   128.915    0.011     <0.01     <0.01
FRE-612    1     129.06   129.275   129.1675   <0.01     <0.01     <0.01
FRE-613    1    129.275   129.465    129.37    <0.01     <0.01     <0.01
FRE-614    1    129.465    129.68   129.5725   0.012     <0.01     <0.01
FRE-615    1     129.68    129.88    129.78    <0.01     <0.01     <0.01
FRE-616    1     129.88    130.08    129.98    <0.01     <0.01     <0.01
FRE-617    1     130.08    130.29   130.185    <0.01     <0.01     <0.01
FRE-618    1     130.29    130.5    130.395    0.024     <0.01     <0.01
FRE-619    1     130.5     130.69   130.595    <0.01     <0.01     <0.01
FRE-620    1     130.69   130.945   130.8175   <0.01     <0.01     <0.01
FRE-621    1    130.945   131.145   131.045    <0.01     <0.01     <0.01
FRE-622    1    131.145   131.355    131.25    0.015     <0.01     <0.01
FRE-623    1    131.355    131.56   131.4575   <0.01     <0.01     <0.01
FRE-624    1     131.56    131.71   131.635    <0.01     <0.01     <0.01
FRE-625    1     131.71    131.91    131.81    <0.01     <0.01     <0.01
FRE-626    1     131.91    132.1    132.005    <0.01     <0.01     <0.01
FRE-627    1     132.1    132.275   132.1875   0.012     <0.01     <0.01
FRE-628    1    132.275    132.5    132.3875   <0.01     <0.01     <0.01
FRE-629    1     132.5    132.675   132.5875   0.012     <0.01     <0.01
FRE-630    1    132.675   132.885    132.78     0.01     <0.01     <0.01
FRE-631    1    132.885    133.09   132.9875   <0.01     <0.01     <0.01
FRE-632    1     133.09   133.265   133.1775   <0.01     <0.01     <0.01
FRE-633    1    133.265   133.455    133.36    <0.01     <0.01     <0.01
FRE-634    1    133.455    133.72   133.5875    0.01     <0.01     <0.01
FRE-635    1     133.72    133.92    133.82    0.016     <0.01     <0.01
FRE-636    1     133.92    134.13   134.025    <0.01     <0.01     <0.01
FRE-637    1     134.13    134.35    134.24     0.01     <0.01     <0.01
FRE-638    1     134.35   134.655   134.5025    0.01     <0.01     <0.01
FRE-639    1    134.655    134.92   134.7875   <0.01     <0.01     <0.01
FRE-640    1     134.92    135.17   135.045    <0.01     <0.01     <0.01
FRE-641    1     135.17    135.4    135.285    <0.01     <0.01     <0.01
FRE-642    1     135.4     135.59   135.495    0.015     <0.01     <0.01
FRE-643    1     135.59    135.77    135.68    0.016     <0.01     <0.01
FRE-644    1     135.77    135.97    135.87    <0.01     <0.01     <0.01
FRE-644    2     135.77    135.97    135.87    <0.01     <0.01     <0.01
FRE-645    1     135.97    136.15    136.06    0.013     <0.01     <0.01
FRE-646    1     136.15    136.32   136.235    0.011     <0.01     <0.01
FRE-647    1     136.32    136.49   136.405    0.011     <0.01     <0.01
FRE-648    1     136.49   136.665   136.5775   0.016     <0.01     <0.01
FRE-649    1    136.665   136.845   136.755    <0.01     <0.01     <0.01
FRE-T650   1    136.845    137.01   136.9275    0.01     <0.01     <0.01
FRE-T650   2    136.845    137.01   136.9275    0.01     <0.01     <0.01
FRE-651    1     137.01   137.155   137.0825   0.011     <0.01     <0.01
FRE-652    1    137.155   137.305    137.23    0.012     <0.01     <0.01
FRE-653    1    137.305   137.475    137.39    <0.01     <0.01     <0.01
FRE-654    1    137.475   137.645    137.56    <0.01     <0.01     <0.01
FRE-655    1    137.645    137.76   137.7025   0.011     <0.01     <0.01
FRE-656    1     137.76    137.92    137.84    <0.01     <0.01     <0.01
FRE-657    1     137.92    138.1     138.01    <0.01     <0.01     <0.01
FRE-658    1     138.1     138.25   138.175    <0.01     <0.01     <0.01
FRE-659    1     138.25   138.405   138.3275   0.017     <0.01     <0.01
FRE-660    1    138.405   138.575    138.49    0.019     <0.01     <0.01
FRE-660    2    138.405   138.575    138.49    0.018     <0.01     <0.01
FRE-661    1    138.575    138.76   138.6675   <0.01     <0.01     <0.01
FRE-662    1     138.76   138.935   138.8475    0.01     <0.01     <0.01
FRE-663    1    138.935   139.125    139.03    <0.01     <0.01     <0.01
FRE-664    1    139.125   139.335    139.23    <0.01     <0.01     <0.01
FRE-665    1    139.335    139.52   139.4275   0.014     <0.01     <0.01
FRE-666    1     139.52    139.65   139.585    <0.01     <0.01     <0.01
FRE-667    1     137.65   139.795   138.7225   <0.01     <0.01     <0.01
FRE-668    1    139.795    140.01   139.9025   <0.01     <0.01     <0.01
FRE-669    1     140.01    140.17    140.09    <0.01     <0.01     <0.01
FRE-670    1     140.17    140.34   140.255    <0.01     <0.01     <0.01
FRE-671    1     140.34   140.475   140.4075   <0.01     <0.01     <0.01
FRE-672    1    140.475    140.65   140.5625   <0.01     <0.01     <0.01
FRE-673    1     140.65    140.8    140.725    <0.01     <0.01     <0.01
FRE-674    1     140.8     140.94    140.87    <0.01     <0.01     <0.01
FRE-675    1     140.94   141.115   141.0275   <0.01     <0.01     <0.01
FRE-676    1    141.115   141.275   141.195    0.013     <0.01     <0.01
FRE-677    1    141.275   141.455   141.365    <0.01     <0.01     <0.01
FRE-678    1    141.455   141.595   141.525    0.013     <0.01     <0.01
FRE-679    1    141.595    141.78   141.6875   <0.01     <0.01     <0.01
FRE-679    2    141.595    141.78   141.6875   <0.01     <0.01     <0.01
FRE-680    1     141.78    142.06    141.92    <0.01     <0.01     <0.01
FRE-681    1     142.06    142.25   142.155    <0.01     <0.01     <0.01
FRE-682    1     142.25    142.42   142.335    <0.01     <0.01     <0.01
FRE-683    1     142.42   142.615   142.5175   0.013     <0.01     <0.01
FRE-684    1    142.615   142.795   142.705    0.017     <0.01     <0.01
FRE-685    1    142.795   142.965    142.88    <0.01     <0.01     <0.01
FRE-686    1    142.965    143.25   143.1075   0.011     <0.01     <0.01
FRE-687    1     143.8     144.02    143.91    0.012     <0.01     <0.01
FRE-688    1     144.02    144.2     144.11    0.011     <0.01     <0.01
FRE-689    1     144.2     144.42    144.31    0.014     <0.01     <0.01
FRE-690    1     144.42    144.62    144.52    0.018     <0.01     <0.01
FRE-691    1     144.62   144.835   144.7275   <0.01     <0.01     <0.01
FRE-692    1    144.835   145.055   144.945    0.011     <0.01     <0.01
FRE-693    1    145.055   145.185    145.12    <0.01     <0.01     <0.01
FRE-694    1    145.185   145.315    145.25    0.011     <0.01     <0.01
FRE-695    1    145.315    145.57   145.4425   0.017     <0.01     <0.01
FRE-696    1     145.57   145.715   145.6425   0.015     <0.01     <0.01
FRE-697    1    145.715   145.875   145.795    <0.01     <0.01     <0.01
FRE-698    1    145.875    146.05   145.9625   0.018     <0.01     <0.01
FRE-699    1     146.05   146.225   146.1375   0.019     <0.01     <0.01
FRE-700    1    146.225   146.415    146.32    <0.01     <0.01     <0.01
FRE-701    1    146.415   146.585    146.5     <0.01     <0.01     <0.01
FRE-702    1    146.585    146.74   146.6625   0.016     <0.01     <0.01
FRE-703    1     146.74    146.9     146.82    0.014     <0.01     <0.01
FRE-704    1     146.9     147.05   146.975    0.017     <0.01     <0.01
FRE-705    1     147.05   147.325   147.1875   <0.01     <0.01     <0.01
FRE-705    2     147.05   147.325   147.1875   <0.01     <0.01     <0.01
FRE-706    1    147.325   147.525   147.425    0.013     <0.01     <0.01
FRE-707    1    147.525    147.71   147.6175   0.014     <0.01     <0.01
FRE-708    1     147.71    147.4    147.555    0.018     <0.01     <0.01
FRE-709    1     147.4     148.09   147.745    0.013     <0.01     <0.01
FRE-710    1     148.09   148.275   148.1825   0.024     0.035     <0.01
FRE-711    1    148.275    148.47   148.3725   0.028     0.035     <0.01
FRE-712    1     148.47   148.665   148.5675   0.023     0.032     <0.01
FRE-713    1    148.665   148.855    148.76    0.024     0.034     <0.01
FRE-714    1    148.855     149     148.9275    0.03     0.057     <0.01
FRE-715    1      149     149.175   149.0875   0.016     0.034     <0.01
FRE-716    1    149.175   149.345    149.26    0.031      0.05     <0.01
FRE-717    1    149.345   149.545   149.445    0.018     0.029     <0.01
FRE-718    1    149.545    149.71   149.6275   0.027     0.046     <0.01
FRE-719    1     149.71    149.88   149.795     0.02     0.034     <0.01
FRE-720    1     149.88   150.065   149.9725   0.025     0.035     <0.01
FRE-721    1    150.065   150.275    150.17    0.026     <0.01     <0.01
FRE-722    1    150.275   150.425    150.35    0.032     0.023     <0.01
FRE-723    1    150.425   150.585   150.505    0.061     0.055     <0.01
FRE-724    1     150.65   150.915   150.7825   0.088     0.063     <0.01
FRE-725    1    150.915   151.115   151.015    0.079     <0.01     <0.01
FRE-726    1    151.115    151.37   151.2425   0.035     <0.01     <0.01
FRE-727    1     151.37    151.57    151.47    0.037     <0.01     <0.01
FRE-728    1     151.57    151.78   151.675    0.045     <0.01     <0.01
FRE-729    1     151.78   151.935   151.8575   0.125      0.02     <0.01
FRE-730    1    151.935   152.095   152.015    0.057     <0.01     <0.01
FRE-731    1    152.095    152.26   152.1775   0.084     <0.01     <0.01
FRE-732    1     152.26    152.42    152.34    0.144     0.044     <0.01
FRE-733    1     152.42   152.555   152.4875   0.168     0.022     <0.01
FRE-734    1    152.555   152.705    152.63    0.073     <0.01     <0.01
FRE-735    1    152.705   152.845   152.775     0.09     0.013     <0.01
FRE-736    1    152.845    152.99   152.9175   0.113     0.022     0.011
FRE-737    1     152.99   153.185   153.0875   0.078     0.028     <0.01
FRE-738    1    153.185   153.305   153.245    0.196     0.035     <0.01
