0,1,2,3,4,5
ASN00063043,-33.5343,150.6338,PRCP,1866,2023
ASN00063226,-33.4769,150.1303,PRCP,1878,2023
ASN00064008,-31.2712,149.2714,PRCP,1879,2023
ASN00067015,-33.9696,150.725,PRCP,1867,2023
ASN00069002,-36.6884,149.838,PRCP,1879,2023
ASN00069018,-35.9093,150.1532,PRCP,1875,2023
ASN00069036,-36.0876,150.0508,PRCP,1878,2023
ASN00070131,-34.545,149.6245,PRCP,1879,2023
ASN00072042,-35.2765,147.7362,PRCP,1872,2023
ASN00073037,-34.444,147.533,PRCP,1880,2023
ASN00074005,-34.2849,146.5714,PRCP,1878,2023
ASN00074110,-35.3305,146.2652,PRCP,1871,2023
ASN00074128,-35.5269,144.952,PRCP,1858,2023
ASN00075006,-34.2289,146.3444,PRCP,1876,2023
ASN00075026,-34.442,145.5612,PRCP,1877,2023
ASN00075069,-34.0965,144.6529,PRCP,1876,2023
ASN00075071,-35.2119,144.816,PRCP,1868,2023
ASN00078010,-36.4644,142.0327,PRCP,1878,2023
ASN00079028,-36.6722,142.2991,PRCP,1863,2023
ASN00079040,-36.6189,143.2631,PRCP,1880,2023
ASN00080023,-35.7236,143.9197,PRCP,1880,2023
ASN00080024,-35.8674,143.8007,PRCP,1880,2023
ASN00081020,-36.5753,143.8695,PRCP,1880,2023
ASN00082001,-36.3702,146.7132,PRCP,1873,2023
ASN00082043,-36.7872,145.8225,PRCP,1879,2023
ASN00084016,-37.5679,149.9158,PRCP,1864,2023
ASN00085096,-39.1297,146.4244,PRCP,1872,2023
ASN00086079,-38.2358,145.0667,PRCP,1868,2023
ASN00086131,-37.5552,145.1259,PRCP,1856,2023
ASN00087017,-37.4701,144.3069,PRCP,1878,2023
ASN00087021,-37.8233,144.2078,PRCP,1874,2023
ASN00087036,-37.4155,144.5569,PRCP,1873,2023
ASN00087046,-37.6719,143.94,PRCP,1856,2023
ASN00087061,-37.5706,144.7411,PRCP,1878,2023
ASN00088015,-37.3049,143.7776,PRCP,1879,2023
ASN00088020,-37.3432,144.1575,PRCP,1869,2023
ASN00088042,-37.1965,144.3742,PRCP,1872,2023
ASN00088043,-37.056,143.732,PRCP,1878,2023
ASN00088053,-37.0277,145.1491,PRCP,1880,2023
ASN00089033,-37.6901,142.7253,PRCP,1879,2023
ASN00090015,-38.8556,143.5128,PRCP,1868,2023
ASN00090020,-37.435,141.3428,PRCP,1880,2023
ASN00090070,-38.3846,141.6074,PRCP,1872,2023
ASN00094010,-43.4892,147.1453,PRCP,1880,2023
AU000005010,48.05,14.1331,PRCP,1876,2023
