Depth (mbs)	Gas Age (yrs BP)	d15N 	Atm d18O	d(32/28)	dAr/N2	dCO2/N2	CH4
111.35	13186.1	0.26	0.12	-48.9	-12.6	50.8	1370
111.42	13213.3	-0.09	0.99	-30.6	43.1	18611.1	2287
111.57	13271.7	0.31	0.15	-38.3	83.9	21251.7	2371
112.62	13680.0	-0.12	0.99	-50.6	6.0	13343.0	2571
113.06	13851.1	-0.07	1.44	-19.4	-3.7	5396.5	1064
113.83	14150.6	0.16	0.46	-33.5	-12.8	22.3	837
113.91	14181.7	0.00	0.57	-28.2	-4.9	7237.6	1008
114.01	14220.6	0.33	0.10	-30.0	14.5	69.3	3004
114.11	14259.4	0.37	0.01	-32.1	15.1	91.5	3898
114.30	14333.3	0.22	0.13	-47.6	-31.9	39.3	1193
114.38	14364.4	-0.06	0.77	-27.4	-1.9	7991.2	1889
115.20	14683.3	0.14	0.83	-31.6	-33.4	10.5	941
115.28	14714.4	-0.04	1.09	-11.6	-6.1	3513.3	817
116.80	15305.6	0.23	0.64	-41.3	-45.6	100.4	992
116.88	15336.7	0.00	0.98	-12.3	-4.0	4083.8	843
117.77	15682.8	0.11	0.77	-8.4	-2.4	1117.2	877
118.82	16091.1	0.15	0.85	-20.1	-15.7	10.0	879
118.90	16122.2	0.12	0.71	-7.5	-2.2	4651.1	1084
119.49	16351.7	-0.04	1.04	-8.1	-2.2	3079.6	752
119.51	16359.4	0.07	0.84	-7.9	-3.3	3494.4	744
121.07	16966.1	0.13	0.89	-10.5	-1.8	-14.1	668
121.17	17005.0	0.13	0.88	-12.2	-4.1	-11.7	683
121.47	17121.7	0.00	0.90	-12.4	-5.1	3253.3	663
122.32	17452.2	0.13	0.76	-18.6	-5.7	703.1	768
124.31	18226.1	-0.05	1.17	-22.0	-5.3	3434.6	693
125.96	18867.8	0.07	0.84	-14.4	-1.4	3954.6	715
126.04	18898.9	-0.02	0.93	-14.2	-2.7	3838.5	742
128.19	19735.0	-0.01	0.89	-15.8	-6.1	4056.9	701
128.92	20018.9	-0.04	0.98	-16.2	-8.3	4594.9	706
129.97	20427.2	-0.02	0.96	-10.7	-1.6	4006.7	799
130.05	20458.3	0.00	0.93	-16.2	-7.3	4285.2	812
							
							
							
