QUELCCAYA SUMMIT CORE PARTICLE SIZES, CONDUCTIVITY, DELTA 18-O AND ACCUMULATION

REFERENCES:

Thompson, L.G., E. Mosley-Thompson, P. Grootes, and M. Pourchet. 1984. Tropical glaciers: potential for paleoclimatic reconstruction. Journal of Geophysical Research, 89 (D3), 4638-4646.

Thompson, L.G., E. Mosley-Thompson and Benjamin Morales Arnao. 1984. Major El Niño/Southern Oscillation events recorded in stratigraphy of the tropical Quelccaya Ice Cap. Science, 226 (4670), 50-52.

 Thompson, L. G., E. Mosley-Thompson, J. F. Bolzan and B. R. Koci. 1985. A 1500 year record of tropical precipitation recorded in ice cores from the Quelccaya Ice Cap, Peru. Science, 229(4717), 971-973

Thompson, L.G. and E. Mosley-Thompson. 1987. Evidence of abrupt climatic change during the last 1,500 years recorded in ice cores from the tropical Quelccaya ice cap, Peru. Abrupt Climatic Change - Evidence and Implications, NATO/NSF Workshop volume. D. Reidel Publishing Co., 99-110

Shimada, I., C.B. Schaaf, L.G. Thompson and E. Mosley-Thompson. 1991. Cultural impacts of severe droughts in the prehistoric Andes: Application of a 1,500-year ice core precipitation record. World Archaeology: Archaeology and Arid Environment, 22(3), 247-270. 

Brecher, H.H. and Thompson, L.G. 1993. Measurement of the retreat of Qori Kalis in the tropical Andes of Peru by Terrestrial Photogrammertry. Photogrammetric Engineering and Remote Sensing, 59(6), 1017-1022

Thompson, L.G., M.E. Davis and E. Mosley-Thompson. 1994. Glacial records of global climate: A 1500-year tropical ice core record of climate. Human Ecology, 22(1), 83-95.

DATA DESCRIPTION:


YEAR   0.63-0.80   >0.63     >1.59   COND     O18    ACCUM    ACCUM (STAND.
                                                      (M)     DEV FROM MEAN) 

DATA:

1915    201851.   325777.     5903.   1.78   -17.29   1.648    0.608 
1914    192344.   349812.     5820.   1.61   -15.78   1.576    0.398 
1913    170880.   326710.     5617.   1.82   -17.33   1.436   -0.015 
1912    238671.   393774.     6074.   1.86   -16.74   1.523    0.240 
1911    205015.   389213.     6385.   1.90   -18.04   1.800    1.056 
1910    152288.   251860.     9556.   1.80   -20.00   1.564    0.360 
1909    218080.   363444.    12200.   1.78   -19.33   1.167   -0.807 
1908    190206.   299951.     5526.   1.79   -19.70   1.993    1.626 
1907    296560.   481912.    10240.   2.10   -18.24   1.300   -0.414 
1906    239680.   418100.    10880.   2.07   -15.20   1.144   -0.876 
1905    276655.   548140.    14105.   1.82   -14.82   1.492    0.150 
1904    183250.   308113.     4753.   1.80   -18.70   1.600    0.468 
1903    184330.   268077.     2807.   1.65   -19.03   1.674    0.687 
1902    255515.   439710.     5170.   2.11   -17.22   1.732    0.856 
1901    206733.   428653.    36300.   1.22   -15.33   0.842   -1.766 
1900    132440.   210875.     4230.   1.66   -16.59   1.577    0.400 
1899    197277.   313017.     5103.   1.88   -18.50   1.532    0.268 
1898     98220.   176573.     2047.   1.94   -18.68   1.264   -0.522 
1897    155163.   299660.     5380.   1.95   -17.64   1.550    0.322 
1896    128548.   225016.     4840.   1.81   -16.99   1.275   -0.489 
1895    106697.   212683.     6033.   1.72   -19.17   2.144    2.070 
1894    116412.   194260.     7116.   1.73   -20.33   1.366   -0.222 
1893    162615.   400415.     8050.   1.84   -20.28   1.545    0.305 
1892    253320.   403872.     6344.   1.99   -18.19   1.604    0.479 
1891    401660.   602865.     4000.   2.12   -18.69   1.456    0.044 
1890    188920.   292448.     5304.   1.92   -18.91   1.473    0.094 
1889     41810.   181410.     2320.   2.47   -18.60   1.171   -0.797 
1888    144495.   323685.     7225.   1.92   -16.99   1.701    0.765 
1887    217367.   335460.     4960.   2.15   -16.92   1.450    0.026 
1886    178490.   354525.     4680.   2.13   -18.81   1.308   -0.392 
1885    223783.   376595.    12910.   2.23   -18.97   2.004    1.658 
1884    194240.   317593.     3693.   2.04   -19.43   1.531    0.264 
1883    558972.   847776.    10976.   2.04   -18.11   1.548    0.314 
1882    216095.   388225.     4170.   2.27   -18.24   1.196   -0.721 
1881    457290.   821600.    12885.   3.26   -16.55   1.721    0.825 
1880    469607.   799310.    13827.   2.82   -17.88   1.246   -0.574 
1879    646847.   943803.     7363.   2.72   -17.96   2.029    1.733 
1878    407297.   631043.    11750.   2.58   -15.62   1.950    1.499 
1877    481480.   794584.    10228.   2.66   -19.01   1.490    0.144 
1876    295855.   552080.     6460.   2.56   -18.50   1.521    0.234 
1875    519408.  1111904.    19844.   2.84   -20.15   1.536    0.281 
1874    421896.   671636.     9928.   2.51   -20.05   1.417   -0.071 
1873    380960.   608635.     5225.   2.64   -19.09   1.401   -0.117 
1872    371812.   629372.     9988.   2.75   -19.34   1.431   -0.030 
1871    241813.   375867.     8987.   2.41   -20.15   1.239   -0.596 
1870    571368.   948668.    24656.   2.62   -19.07   1.658    0.639 
1869    379188.   631780.    18336.   2.38   -18.07   1.738    0.873 
1868    531550.   828195.    11520.   2.64   -20.28   1.446    0.016 
1867    674392.   998716.    15244.   3.93   -19.45   1.611    0.501 
1866    546170.   802075.     9575.   2.72   -14.51   1.426   -0.044 
1865    564748.   827528.     9124.   2.65   -17.33   1.462    0.061 
1864    588280.   938788.     6960.   2.20   -20.47   1.448    0.021 
1863    491495.   731115.     6460.   2.27   -18.23   1.378   -0.185 
1862    481560.   854168.    17348.   2.62   -16.98   1.696    0.749 
1861    154116.   220156.     5352.   3.07   -20.28   1.478    0.109 
1860    327093.   506773.     3767.   2.47   -19.41   1.435   -0.019 
1859    403305.   841010.    19935.   3.72   -18.51   1.332   -0.321 
1858    140768.   244648.    13428.   3.01   -18.98   1.432   -0.027 
1857    117465.   166330.     2675.   2.99   -17.58   1.357   -0.249 
1856    359415.   695840.    22975.   2.78   -16.66   1.369   -0.213 
1855    447748.   841300.     7248.   2.73   -17.38   1.381   -0.177 
1854    300645.   493295.    13740.   2.08   -18.36   1.333   -0.319 
1853    359310.   657520.    14590.   2.91   -19.29   1.039   -1.184 
1852    200110.   299240.     7715.   2.53   -17.57   1.603    0.477 
1851    303065.   419820.     4075.   2.20   -19.69   1.337   -0.306 
1850    126485.   338315.     7660.   2.39   -18.55   1.223   -0.642 
1849    369132.   697984.    14336.   2.98   -19.49   1.455    0.041 
1848    255273.   492520.     4880.   2.22   -19.29   1.212   -0.674 
1847    392770.   602940.     6360.   2.84   -15.57   0.791   -1.914 
1846    161644.   364616.    15240.   2.49   -18.38   1.538    0.284 
1845    197464.   451204.    15952.   2.43   -17.30   1.171   -0.796 
1844    512385.   814200.    21840.   2.86   -17.12   1.253   -0.554 
1843    241495.   421985.    11075.   3.06   -18.41   1.197   -0.720 
1842    365360.   561405.    12855.   2.72   -18.78   1.274   -0.494 
1841    381480.   850420.    31205.   2.68   -16.80   1.284   -0.464 
1840    167873.   424293.    20460.   2.91   -17.54   1.090   -1.035 
1839    464275.   724710.    11100.   3.02   -17.78   1.304   -0.404 
1838    385070.   748873.    10880.   2.56   -19.13   1.591    0.441 
1837    190150.   378110.    20105.   3.09   -19.21   1.429   -0.035 
1836    440364.   830324.    26612.   3.06   -17.73   1.019   -1.245 
1835    656505.  1310820.    19380.   2.62   -18.72   1.472    0.092 
1834    708140.  1260275.    32730.   3.62   -16.83   0.849   -1.745 
1833    352840.   575965.     6480.   2.99   -18.41   1.531    0.263 
1832    572120.   994300.    15480.   3.57   -18.13   1.014   -1.259 
1831    528735.   875865.    10795.   3.69   -19.32   1.262   -0.529 
1830    758784.  1197904.    14512.   4.27   -17.71   1.469    0.083 
1829    660173.   994620.    10800.   3.36   -16.46   1.199   -0.714 
1828    510580.   928100.    11096.   3.21   -17.40   1.453    0.036 
1827    391433.   666647.     7393.   2.55   -16.40   1.089   -1.039 
