QUELCCAYA 1977 PARTICLE SIZES PART C

REFERENCES:

Thompson, L.G., E. Mosley-Thompson, P. Grootes, and M. Pourchet. 1984. Tropical glaciers: potential for paleoclimatic reconstruction. Journal of Geophysical Research, 89 (D3), 4638-4646.

Thompson, L.G., E. Mosley-Thompson and Benjamin Morales Arnao. 1984. Major El Niño/Southern Oscillation events recorded in stratigraphy of the tropical Quelccaya Ice Cap. Science, 226 (4670), 50-52.

 Thompson, L. G., E. Mosley-Thompson, J. F. Bolzan and B. R. Koci. 1985. A 1500 year record of tropical precipitation recorded in ice cores from the Quelccaya Ice Cap, Peru. Science, 229(4717), 971-973

Thompson, L.G. and E. Mosley-Thompson. 1987. Evidence of abrupt climatic change during the last 1,500 years recorded in ice cores from the tropical Quelccaya ice cap, Peru. Abrupt Climatic Change - Evidence and Implications, NATO/NSF Workshop volume. D. Reidel Publishing Co., 99-110

Shimada, I., C.B. Schaaf, L.G. Thompson and E. Mosley-Thompson. 1991. Cultural impacts of severe droughts in the prehistoric Andes: Application of a 1,500-year ice core precipitation record. World Archaeology: Archaeology and Arid Environment, 22(3), 247-270. 

Brecher, H.H. and Thompson, L.G. 1993. Measurement of the retreat of Qori Kalis in the tropical Andes of Peru by Terrestrial Photogrammertry. Photogrammetric Engineering and Remote Sensing, 59(6), 1017-1022

Thompson, L.G., M.E. Davis and E. Mosley-Thompson. 1994. Glacial records of global climate: A 1500-year tropical ice core record of climate. Human Ecology, 22(1), 83-95.

DATA DESCRIPTION:


# FILE: quel77c.dat
# Please read the file "README: Quelccaya Snow Pit Data"
# for information on column headings

DATA:

91577	12	19	1.28	6	3320	1149	287	51	16	8	5	2	0	0	0	0	7.42
91577	12	20	1.37	9	274	59	30	17	11	3	0	0	0	0	0	0	1.62
91577	12	21	1.44	7	496	136	44	15	3	0	0	0	0	0	0	0	4.42
91577	12	22	1.5	6	6410	1307	74	17	11	6	6	4	1	1	1	1	15.82
91577	12	23	1.57	7	2821	871	87	12	2	2	0	0	0	0	0	0	14.02
91577	12	24	1.65	8	259	109	60	36	22	18	11	9	4	1	0	0	5.22
91577	12	25	1.72	7	480	143	63	37	29	19	19	16	14	12	12	11	3.12
91577	12	26	1.8	8	1998	619	122	38	21	17	12	10	8	6	3	2	5.22
91577	12	27	1.87	7	3574	982	102	35	26	20	17	13	11	11	10	9	5.82
91577	12	28	1.97	10	1760	316	37	19	13	11	7	6	6	5	5	3	2.52
91577	12	29	2.04	7	2052	951	412	146	57	36	34	29	24	19	10	5	5.92
91577	12	30	2.12	8	9293	1193	227	71	34	15	10	9	5	5	2	0	1.62
91577	12	31	2.18	6	3057	791	254	92	36	11	2	0	0	0	0	0	2.32
91677	13	1	0.05	5	2174	836	213	67	28	14	9	3	2	1	1	1	5.72
91677	13	2	0.15	10	7090	2241	922	566	407	287	181	108	80	55	28	14	2.92
91677	13	3	0.25	10	2628	311	88	43	24	12	6	0	0	0	0	0	0.62
91677	13	4	0.35	10	2773	1050	421	155	59	15	4	1	1	1	1	0	6.82
91677	13	5	0.45	10	719	75	17	8	3	1	1	1	1	1	1	1	0.42
91677	13	6	0.55	10	395	177	84	55	31	19	11	4	2	0	0	0	15.42
91677	13	7	0.65	10	1814	847	212	53	29	13	4	2	1	0	0	0	21.82
91677	13	8	0.75	10	661	252	68	21	13	4	1	0	0	0	0	0	9.42
91677	13	9	0.85	10	146	82	47	23	14	8	3	1	0	0	0	0	21.42
91677	13	10	0.95	10	569	311	169	68	21	6	2	1	0	0	0	0	21.52
91677	13	11	1.05	10	2741	1029	353	113	30	10	2	1	1	1	0	0	5.82
91677	13	12	1.15	10	2190	229	49	21	16	9	2	1	1	1	0	0	0.62
91677	13	13	1.25	10	564	150	46	14	4	2	2	0	0	0	0	0	7.62
91677	13	14	1.35	10	352	131	70	41	21	11	2	2	2	1	1	0	0.92
91677	13	15	1.45	10	7194	2389	376	101	48	18	5	1	1	1	1	1	18.32
91677	13	16	1.55	10	420	159	77	34	19	11	9	2	1	0	0	0	2.52
91677	13	17	1.65	10	419	139	79	49	26	13	7	4	2	0	0	0	1.32
91677	13	18	1.75	10	4161	1771	363	66	41	32	27	25	25	20	11	5	5.22
91677	13	19	1.85	10	2172	777	284	66	26	13	10	7	4	4	2	0	2.82
91677	13	20	1.95	10	1033	404	177	90	57	25	16	9	5	3	1	0	2.52
91677	13	21	2.05	10	1054	233	53	18	13	3	2	1	1	1	0	0	2.62
91677	13	22	2.15	10	846	145	39	14	7	4	2	2	1	1	1	1	0.82
91677	13	23	2.25	10	1113	340	156	83	42	25	14	9	6	4	3	1	1.52
91677	13	24	2.35	10	3406	1040	413	144	45	23	12	8	6	5	1	0	2.82
