# Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17418
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2015elem5yrefcdry.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-09
#--------------------
# Title
#	Study_Name: Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#--------------------
# Investigators
# 	Investigators: Uglietti, C; Gabrielli, P; Cooke, C.A.; Vallelonga, P; Thompson, L.G.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from ice cores collected on the North Dome of the Quelccaya Ice Cap, Peru. 
#	5-year median/average concentration, enrichment factor and flux of trace elements for the Quelccaya 
#	North Dome (QND) ice core from 795 to 1990 AD. Concentrations, fluxes and enrichment factors of 
#	Ag, Al, As, Bi, Cd, Co, Cr, Cu, Fe, Mn, Mo, Pb, Rb, Sb, Ti, Tl, U and V are included. 
#
#	Raw concentration data are at annual or decadal resolution for the past 1200 years and are based on freshly 
#	cut ice samples. Included are 5 years average and median concentration, enrichment factor (EFc) and flux 
#	of trace elements for the Quelccaya North Dome core from  795 to 1990 AD; 5 years average/median concentrations 
#	and EFc are calculated as average/median of the individual sample values 5 years average/median fluxes 
#	are calculated as average/median of annual fluxes that are obtained by using reconstructed annual snow 
#	accumulation and average annual trace element concentration. Raw concentration data will be released after 
#	the planned successive publication of the detailed trace element records or within 5 years from the publication 
#	of the 2015 PNAS trace element paper.  Time scale is from Thompson et al. (2013) Science, vol. 340, 6135, 945-950. 
#	The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
#	Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
#	isotopic record to that of the Quelccaya Summit Dome core.
#
#--------------------
# Publication 
# 	Authors: Chiara Uglietti, Paolo Gabrielli, Colin A. Cooke, Paul Vallelonga, and Lonnie G. Thompson
#	Published_Date_or_Year: 2015-02-09 
#	Published_Title: Widespread pollution of the South American atmosphere predates the industrial revolution by 240 y
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages: 
#	DOI: 10.1073/pnas.1421119112
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: In the Southern Hemisphere, evidence for preindustrial atmospheric pollution is restricted to a few geological archives of low temporal resolution that record trace element deposition originating from past mining and metallurgical operations in South America. Therefore, the timing and the spatial impact of these activities on the past atmosphere remain poorly constrained. Here we present an annually resolved ice core record (A.D. 793-1989) from the high-altitude drilling site of Quelccaya (Peru) that archives preindustrial and industrial variations in trace elements. During the precolonial period (i.e., pre-A.D. 1532), the deposition of trace elements was mainly dominated by the fallout of aeolian dust and of ash from occasional volcanic eruptions, indicating that metallurgic production during the Inca Empire (A.D. 1438-1532) had a negligible impact on the South American atmosphere. In contrast, a widespread anthropogenic signal is evident after around A.D. 1540, which corresponds with the beginning of colonial mining and metallurgy in Peru and Bolivia, ~240 y before the Industrial Revolution. This shift was due to a major technological transition for silver extraction in South America (A.D. 1572), from lead-based smelting to mercury amalgamation, which precipitated a massive increase in mining activities. However, deposition of toxic trace metals during the Colonial era was still several factors lower than 20th century pollution that was unprecedented over the entirety of human history.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ATM-0318430, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Quelccaya North Dome Ice Core
#	Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.91379
#	Southernmost_Latitude: -13.91379
#	Easternmost_Longitude: -70.80607
#	Westernmost_Longitude: -70.80607
#	Elevation: 5600 m  
#------------------
# Data_Collection   
#	Collection_Name: Quelccaya2015elem5YrEFcDry
#	Earliest_Year: 1500
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 128.49 m 
#	Notes: 
#------------------
# Chronology: 
#
# The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
# Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
# isotopic record to that of the Quelccaya Summit Dome core.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , year AD, , , First thermal year (AD) after the five-years period considered, ,N
##Ag EFcD	Silver median crustal enrichment factor, , , , Dry Season, , , ,N
##Al EFcD	Aluminum median crustal enrichment factor, , , , Dry Season, , , ,N
##As EFcD	Arsenic median crustal enrichment factor, , , , Dry Season, , , ,N
##Bi EFcD	Bismuth median crustal enrichment factor, , , , Dry Season, , , ,N
##Cd EFcD	Cadmium median crustal enrichment factor, , , , Dry Season, , , ,N
##Co EFcD	Cobalt median crustal enrichment factor, , , , Dry Season, , , ,N
##Cr EFcD	Chromium median crustal enrichment factor, , , , Dry Season, , , ,N
##Cu EFcD	Copper median crustal enrichment factor, , , , Dry Season, , , ,N
##Fe EFcD	Iron median crustal enrichment factor, , , , Dry Season, , , ,N
##Mn EFcD	Manganese median crustal enrichment factor, , , , Dry Season, , , ,N
##Mo EFcD	Aluminum median crustal enrichment factor, , , , Dry Season, , , ,N
##Pb EFcD	Lead median crustal enrichment factor, , , , Dry Season, , , ,N
##Rb EFcD	Rubidium median crustal enrichment factor, , , , Dry Season, , , ,N
##Sb EFcD	Antimony median crustal enrichment factor, , , , Dry Season, , , ,N
##Ti EFcD	Titanium median crustal enrichment factor, , , , Dry Season, , , ,N
##Tl EFcD	Thallium median crustal enrichment factor, , , , Dry Season, , , ,N
##U EFcD	Uranium median crustal enrichment factor, , , , Dry Season, , , ,N
##V EFcD	Vanadium median crustal enrichment factor, , , , Dry Season, , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Quelccaya 2003 North Dome core 5-years median crustal enrichment factor from 1500 AD to 1990 AD during the dry season 
#
age_AD	Ag EFcD	Al EFcD	As EFcD	Bi EFcD	Cd EFcD	Co EFcD	Cr EFcD	Cu EFcD	Fe EFcD	Mn EFcD	Mo EFcD	Pb EFcD	Rb EFcD	Sb EFcD	Ti EFcD	Tl EFcD	U EFcD	V EFcD
1770	0.95	0.77	0.30	0.12	2.15	1.82	1.44	2.75	1.00	0.50	4.12	1.21	0.14	0.47	0.52	0.11	0.17	1.53
1765	0.98	0.72	0.26	0.20	2.78	2.21	1.20	2.59	1.00	0.93	4.59	2.38	0.15	0.44	0.63	0.12	0.10	1.62
1760	0.93	1.02	0.46	0.19	3.27	2.53	1.81	2.48	1.00	1.16	6.21	1.48	0.18	0.39	0.54	0.13	0.17	1.62
1755	1.61	1.20	0.39	0.20	4.70	2.41	2.52	3.59	1.00	0.66	6.32	1.65	0.19	0.57	0.68	0.14	0.14	1.68
1750	1.30	0.98	0.43	0.16	3.94	2.24	1.84	3.34	1.00	0.63	6.66	1.86	0.21	0.45	0.78	0.15	0.11	1.78
1745	1.64	0.81	0.78	0.19	2.35	1.85	1.62	3.84	1.00	0.45	8.01	2.38	0.23	0.65	0.66	0.16	0.17	1.88
1740	1.95	0.89	0.55	0.19	2.69	2.43	1.70	4.19	1.00	0.75	9.62	2.17	0.25	0.60	0.86	0.17	0.17	2.06
1735	0.84	0.89	0.44	0.22	2.02	2.81	1.51	2.66	1.00	0.51	10.28	1.52	0.27	0.69	0.71	0.13	0.14	1.70
1730	0.93	0.82	0.42	0.18	1.58	2.44	1.60	2.63	1.00	0.63	9.25	2.16	0.24	0.72	0.62	0.12	0.18	1.55
1725	0.97	0.70	0.35	0.16	1.11	1.83	1.62	2.10	1.00	0.43	6.89	2.31	0.23	0.58	0.74	0.13	0.14	1.88
1720	3.61	1.02	0.56	0.25	5.23	2.31	3.01	8.18	1.00	0.54	10.45	2.85	0.24	0.84	0.70	0.18	0.18	1.83
1715	1.03	0.70	0.29	0.19	1.86	1.91	1.47	2.38	1.00	0.56	6.84	2.07	0.29	0.42	0.79	0.18	0.16	1.49
1710	1.19	0.75	0.48	0.27	2.67	1.53	1.44	4.07	1.00	0.40	7.55	2.46	0.13	0.72	0.68	0.11	0.17	1.81
1705	1.81	0.74	0.31	0.19	7.26	1.89	1.73	4.93	1.00	0.41	6.03	1.81	0.14	0.38	0.83	0.09	0.11	1.48
1700	0.89	0.73	0.37	0.14	2.43	1.89	1.73	2.95	1.00	0.45	7.00	2.02	0.16	0.23	0.56	0.13	0.17	1.44
1695	1.32	0.85	0.42	0.19	2.39	1.83	1.58	2.92	1.00	0.56	7.85	2.17	0.28	0.37	0.73	0.19	0.20	1.57
1690	1.55	0.84	0.44	0.16	2.25	1.90	1.77	2.80	1.00	0.49	6.97	2.15	0.23	0.44	0.67	0.16	0.17	1.54
1685	2.22	1.04	0.35	0.16	2.80	2.41	1.41	3.55	1.00	0.84	6.60	1.98	0.24	0.39	0.83	0.17	0.16	1.68
1680	1.35	0.79	0.38	0.14	2.84	2.31	1.19	3.60	1.00	0.81	5.77	1.48	0.21	0.29	0.66	0.14	0.13	1.63
1675	2.77	0.77	0.48	0.27	2.34	2.28	1.78	3.27	1.00	0.72	10.07	1.59	0.16	0.42	0.66	0.13	0.16	1.58
1670	1.25	1.42	0.39	0.18	2.45	1.43	2.13	5.46	1.00	0.40	10.22	1.60	0.24	0.47	0.69	0.16	0.16	1.67
1665	2.35	1.78	0.46	0.24	2.77	1.78	3.48	5.22	1.00	0.42	9.15	1.77	0.33	0.38	0.75	0.20	0.16	1.66
1660	1.35	1.38	0.31	0.13	2.67	2.00	2.05	4.05	1.00	0.54	9.57	1.32	0.32	0.22	0.68	0.19	0.18	1.60
1655	0.80	0.90	0.41	0.11	2.18	2.28	1.08	3.20	1.00	0.54	5.62	1.18	0.16	0.27	0.78	0.11	0.17	1.73
1650	0.69	0.79	0.42	0.12	1.63	2.21	1.16	2.52	1.00	0.77	7.08	1.27	0.19	0.25	0.68	0.13	0.19	1.52
1645	1.37	1.01	0.60	0.15	3.49	2.83	2.33	4.45	1.00	0.77	10.07	1.72	0.17	0.56	0.86	0.14	0.22	1.73
1640	0.80	1.61	0.39	0.13	2.49	1.93	1.22	2.82	1.00	0.58	6.99	1.44	0.31	0.23	0.85	0.17	0.15	1.69
1635	0.71	1.69	0.32	0.13	1.55	2.07	1.29	2.97	1.00	0.74	6.39	1.02	0.27	0.23	0.80	0.17	0.13	1.69
1630	0.80	1.93	0.42	0.12	1.61	1.97	1.58	3.89	1.00	0.54	8.11	1.28	0.23	0.26	1.11	0.12	0.13	1.91
1625	0.39	1.00	0.34	0.12	1.36	2.50	1.21	3.96	1.00	0.85	5.83	0.89	0.17	0.23	0.93	0.09	0.11	2.46
1620	0.31	0.89	0.25	0.12	1.17	2.20	1.19	3.20	1.00	0.82	4.54	0.82	0.18	0.19	0.78	0.10	0.13	1.93
1615	0.48	0.91	0.20	0.15	1.38	2.56	1.32	4.43	1.00	0.55	6.33	1.31	0.25	0.21	0.89	0.12	0.12	1.96
1610	0.43	1.26	0.23	0.17	0.62	2.26	1.75	4.06	1.00	0.33	5.64	0.75	0.12	0.15	1.31	0.08	0.04	2.39
1605	0.48	1.07	0.31	0.14	0.42	1.85	0.99	3.73	1.00	0.33	7.57	0.81	0.14	0.25	1.05	0.10	0.09	2.01
1600	0.26	0.94	0.18	0.07	0.37	2.41	0.76	3.48	1.00	0.40	4.43	0.65	0.13	0.09	1.45	0.07	0.05	2.16
1595	0.44	0.75	0.28	0.17	0.78	1.32	2.06	4.41	1.00	0.47	9.36	1.13	0.25	0.24	0.72	0.13	0.12	1.95
1590	0.40	0.97	0.33	0.23	0.90	0.97	1.85	3.78	1.00	0.25	5.90	1.63	0.26	0.18	0.66	0.12	0.14	1.27
1585	0.47	0.90	0.38	0.20	1.08	1.16	1.91	1.98	1.00	0.36	7.75	1.92	0.26	0.22	0.59	0.13	0.20	1.75
1580	0.48	0.76	0.33	0.23	1.13	1.29	2.01	2.50	1.00	0.33	8.95	1.87	0.28	0.35	0.62	0.15	0.29	1.83
1575	0.63	0.85	0.42	0.14	1.47	1.76	1.47	3.57	1.00	0.51	7.55	1.33	0.25	0.32	0.64	0.16	0.22	1.78
1570	0.70	0.92	0.33	0.19	2.11	1.53	1.49	2.65	1.00	0.47	7.31	1.20	0.31	0.47	0.62	0.18	0.24	1.51
1565	0.84	0.88	0.27	0.20	1.68	1.64	1.56	3.08	1.00	0.43	8.53	1.08	0.34	0.42	0.67	0.20	0.20	1.51
1560	1.03	0.76	0.31	0.20	1.61	1.61	1.94	3.57	1.00	0.41	7.81	1.05	0.29	0.53	0.65	0.16	0.20	1.45
1555	1.43	0.81	0.41	0.29	2.07	1.25	2.52	4.60	1.00	0.32	13.53	2.04	0.37	1.41	0.66	0.22	0.23	1.30
