# Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17418
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2015elem5yrmedflux.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-09
#--------------------
# Title
#	Study_Name: Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#--------------------
# Investigators
# 	Investigators: Uglietti, C; Gabrielli, P; Cooke, C.A.; Vallelonga, P; Thompson, L.G.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from ice cores collected on the North Dome of the Quelccaya Ice Cap, Peru. 
#	5-year median/average concentration, enrichment factor and flux of trace elements for the Quelccaya 
#	North Dome (QND) ice core from 795 to 1990 AD. Concentrations, fluxes and enrichment factors of 
#	Ag, Al, As, Bi, Cd, Co, Cr, Cu, Fe, Mn, Mo, Pb, Rb, Sb, Ti, Tl, U and V are included. 
#
#	Raw concentration data are at annual or decadal resolution for the past 1200 years and are based on freshly 
#	cut ice samples. Included are 5 years average and median concentration, enrichment factor (EFc) and flux 
#	of trace elements for the Quelccaya North Dome core from  795 to 1990 AD; 5 years average/median concentrations 
#	and EFc are calculated as average/median of the individual sample values 5 years average/median fluxes 
#	are calculated as average/median of annual fluxes that are obtained by using reconstructed annual snow 
#	accumulation and average annual trace element concentration. Raw concentration data will be released after 
#	the planned successive publication of the detailed trace element records or within 5 years from the publication 
#	of the 2015 PNAS trace element paper.  Time scale is from Thompson et al. (2013) Science, vol. 340, 6135, 945-950. 
#	The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
#	Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
#	isotopic record to that of the Quelccaya Summit Dome core.
#
#--------------------
# Publication 
# 	Authors: Chiara Uglietti, Paolo Gabrielli, Colin A. Cooke, Paul Vallelonga, and Lonnie G. Thompson
#	Published_Date_or_Year: 2015-02-09 
#	Published_Title: Widespread pollution of the South American atmosphere predates the industrial revolution by 240 y
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages: 
#	DOI: 10.1073/pnas.1421119112
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: In the Southern Hemisphere, evidence for preindustrial atmospheric pollution is restricted to a few geological archives of low temporal resolution that record trace element deposition originating from past mining and metallurgical operations in South America. Therefore, the timing and the spatial impact of these activities on the past atmosphere remain poorly constrained. Here we present an annually resolved ice core record (A.D. 793-1989) from the high-altitude drilling site of Quelccaya (Peru) that archives preindustrial and industrial variations in trace elements. During the precolonial period (i.e., pre-A.D. 1532), the deposition of trace elements was mainly dominated by the fallout of aeolian dust and of ash from occasional volcanic eruptions, indicating that metallurgic production during the Inca Empire (A.D. 1438-1532) had a negligible impact on the South American atmosphere. In contrast, a widespread anthropogenic signal is evident after around A.D. 1540, which corresponds with the beginning of colonial mining and metallurgy in Peru and Bolivia, ~240 y before the Industrial Revolution. This shift was due to a major technological transition for silver extraction in South America (A.D. 1572), from lead-based smelting to mercury amalgamation, which precipitated a massive increase in mining activities. However, deposition of toxic trace metals during the Colonial era was still several factors lower than 20th century pollution that was unprecedented over the entirety of human history.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ATM-0318430, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Quelccaya North Dome Ice Core
#	Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.91379
#	Southernmost_Latitude: -13.91379
#	Easternmost_Longitude: -70.80607
#	Westernmost_Longitude: -70.80607
#	Elevation: 5600 m  
#------------------
# Data_Collection   
#	Collection_Name: Quelccaya2015elem5YrMedFlux
#	Earliest_Year: 795
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 128.49 m 
#	Notes: 
#------------------
# Chronology: 
#
# The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
# Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
# isotopic record to that of the Quelccaya Summit Dome core.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , year AD, , , First thermal year (AD) after the five-years period considered, ,N
##Ag.fluxM	Silver median flux, , , pg/cm2/yr, , , , ,N
##Al.fluxM	Aluminum median flux, , , pg/cm2/yr, , , , ,N
##As.fluxM	Arsenic median flux, , , pg/cm2/yr, , , , ,N
##Bi.fluxM	Bismuth median flux, , , pg/cm2/yr, , , , ,N
##Cd.fluxM	Cadmium median flux, , , pg/cm2/yr, , , , ,N
##Co.fluxM	Cobalt median flux, , , pg/cm2/yr, , , , ,N
##Cr.fluxM	Chromium median flux, , , pg/cm2/yr, , , , ,N
##Cu.fluxM	Copper median flux, , , pg/cm2/yr, , , , ,N
##Fe.fluxM	Iron median flux, , , pg/cm2/yr, , , , ,N
##Mn.fluxM	Manganese median flux, , , pg/cm2/yr, , , , ,N
##Mo.fluxM	Aluminum median flux, , , pg/cm2/yr, , , , ,N
##Pb.fluxM	Lead median flux, , , pg/cm2/yr, , , , ,N
##Rb.fluxM	Rubidium median flux, , , pg/cm2/yr, , , , ,N
##Sb.fluxM	Antimony median flux, , , pg/cm2/yr, , , , ,N
##Ti.fluxM	Titanium median flux, , , pg/cm2/yr, , , , ,N
##Tl.fluxM	Thallium median flux, , , pg/cm2/yr, , , , ,N
##U.fluxM	Uranium median flux, , , pg/cm2/yr, , , , ,N
##V.fluxM	Vanadium median flux, , , pg/cm2/yr, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Quelccaya 2003 North Dome core 5-years median flux from 795 AD to 1990 AD 
#
age_AD	Ag.fluxM	Al.fluxM	As.fluxM	Bi.fluxM	Cd.fluxM	Co.fluxM	Cr.fluxM	Cu.fluxM	Fe.fluxM	Mn.fluxM	Mo.fluxM	Pb.fluxM	Rb.fluxM	Sb.fluxM	Ti.fluxM	Tl.fluxM	U.fluxM	V.fluxM
1805	116.38	1770108.58	6284.93	115.08	63.06	573.20	1302.57	5877.46	1556293.58	34347.05	293.38	10619.58	5829.46	640.15	118156.15	111.33	412.38	2635.08
1800	122.81	2090399.77	6558.39	143.46	51.56	844.79	3193.52	7672.80	2275402.97	32474.83	323.49	12099.91	9387.04	732.95	115260.32	138.48	643.38	3969.00
1795	320.92	7823104.23	14174.17	368.89	59.03	2570.85	6798.90	14648.71	10283455.96	138244.79	890.24	23487.46	37944.84	1578.97	622231.84	454.60	1203.25	15824.63
1790	216.96	2888345.02	11497.33	276.82	149.64	973.10	4385.24	16330.74	4005957.32	25443.34	444.45	17822.90	10812.17	1476.61	206613.14	222.47	657.09	4088.89
1785	105.69	2880730.43	6675.40	96.73	102.39	1100.18	3440.46	11877.00	2210582.32	59209.23	291.44	11010.71	8355.23	573.67	132143.61	260.22	962.83	4355.87
1780	112.93	2634420.69	3692.97	73.60	81.51	947.31	3013.92	8409.67	1627356.50	44112.59	266.54	11267.65	7504.64	483.09	97911.02	111.24	361.32	3849.98
1775	121.60	3357834.52	4289.43	101.14	162.27	1835.92	3210.60	13619.49	2389503.63	168651.28	280.03	10491.91	13635.77	762.69	149856.07	163.01	578.82	5417.59
1770	131.67	5440496.19	5118.86	105.47	135.09	1920.56	7069.33	18352.87	4803251.04	76673.30	312.47	13417.80	13238.00	794.97	216133.37	121.39	918.38	7342.25
1765	153.57	5760723.81	4443.14	215.80	174.82	2614.04	4437.29	17185.17	5758565.58	179981.21	361.18	18489.05	17785.94	910.71	276956.87	196.55	881.01	8841.67
1760	102.37	5925658.68	5837.81	148.34	163.03	2263.00	4980.18	10165.15	3989784.13	114004.95	335.97	12233.38	14530.80	713.30	169812.81	145.84	836.93	6905.25
1755	111.76	4412070.63	4256.72	120.54	149.15	2483.89	7508.71	10177.25	2244747.89	92218.70	336.47	10253.86	10875.78	649.81	122609.27	135.14	625.44	4475.07
1750	60.92	2687763.94	2664.44	46.07	112.73	1099.60	3191.45	7093.83	1418819.86	45011.94	192.67	4850.28	6758.61	334.21	69316.42	71.10	345.45	3115.82
1745	115.06	1997990.67	3654.94	71.52	59.37	688.36	1889.51	8966.77	1818646.67	27193.40	204.48	8033.50	9580.37	435.02	91918.94	93.72	461.46	3830.02
1740	128.12	2028492.01	2955.08	61.94	62.24	779.39	1836.84	7300.32	1436624.85	39195.84	215.30	7103.42	7948.66	414.91	93375.82	75.25	380.54	3334.44
1735	115.08	4195156.72	4572.98	147.62	102.18	1889.54	3563.09	8477.46	3190661.04	73383.45	354.06	11404.40	18062.69	505.70	184556.33	113.43	700.89	5992.06
1730	82.59	3444732.22	4435.41	98.55	59.22	1756.20	3318.10	7659.13	2632189.84	57297.96	350.84	12450.08	16035.04	814.60	152457.69	100.00	711.98	5012.48
1725	149.06	6402559.16	7401.41	231.49	37.89	2512.71	6285.56	13850.57	5957291.32	99647.35	526.23	25114.47	33540.37	1437.15	345277.96	233.46	1440.32	12075.45
1720	222.81	3866536.46	3341.91	121.67	197.63	1022.64	5162.68	20673.96	2093068.13	42091.25	314.73	12106.44	15305.20	975.38	186564.08	149.08	538.21	6403.75
1715	200.55	7054537.96	8580.87	254.24	178.88	2515.21	6332.50	21680.73	6027153.53	114802.45	581.01	31143.80	37174.05	1618.20	402926.56	328.16	1795.86	10987.02
1710	188.43	6099792.29	8285.74	460.91	220.73	1494.51	4873.68	31582.50	4448760.47	70371.82	640.34	22065.71	12364.59	1271.72	286680.04	145.12	925.61	11056.15
1705	276.87	6023555.48	4628.49	174.08	318.64	1807.63	6761.00	27367.06	4394678.22	66069.17	393.30	17606.54	13399.80	684.72	296876.63	126.85	899.82	8761.17
1700	175.70	5958322.33	7740.20	135.62	146.45	2077.61	5302.08	15834.03	5171483.99	70669.65	487.13	18848.97	17434.64	479.00	245071.50	179.45	1275.91	8394.84
1695	249.08	7549308.55	8528.62	237.91	207.04	2213.51	9892.56	20778.48	6011922.45	97128.82	626.30	38810.86	29439.10	875.34	410585.62	300.80	1731.42	10597.43
1690	253.22	8071170.51	10743.59	186.93	205.25	2355.13	7783.13	21622.69	5979509.04	104529.15	621.38	24622.74	33752.33	1025.20	319971.44	319.42	1331.65	10859.51
1685	202.70	3250128.17	3113.70	76.23	121.06	1244.76	3226.21	11466.80	2144044.58	82529.59	344.34	12476.22	11041.15	299.76	154574.98	124.00	591.74	4115.61
1680	325.64	8705011.39	11613.00	207.47	271.17	3670.56	5362.06	28265.63	6839948.37	199926.14	549.37	22746.39	28985.09	914.04	421220.57	255.91	1134.84	12081.10
1675	220.46	4084500.89	6211.52	139.79	143.07	1905.87	4658.81	17385.69	3861609.38	101877.71	546.71	11927.05	12106.43	595.70	204352.16	125.71	802.61	6760.94
1670	184.69	6893075.28	8419.14	190.77	228.20	2103.54	9270.84	21365.32	5620480.16	79155.78	662.99	16262.42	21189.32	665.47	317728.44	198.08	1280.05	11535.09
1665	260.68	9687819.05	5451.72	202.50	178.84	1126.54	10055.65	20982.43	3059823.30	46590.75	461.38	17916.70	36701.97	725.92	254411.71	325.33	728.51	6764.80
1660	276.78	11529500.80	9073.22	142.67	163.79	2327.59	6378.30	19438.72	5398784.20	235046.81	521.72	12530.68	26417.56	564.00	326320.26	220.62	1348.12	8172.93
1655	132.81	4295045.76	5601.75	58.57	100.01	1496.62	3952.06	11312.32	2849490.93	52871.73	317.39	7280.04	8451.85	294.80	196035.85	83.34	525.52	6113.36
1650	164.73	6190661.98	9477.51	147.32	235.77	2035.54	4635.62	13614.46	5051587.86	78803.45	512.32	12881.07	21292.80	590.41	278791.47	187.53	1503.17	8755.85
1645	44.71	1471825.32	2094.18	47.84	42.90	1321.48	1482.33	4640.63	995829.93	23472.48	161.49	3309.66	5195.25	255.45	63064.41	48.02	321.56	2008.27
1640	206.64	18865361.51	9249.46	153.70	246.30	2612.93	6207.44	24790.72	5923265.11	129059.38	597.57	16515.23	68687.13	657.46	437568.45	482.06	2195.90	10837.07
1635	198.94	28783175.89	14041.62	213.41	199.19	4218.85	13199.04	29553.67	11543509.91	235327.79	881.23	18910.58	71122.96	808.46	759951.91	550.60	2811.93	21693.13
1630	85.85	8862985.08	6726.86	77.84	94.75	1188.16	4792.25	16646.12	2732310.57	68723.78	351.44	7454.21	14592.96	375.60	224240.12	114.63	574.48	5824.30
1625	59.75	10478124.53	8660.85	179.36	92.93	3588.11	10873.67	28778.41	6456986.26	191625.54	503.74	10021.41	22045.82	626.91	600950.61	176.63	953.05	19690.16
