QUELCCAYA 1977 PARTICLE SIZES PART B

REFERENCES:

Thompson, L.G., E. Mosley-Thompson, P. Grootes, and M. Pourchet. 1984. Tropical glaciers: potential for paleoclimatic reconstruction. Journal of Geophysical Research, 89 (D3), 4638-4646.

Thompson, L.G., E. Mosley-Thompson and Benjamin Morales Arnao. 1984. Major El Niño/Southern Oscillation events recorded in stratigraphy of the tropical Quelccaya Ice Cap. Science, 226 (4670), 50-52.

 Thompson, L. G., E. Mosley-Thompson, J. F. Bolzan and B. R. Koci. 1985. A 1500 year record of tropical precipitation recorded in ice cores from the Quelccaya Ice Cap, Peru. Science, 229(4717), 971-973

Thompson, L.G. and E. Mosley-Thompson. 1987. Evidence of abrupt climatic change during the last 1,500 years recorded in ice cores from the tropical Quelccaya ice cap, Peru. Abrupt Climatic Change - Evidence and Implications, NATO/NSF Workshop volume. D. Reidel Publishing Co., 99-110

Shimada, I., C.B. Schaaf, L.G. Thompson and E. Mosley-Thompson. 1991. Cultural impacts of severe droughts in the prehistoric Andes: Application of a 1,500-year ice core precipitation record. World Archaeology: Archaeology and Arid Environment, 22(3), 247-270. 

Brecher, H.H. and Thompson, L.G. 1993. Measurement of the retreat of Qori Kalis in the tropical Andes of Peru by Terrestrial Photogrammertry. Photogrammetric Engineering and Remote Sensing, 59(6), 1017-1022

Thompson, L.G., M.E. Davis and E. Mosley-Thompson. 1994. Glacial records of global climate: A 1500-year tropical ice core record of climate. Human Ecology, 22(1), 83-95.

DATA DESCRIPTION:


# FILE: quel77b.dat
# Please read the file "README: Quelccaya Snow Pit Data"
# for information on column headings

DATA:

91577	12	24	1.65	8	4	7	2	5	3	1	0	0	5499	2082	700
91577	12	25	1.72	7	10	0	3	2	2	0	1	11	7687	4620	1678
91577	12	26	1.8	8	4	5	2	2	2	3	1	2	18379	11850	5435
91577	12	27	1.87	7	6	3	4	2	0	1	1	9	27934	16888	8179
91577	12	28	1.97	10	2	4	1	0	1	0	2	3	19930	12523	4780
91577	12	29	2.04	7	21	2	5	5	5	9	5	5	33035	16034	5505
91577	12	30	2.12	8	19	5	1	4	0	3	2	0	117783	75025	35865
91577	12	31	2.18	6	25	9	2	0	0	0	0	0	85763	34602	10524
91677	13	1	0.05	5	14	5	6	1	1	0	0	1	17506	14547	6556
91677	13	2	0.15	10	120	106	73	28	25	27	14	14	135574	77121	28433
91677	13	3	0.25	10	12	6	6	0	0	0	0	0	104264	55608	19887
91677	13	4	0.35	10	44	11	3	0	0	0	1	0	21664	15350	7552
91677	13	5	0.45	10	2	0	0	0	0	0	0	1	27100	17105	5893
91677	13	6	0.55	10	12	8	7	2	2	0	0	0	2020	1150	659
91677	13	7	0.65	10	16	9	2	1	1	0	0	0	5504	3892	2687
91677	13	8	0.75	10	9	3	1	0	0	0	0	0	3808	2667	1718
91677	13	9	0.85	10	6	5	2	1	0	0	0	0	862	384	244
91677	13	10	0.95	10	15	4	1	1	0	0	0	0	2041	1446	981
91677	13	11	1.05	10	20	8	1	0	0	1	0	0	30754	17738	7932
91677	13	12	1.15	10	7	7	1	0	0	1	0	0	81598	38720	11297
91677	13	13	1.25	10	2	0	2	0	0	0	0	0	3092	1973	1327
