# Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17418
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2015elem5yravgflux.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-09
#--------------------
# Title
#	Study_Name: Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#--------------------
# Investigators
# 	Investigators: Uglietti, C; Gabrielli, P; Cooke, C.A.; Vallelonga, P; Thompson, L.G.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from ice cores collected on the North Dome of the Quelccaya Ice Cap, Peru. 
#	5-year median/average concentration, enrichment factor and flux of trace elements for the Quelccaya 
#	North Dome (QND) ice core from 795 to 1990 AD. Concentrations, fluxes and enrichment factors of 
#	Ag, Al, As, Bi, Cd, Co, Cr, Cu, Fe, Mn, Mo, Pb, Rb, Sb, Ti, Tl, U and V are included. 
#
#	Raw concentration data are at annual or decadal resolution for the past 1200 years and are based on freshly 
#	cut ice samples. Included are 5 years average and median concentration, enrichment factor (EFc) and flux 
#	of trace elements for the Quelccaya North Dome core from  795 to 1990 AD; 5 years average/median concentrations 
#	and EFc are calculated as average/median of the individual sample values 5 years average/median fluxes 
#	are calculated as average/median of annual fluxes that are obtained by using reconstructed annual snow 
#	accumulation and average annual trace element concentration. Raw concentration data will be released after 
#	the planned successive publication of the detailed trace element records or within 5 years from the publication 
#	of the 2015 PNAS trace element paper.  Time scale is from Thompson et al. (2013) Science, vol. 340, 6135, 945-950. 
#	The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
#	Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
#	isotopic record to that of the Quelccaya Summit Dome core.
#
#--------------------
# Publication 
# 	Authors: Chiara Uglietti, Paolo Gabrielli, Colin A. Cooke, Paul Vallelonga, and Lonnie G. Thompson
#	Published_Date_or_Year: 2015-02-09 
#	Published_Title: Widespread pollution of the South American atmosphere predates the industrial revolution by 240 y
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages: 
#	DOI: 10.1073/pnas.1421119112
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: In the Southern Hemisphere, evidence for preindustrial atmospheric pollution is restricted to a few geological archives of low temporal resolution that record trace element deposition originating from past mining and metallurgical operations in South America. Therefore, the timing and the spatial impact of these activities on the past atmosphere remain poorly constrained. Here we present an annually resolved ice core record (A.D. 793-1989) from the high-altitude drilling site of Quelccaya (Peru) that archives preindustrial and industrial variations in trace elements. During the precolonial period (i.e., pre-A.D. 1532), the deposition of trace elements was mainly dominated by the fallout of aeolian dust and of ash from occasional volcanic eruptions, indicating that metallurgic production during the Inca Empire (A.D. 1438-1532) had a negligible impact on the South American atmosphere. In contrast, a widespread anthropogenic signal is evident after around A.D. 1540, which corresponds with the beginning of colonial mining and metallurgy in Peru and Bolivia, ~240 y before the Industrial Revolution. This shift was due to a major technological transition for silver extraction in South America (A.D. 1572), from lead-based smelting to mercury amalgamation, which precipitated a massive increase in mining activities. However, deposition of toxic trace metals during the Colonial era was still several factors lower than 20th century pollution that was unprecedented over the entirety of human history.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ATM-0318430, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Quelccaya North Dome Ice Core
#	Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.91379
#	Southernmost_Latitude: -13.91379
#	Easternmost_Longitude: -70.80607
#	Westernmost_Longitude: -70.80607
#	Elevation: 5600 m  
#------------------
# Data_Collection   
#	Collection_Name: Quelccaya2015elem5YrAvgFlux
#	Earliest_Year: 795
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 128.49 m 
#	Notes: 
#------------------
# Chronology: 
#
# The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
# Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
# isotopic record to that of the Quelccaya Summit Dome core.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , year AD, , , First thermal year (AD) after the five-years period considered, ,N
##Ag.flux	Silver average flux, , , pg/cm2/yr, , , , ,N
##Al.flux	Aluminum average flux, , , pg/cm2/yr, , , , ,N
##As.flux	Arsenic average flux, , , pg/cm2/yr, , , , ,N
##Bi.flux	Bismuth average flux, , , pg/cm2/yr, , , , ,N
##Cd.flux	Cadmium average flux, , , pg/cm2/yr, , , , ,N
##Co.flux	Cobalt average flux, , , pg/cm2/yr, , , , ,N
##Cr.flux	Chromium average flux, , , pg/cm2/yr, , , , ,N
##Cu.flux	Copper average flux, , , pg/cm2/yr, , , , ,N
##Fe.flux	Iron average flux, , , pg/cm2/yr, , , , ,N
##Mn.flux	Manganese average flux, , , pg/cm2/yr, , , , ,N
##Mo.flux	Aluminum average flux, , , pg/cm2/yr, , , , ,N
##Pb.flux	Lead average flux, , , pg/cm2/yr, , , , ,N
##Rb.flux	Rubidium average flux, , , pg/cm2/yr, , , , ,N
##Sb.flux	Antimony average flux, , , pg/cm2/yr, , , , ,N
##Ti.flux	Titanium average flux, , , pg/cm2/yr, , , , ,N
##Tl.flux	Thalliumv, , , pg/cm2/yr, , , , ,N
##U.flux	Uranium average flux, , , pg/cm2/yr, , , , ,N
##V.flux	Vanadium average flux, , , pg/cm2/yr, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Quelccaya 2003 North Dome core 5-years average flux from 795 AD to 1990 AD 
#
age_AD	Ag.flux	Al.flux	As.flux	Bi.flux	Cd.flux	Co.flux	Cr.flux	Cu.flux	Fe.flux	Mn.flux	Mo.flux	Pb.flux	Rb.flux	Sb.flux	Ti.flux	Tl.flux	U.flux	V.flux
1810	132.28	5736594.25	8034.22	104.27	139.78	2247.54	11913.16	11701.61	4139358.24	148988.11	385.18	11994.22	15227.69	701.12	255385.40	170.29	824.49	7934.17
1805	108.23	2408574.66	5220.95	86.20	62.61	903.50	2422.17	6234.02	2184326.90	46434.35	278.49	9668.35	8525.36	523.74	125076.82	128.89	555.81	4358.73
1800	166.12	3387453.50	7891.56	228.60	55.86	1170.45	3586.81	8612.42	3439847.33	57749.62	434.54	15019.02	15998.59	848.21	181319.96	217.34	728.72	5742.42
1795	299.90	7838957.95	12827.66	479.93	107.08	2242.73	6024.07	18689.47	7884013.15	133614.77	903.78	25188.45	30837.41	1712.82	463994.73	403.20	1022.44	12937.74
1790	369.36	3774364.49	9413.46	295.20	178.50	1060.53	5238.25	16135.16	4357236.58	41826.20	579.49	22544.19	17592.10	1485.46	225655.12	227.60	716.83	5687.11
1785	125.95	3400345.04	7278.83	90.54	138.22	1503.48	4332.82	11720.63	2995371.21	97558.99	290.33	12314.14	12098.85	622.10	170301.51	349.59	1306.00	6391.16
1780	139.53	3493551.63	4485.18	115.33	86.67	1410.79	3514.56	9878.26	2547273.35	75412.17	296.79	11772.37	12648.31	692.65	176620.44	167.96	657.57	5679.54
1775	251.74	4133999.28	4832.93	156.52	152.74	1704.88	3938.05	15163.00	3477531.46	128086.57	337.42	13669.31	11977.81	803.74	173781.01	131.10	863.88	6572.89
1770	157.10	5262373.14	5170.15	134.78	145.18	1876.12	17186.94	29919.12	5042875.93	90917.68	385.42	13031.34	16675.79	922.00	250917.67	165.60	1023.96	8479.64
1765	134.57	4734903.01	4210.86	156.28	193.79	2655.71	3752.82	14191.86	4310211.17	135927.94	317.30	22641.84	15878.47	789.15	227273.38	159.92	810.71	7577.43
1760	103.67	5613158.06	6201.80	159.73	174.71	3051.04	4537.42	9560.26	3578259.90	428622.71	406.75	12451.10	14784.40	840.67	177909.79	185.23	823.08	6699.14
1755	114.40	5073265.34	4031.04	115.72	174.65	1908.99	6070.47	10323.36	3135393.66	126811.55	295.63	9833.05	12763.91	720.19	184762.85	124.07	624.73	6592.56
1750	95.62	2970817.80	3126.53	76.85	91.14	1021.92	2830.32	8142.09	1919995.25	42621.12	205.80	7536.30	9014.29	404.55	113791.19	86.63	432.71	3886.97
1745	118.06	2468009.44	6730.39	80.13	67.11	845.80	2414.39	8893.94	2159644.95	43400.56	262.33	8856.80	10931.17	601.12	122223.33	103.80	555.67	4710.14
1740	113.06	1687577.85	2927.87	49.70	58.39	637.83	2051.65	7238.27	1144710.61	28234.44	165.33	6158.79	6465.01	316.69	79741.61	61.24	325.69	2698.78
1735	99.65	3635945.85	3955.37	151.08	96.02	1436.88	3219.94	8191.03	2661145.18	56002.26	331.58	10182.95	16239.84	602.45	163386.70	102.24	518.97	4962.48
1730	90.13	5053658.49	6085.78	167.32	97.82	2255.44	4210.96	9228.45	4006205.11	92840.94	472.80	14162.38	24414.55	1224.26	233254.38	183.27	1014.84	6891.90
1725	147.74	6634960.00	8103.42	200.30	77.87	2157.28	7174.66	13523.04	6112622.00	86417.60	528.03	25630.02	30065.52	1598.31	333181.67	244.26	1659.98	12318.19
1720	352.92	4225947.42	5212.10	157.34	210.79	1559.08	6855.20	19710.35	3092838.04	62817.24	391.06	16132.46	18090.35	1096.72	193488.08	160.67	933.85	6494.03
1715	216.69	6763004.28	7889.13	246.16	208.85	2714.59	6813.88	20726.21	6416139.37	116963.96	593.25	29993.63	37294.39	1662.88	447790.17	316.39	2185.09	11436.65
1710	263.62	6746431.80	11007.60	327.67	316.62	1945.17	7570.93	31165.12	6016882.65	79119.74	640.05	35596.64	19520.88	2157.63	318956.43	201.28	1458.59	11805.46
1705	258.56	6731722.23	8371.75	213.67	394.66	2223.59	7678.83	32950.28	6315323.59	97388.55	511.93	22173.23	21501.22	951.36	351366.18	200.80	1189.30	10802.55
1700	179.84	6051270.53	7629.44	163.57	149.05	2203.17	6345.98	18585.70	5429915.48	80204.85	596.40	22199.48	18378.19	661.02	266270.80	182.41	1203.64	9333.10
1695	257.93	7050415.82	9275.83	271.76	238.45	2169.05	21686.91	19107.55	5663926.59	100318.85	790.95	32898.35	31133.42	1021.27	346412.71	301.94	1484.20	9664.29
1690	377.12	11274555.31	11732.66	245.97	212.31	3181.58	9358.94	24413.56	8238542.51	146002.26	764.16	31070.86	40135.65	1287.94	481441.19	383.96	1822.46	14751.77
1685	330.37	8144861.22	6825.93	252.21	172.50	2565.47	5437.46	16295.96	5285776.37	178943.85	475.80	18395.15	27649.96	875.90	323106.58	259.34	1345.87	9322.71
1680	313.66	8358749.63	10833.25	220.19	325.49	3231.38	7384.08	26115.49	7009288.63	196208.72	658.65	21013.47	29846.96	943.16	402184.84	270.02	1324.85	11888.83
1675	255.28	4036932.71	5883.35	187.52	196.31	1761.04	3934.95	23606.00	3574203.32	119210.69	535.23	10206.45	12484.69	634.62	197767.19	130.78	794.13	6333.45
1670	240.13	7719175.37	6532.43	154.54	301.93	1571.55	11221.54	26914.03	4363419.38	59020.26	560.53	17829.61	21221.04	695.99	260053.07	193.29	1329.39	8356.19
1665	474.86	11243321.29	6865.93	186.67	174.43	1462.67	10566.25	20529.34	4110000.44	59067.35	530.42	16102.38	35091.52	750.47	275210.41	287.24	1192.86	7795.29
1660	508.88	14291104.74	12212.50	590.48	823.69	6683.82	7812.54	27844.83	5956269.57	896462.25	857.53	17768.05	44293.02	1151.35	336371.11	401.05	1841.31	10490.02
1655	158.59	5543077.23	5638.67	99.25	132.57	2085.79	19643.08	15067.81	4315968.63	81043.45	508.58	9993.53	15944.89	441.83	251066.88	144.35	1062.30	7771.16
1650	177.30	8936405.59	11293.89	201.77	191.60	4357.30	6201.06	21873.36	7377322.77	163407.93	691.21	18916.00	31795.49	848.49	406655.54	279.41	2209.50	12823.00
1645	98.63	3189815.00	4634.70	66.26	85.86	1599.86	2246.30	9603.67	2070757.23	70816.38	304.25	7338.88	8262.41	586.29	143484.69	77.73	527.43	4304.21
1640	236.76	24235457.56	12058.80	229.69	248.79	3683.03	9083.11	30005.35	9147822.19	200513.15	843.42	25202.16	63308.54	996.94	627704.03	494.02	2188.02	17087.32
1635	243.71	29460060.83	14587.91	370.24	220.26	4715.61	13175.26	34840.35	12157668.45	271379.22	1053.20	25538.79	74095.91	1257.82	830949.49	581.94	2447.90	23069.68
