# Alto dell'Ortles Glacier Ice Core Age Models
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20367 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/ortles/ortles2016beta.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Parameter_Keywords: age control 
#--------------------
# Contribution_Date
#	Date: 2016-11-17
#--------------------
# Title
#	Study_Name: Alto dell'Ortles Glacier Ice Core Age Models
#--------------------
# Investigators
# 	Investigators: Gabrielli, P. 
#--------------------
# Description_and_Notes
#	Description: Age Models and supporting information for the Alto dell'Ortles ice cores in the Tyrolean Alps, Italy. 
# 
#--------------------
# Publication 
#	Authors: Paolo Gabrielli, Carlo Barbante, Giuliano Bertagna, Michele Bertó, Daniel Binder, Alberto Carton, Luca Carturan, Federico Cazorzi, Giulio Cozzi, Giancarlo Dalla Fontana, Mary Davis, Fabrizio De Blasi, Roberto Dinale, Gianfranco Dragà, Giuliano Dreossi, Daniela Festi, Massimo Frezzotti, Jacopo Gabrieli, Stephan P. Galos, Patrick Ginot, Petra Heidenwolf, Theo M. Jenk, Natalie Kehrwald, Donald Kenny, Olivier Magand, Volkmar Mair, Vladimir Mikhalenko, Ping Nan Lin, Klaus Oeggl, Gianni Piffer, Mirko Rinaldi, Ulrich Schotterer, Margit Schwikowski, Roberto Seppi, Andrea Spolaor, Barbara Stenni, David Tonidandel, Chiara Uglietti, Victor Zagorodnov, Thomas Zanoner, and Piero Zennaro 
#	Published_Date_or_Year: 2016-11-17
#	Published_Title: Age of the Mt. Ortles ice cores, the Tyrolean Iceman and glaciation of the highest summit of South Tyrol since the Northern Hemisphere Climatic Optimum 
#	Journal_Name: The Cryosphere 
#	Volume: 10
#	Edition: 
#	Issue: 6
#	Pages: 2779-2797
#	Report_Number: 
#	DOI: 10.5194/tc-10-2779-2016
#	Online_Resource: http://www.the-cryosphere.net/10/2779/2016/
#	Full_Citation:  
#	Abstract: In 2011 four ice cores were extracted from the summit of Alto dell'Ortles (3859 m), the highest glacier of South Tyrol in the Italian Alps. This drilling site is located only 37 km southwest from where the Tyrolean Iceman, ~5.3 kyrs old, was discovered emerging from the ablating ice field of Tisenjoch (3210 m, near the Italian-Austrian border) in 1991. The excellent preservation of this mummy suggested that the Tyrolean Iceman was continuously embedded in prehistoric ice and that additional ancient ice was likely preserved elsewhere in South Tyrol. Dating of the ice cores from Alto dell'Ortles based on 210Pb, tritium, beta activity and 14C determinations, combined with an empirical model (COPRA), provides evidence for a chronologically ordered ice stratigraphy from the modern glacier surface down to the bottom ice layers with an age of ~7 kyrs, which confirms the hypothesis. Our results indicate that the drilling site has continuously been glaciated on frozen bedrock since ~7 kyrs BP. Absence of older ice on the highest glacier of South Tyrol is consistent with the removal of basal ice from bedrock during the Northern Hemisphere Climatic Optimum (6-9 kyrs BP), the warmest interval in the European Alps during the Holocene. Borehole inclinometric measurements of the current glacier flow combined with surface ground penetration radar (GPR) measurements indicate that, due to the sustained atmospheric warming since the 1980s, an acceleration of the glacier Alto dell'Ortles flow has just recently begun. Given the stratigraphic-chronological continuity of the Mt. Ortles cores over millennia, it can be argued that this behaviour has been unprecedented at this location since the Northern Hemisphere Climatic Optimum.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1060115, 1461422
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ripartizione Protezione antincendi e civile of the autonomous province of Bolzano
#	Grant: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ripartizione Opere idrauliche e Ripartizione Foreste of the autonomous province of Bolzano and the Stelvio National Park
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Alto dell'Ortles
#	Location: Europe>Southern Europe>Italy
#	Country: Italy
#	Northernmost_Latitude: 46.5089
#	Southernmost_Latitude: 46.5089
#	Easternmost_Longitude: 10.545
#	Westernmost_Longitude: 10.545
#	Elevation: 3859 m  
#------------------
# Data_Collection   
#	Collection_Name: Ortles2016Beta
#	Earliest_Year: 16895
#	Most_Recent_Year: 0
#	Time_Unit: Cal. Year BP
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
# Tie Points:
# Ortles core #1	Ortles core #2
# Depth (m)	Depth (m)
# 0.40	0.80
# 2.74	3.13
# 6.73	7.24
# 11.89	12.61
# 14.55	15.37
# 25.70	25.17
# 30.77	31.45
# 37.90	38.70
# 46.94	47.53
# 51.02	51.92
# 53.42	54.24
# 55.23	55.98
# 58.36	59.12
# 64.26	64.32
# 67.78	67.42
# 72.03	71.70
# 73.53	73.53
# 	
# Ortles core #3	Ortles Core #2
# Depth (m)	Depth (m)
# 0.80	0.80
# 3.13	3.13
# 7.08	7.26
# 9.72	10.71
# 11.68	12.60
# 14.15	15.40
# 17.80	19.21
# 25.84	25.16
# 35.63	35.95
# 42.20	41.14
# 52.79	53.87
# 57.80	58.80
# 63.59	64.32
# 74.83	74.87
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## core	Ortles core number, , , , , , , ,C
## depth_m	depth, , , m, , , , ,N
## beta	beta particles, , , dpm/kg, , , , ,N
## betasd	beta particles standard deviation, , , dpm/kg, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Figure 8 Beta emissions Ortles Cores 2,3 
#
core	depth_m	beta	betasd
Core 2	0.65	408	76
Core 2	1.35	353	72
Core 2	2.05	271	44
Core 2	2.75	815	39
Core 2	3.47	615	88
Core 2	4.16	89	8
Core 2	4.86	29	67
Core 2	5.56	484	46
Core 2	6.22	309	57
Core 2	6.91	138	45
Core 2	7.61	225	113
Core 2	8.31	192	73
Core 2	9.01	143	14
Core 2	9.71	315	100
Core 2	10.39	172	86
Core 2	11.09	354	193
Core 2	11.75	336	29
Core 2	12.45	129	56
Core 2	13.15	308	82
Core 2	13.85	267	86
Core 2	14.55	92	11
Core 2	15.25	304	19
Core 2	15.94	155	43
Core 2	16.64	42	20
Core 2	17.34	105	82
Core 2	18.04	213	25
Core 2	18.74	118	27
Core 2	19.44	247	17
Core 2	20.14	55	30
Core 2	20.85	177	32
Core 2	21.55	93	20
Core 2	22.25	129	30
Core 2	22.95	70	15
Core 2	23.65	120	13
Core 2	24.35	158	48
Core 2	25.05	195	76
Core 2	25.78	68	20
Core 2	26.45	434	136
Core 2	27.19	758	511
Core 2	27.88	298	110
Core 2	28.58	183	29
Core 2	29.29	208	54
Core 2	29.98	101	10
Core 2	34.95	56	16
Core 2	37.74	74	21
Core 2	38.45	83	13
Core 2	39.15	59	34
Core 2	39.87	270	4
Core 2	40.58	717	77
Core 2	41.27	784	77
Core 2	41.92	263	14
Core 2	42.63	228	81
Core 2	43.33	249	13
Core 2	44.04	414	60
Core 2	44.74	256	9
Core 2	45.42	116	34
Core 2	49.56	50	14
Core 2	55.18	31	21
Core 2	59.38	40	3
Core 2	64.16	42	13
Core 2	73.86	22	28
Core 3	2.05	288	129
Core 3	4.13	355	98
Core 3	5.53	412	108
Core 3	7.62	257	7
Core 3	9.05	301	74
Core 3	10.45	176	58
Core 3	11.84	221	62
Core 3	13.22	32	
Core 3	14.59	230	18
Core 3	16.00	96	40
Core 3	17.43	205	32
Core 3	18.82	192	42
Core 3	20.19	172	21
Core 3	21.59	94	35
Core 3	22.99	132	18
Core 3	26.50	156	35
Core 3	29.96	281	78
Core 3	32.75	127	28
Core 3	36.56	147	71
Core 3	38.40	114	28
Core 3	41.20	169	24
Core 3	44.00	228	31
Core 3	46.83	127	65
Core 3	49.66	24	26
Core 3	52.55	31	11
Core 3	56.02	3	26
Core 3	59.54	133	49
Core 3	62.37	34	12
Core 3	65.22	70	160
Core 3	68.03	33	50
Core 3	70.87	70	76
Core 3	73.73	37	52
Core 3	74.83	34	30
