"Year";"PAGES2013method_NB_infilled_posr_Whole-Antarctica Recon";"2SE";"PAGES2013method_NB_infilled_posr_Whole-Antarctica Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
0;-0.646509216013862;2.06687535214534;NA;0.424362078386554;-0.797047401101616;-0.779536943303876;-1.9829785428373;-1.38125774307059
1;0.0990042768331844;1.82158772431373;NA;0.384029508295138;-0.350665455946697;-0.0503925536852026;-0.477935362593145;-0.264163958139174
2;0.305611979622693;1.79104343521513;NA;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
3;0.561933560870613;1.79104343521513;NA;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
4;0.585291049682575;1.79104343521513;0.38292126534063;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
5;0.697422526905932;1.79104343521513;0.514189135752777;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
6;0.560932081512323;1.79104343521513;0.567406778280028;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
7;0.480090847329262;1.79104343521513;0.582340407692298;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
8;0.493737707735451;1.79104343521513;0.529693146470257;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
9;0.691697838928128;1.79104343521513;0.479458076219505;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
10;0.666169488107607;1.79104343521513;0.449740499907368;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
11;0.631180702105697;1.79104343521513;0.45440449917818;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
12;0.45494827374539;1.79104343521513;0.473170922498747;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
13;0.035460948650209;1.79104343521513;0.493255959260016;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
14;0.082940347175046;1.79104343521513;0.506679065162084;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
15;0.400246763784569;1.79104343521513;0.531338060130784;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
16;0.60757207422044;1.79104343521513;0.528871560356405;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
17;0.667755080534936;1.79104343521513;0.500020055576478;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
18;0.694588075348136;1.79104343521513;0.531962808970479;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
19;0.825928897948812;1.79104343521513;0.579081866578886;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
20;0.912759437794607;1.79104343521513;0.613595789215432;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
21;0.606515704361908;1.79104343521513;0.643960519634736;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
22;0.166433225946119;1.79104343521513;0.673841739251167;0.407778609815808;-0.238048277861654;0.0838092579393538;-0.17409207718122;-0.045141409620933
