"Year";"PAGES2013method_NB_infilled_posr_Plateau Recon";"2SE";"PAGES2013method_NB_infilled_posr_Plateau Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
944;0.306481063721607;1.6936737948719;0.282371408850018;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
945;0.345551652015938;1.6936737948719;0.233196609016879;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
946;0.353420396363153;1.6936737948719;0.190804277275747;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
947;0.296863116109598;1.6936737948719;0.142223212075147;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
948;0.123678327351391;1.6936737948719;0.0904755668192706;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
949;0.00963167958207665;1.6936737948719;0.0469467616368787;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
950;-0.0187312939127713;1.6936737948719;0.019094302773508;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
951;-0.0840452085883548;1.6936737948719;0.0157168546456097;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
952;-0.185154921116928;1.6936737948719;0.0434308883158654;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
953;-0.242939143333003;1.6936737948719;0.0955156717504934;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
954;-0.128806988102312;1.6936737948719;0.16108817675297;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
955;0.0670270633822315;1.6936737948719;0.1990123642133;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
