"Year";"PAGES2013method_NB_infilled_posr_WAIS Recon";"2SE";"PAGES2013method_NB_infilled_posr_WAIS Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
540;1.36808018614377;1.89338133860228;1.16093151617381;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
541;1.24631151864322;1.89338133860228;1.20645424451582;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
542;0.924505288301862;1.89338133860228;1.29083471119221;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
543;1.02826531601087;1.89338133860228;1.30044299394395;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
544;0.965037060591146;1.89338133860228;1.2088798123812;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
545;1.31790021290522;1.89338133860228;1.12901207272535;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
546;1.5566005474934;1.89338133860228;1.06964104423837;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
547;1.51673391345114;1.89338133860228;1.0336729910061;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
548;1.21546252569275;1.89338133860228;0.99647173300824;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
549;0.94990155457859;1.89338133860228;0.943402507421832;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
550;0.569402789585272;1.89338133860228;0.823646302404827;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
551;0.652601233773411;1.89338133860228;0.700886930192119;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
552;0.564824755979228;1.89338133860228;0.597950896762524;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
553;0.656252736032242;1.89338133860228;0.578680226964646;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
554;0.43434480472706;1.89338133860228;0.668775358489363;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
555;0.12033816273518;1.89338133860228;0.729464225635105;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
556;0.329006825366314;1.89338133860228;0.711549282167152;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
557;0.487373579155188;1.89338133860228;0.707773662211155;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
558;1.02275582771397;1.89338133860228;0.714837204728252;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
559;1.85085286982576;1.89338133860228;0.789606260990188;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
560;1.17629146104269;1.89338133860228;0.92394972960674;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
561;0.47345179909388;1.89338133860228;1.02127740375158;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
562;0.527068556419258;1.89338133860228;1.05220683301398;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
563;0.726888161203212;1.89338133860228;1.02596458057843;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
564;1.18203536734643;1.89338133860228;0.858727785679432;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
565;1.46377284890069;1.89338133860228;0.739809454039057;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
566;1.30228356681473;1.89338133860228;0.695537299498549;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
567;0.796667871779227;1.89338133860228;0.656683419313325;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
568;0.760333303358404;1.89338133860228;0.577711805479608;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
569;0.178484920835796;1.89338133860228;0.498158274869796;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
570;-0.0128918553610525;1.89338133860228;0.452512639041737;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
571;0.0307302536888013;1.89338133860228;0.385930463785679;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
572;0.138529754567019;1.89338133860228;0.368613387416035;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
573;-0.0628279771339597;1.89338133860228;0.338052858800629;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
574;0.386500061248308;1.89338133860228;0.334576469947252;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
575;1.0073164906201;1.89338133860228;0.413915612513079;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
576;0.636461814254144;1.89338133860228;0.541086367926924;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
577;0.623497108082788;1.89338133860228;0.64701771296626;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
578;0.454728017204345;1.89338133860228;0.778197837953868;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
579;0.143721032302021;1.89338133860228;0.880255546532151;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
580;0.780499570297218;1.89338133860228;0.943310360434277;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
581;1.30243780782726;1.89338133860228;1.02845471203899;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
582;1.19784320496038;1.89338133860228;1.02730325492574;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
583;1.24897327274212;1.89338133860228;1.01811746304466;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
584;1.40707714703113;1.89338133860228;1.06461371366049;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
585;1.63786462964136;1.89338133860228;1.09389027474976;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
586;1.48790533030123;1.89338133860228;1.05177478132964;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
587;0.611982536950309;1.89338133860228;1.04936747458604;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
588;0.362870098393607;1.89338133860228;1.05476951889488;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
589;0.608683538460325;1.89338133860228;1.09932791012627;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
590;1.07326518118989;1.89338133860228;1.15012855944665;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
591;0.881282873626079;1.89338133860228;1.25518714042755;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
592;1.17377013752433;1.89338133860228;1.41792644665794;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
593;1.30299371583051;1.89338133860228;1.57345829327325;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
594;1.85266105934504;1.89338133860228;1.67016003578805;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
595;2.14587112284515;1.89338133860228;1.73832431785455;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
596;2.53849114011025;1.89338133860228;1.84164012736567;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
597;2.2393755992542;1.89338133860228;1.91544230506202;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
598;1.91818856454672;1.89338133860228;1.95061571689738;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
599;1.57570096360835;1.89338133860228;1.88536766900237;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
600;1.75490800185487;1.89338133860228;1.77187201152352;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
601;1.91444096873725;1.89338133860228;1.66558830734322;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
602;1.91179191448784;1.89338133860228;1.65698533846727;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
603;1.65472783418409;1.89338133860228;1.62092231011422;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
604;1.20018058039503;1.89338133860228;1.53651828002142;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
605;1.01091454805661;1.89338133860228;1.45850604422508;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
606;1.47565409830726;1.89338133860228;1.41373402166956;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
607;2.15334591049466;1.89338133860228;1.38168911592903;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
608;1.55755828101627;1.89338133860228;1.36420253286449;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
609;0.731660662680313;1.89338133860228;1.32436356954434;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
610;0.974785643891474;1.89338133860228;1.2816510705515;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
611;1.466720743182;1.89338133860228;1.19236061971064;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
612;1.59134285708262;1.89338133860228;1.09324151038941;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
613;1.47986200353866;1.89338133860228;1.09688322663785;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
614;0.801790947193493;1.89338133860228;1.21461095934672;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
615;0.583789558128248;1.89338133860228;1.33252280423049;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
616;0.582749589898632;1.89338133860228;1.39386061762711;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
617;1.16215481728242;1.89338133860228;1.41738363525983;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
618;1.59397544350067;1.89338133860228;1.40407102157972;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
619;1.90893798976901;1.89338133860228;1.42743222861849;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
620;2.15390409272913;1.89338133860228;1.44069276434715;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
621;2.0800988771482;1.89338133860228;1.38546552554164;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
622;1.82657303340988;1.89338133860228;1.31982698376483;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
623;1.34673586673755;1.89338133860228;1.2399782994468;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
624;1.03540301758119;1.89338133860228;1.10786933069804;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
625;0.716394915414808;1.89338133860228;0.898025194257264;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
626;0.030477201843505;1.89338133860228;0.764160987022756;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
627;0.505769399514305;1.89338133860228;0.6664877757055;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
628;0.795488600320434;1.89338133860228;0.596026029831928;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
629;0.587848302281424;1.89338133860228;0.524221389407825;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
630;0.0554627283213377;1.89338133860228;0.52956709921392;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
631;0.741456804803114;1.89338133860228;0.648073874833049;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
632;0.849840920237323;1.89338133860228;0.718012625253135;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
