"Year";"PAGES2013method_NB_infilled_posr_West-Antarctica Recon";"2SE";"PAGES2013method_NB_infilled_posr_West-Antarctica Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
207;0.403685297805209;1.55781118698986;0.994444099504675;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
208;0.307680256975148;1.55781118698986;0.977272091697777;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
209;0.252450825404433;1.55781118698986;0.930897357681574;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
210;0.603146009852632;1.55781118698986;0.882654378601361;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
211;1.4068966652439;1.55781118698986;0.914582662616578;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
212;1.39660207182373;1.55781118698986;0.996766101479463;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
213;1.53976924946201;1.55781118698986;1.10207667871947;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
214;1.2099357163998;1.55781118698986;1.23971336350559;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
215;0.894227848436785;1.55781118698986;1.31826036560786;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
216;1.13143268476214;1.55781118698986;1.2898477072174;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
217;1.22551968643406;1.55781118698986;1.27624143927835;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
218;1.36078602937526;1.55781118698986;1.25673178378158;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
219;1.62881767326561;1.55781118698986;1.26529953021618;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
220;1.38861603087531;1.55781118698986;1.31956949760392;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
221;1.12277008133926;1.55781118698986;1.32002619742774;0.525737008392243;-0.185879267677213;-0.693564845506187;0.0819646418325255;-0.305800101836831
