"Year";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon";"2SE";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1152;0.0392621045858175;1.1711572308284;0.343189023152137;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1153;0.801555679562431;1.1711572308284;0.350556868790715;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1154;0.593410965399389;1.1711572308284;0.312911307875819;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1155;0.260625428075615;1.1711572308284;0.334495351384256;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1156;0.294013697015164;1.1711572308284;0.372452289422311;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1157;0.00725796804263957;1.1711572308284;0.424361499200356;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1158;0.504572856996578;1.1711572308284;0.315104999874501;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1159;0.101780869730703;1.1711572308284;0.250581878065653;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1160;0.525869159728307;1.1711572308284;0.237611171932583;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1161;0.596174165086463;1.1711572308284;0.172346153966759;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1162;0.55835420236627;1.1711572308284;0.144144895992184;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1163;-0.291009313696118;1.1711572308284;0.0823989300750612;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1164;-0.0518202526890962;1.1711572308284;0.0722282646372929;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1165;0.130918366744916;1.1711572308284;-0.0198683444764146;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1166;-0.358636482643076;1.1711572308284;-0.0846466057404433;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1167;-0.274754611703108;1.1711572308284;-0.128085526408237;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1168;-0.112886802174649;1.1711572308284;-0.0254613002407666;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1169;7.42153530202035e-05;1.1711572308284;0.0548002205628561;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1170;-0.395096931408768;1.1711572308284;0.117774853249536;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1171;-0.0516084475538241;1.1711572308284;0.208613751326349;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1172;0.123964995688331;1.1711572308284;0.252348067465244;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1173;0.735232947978588;1.1711572308284;0.223531739311154;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1174;0.75079495534713;1.1711572308284;0.227565682055329;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1175;0.760664693611713;1.1711572308284;0.266337778872945;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1176;0.549752498125054;1.1711572308284;0.27717772261135;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1177;0.162588549685849;1.1711572308284;0.299321010974828;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1178;-0.401050083715549;1.1711572308284;0.259259935627692;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1179;0.0404136427947663;1.1711572308284;0.199951054692619;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1180;-0.00737596323260286;1.1711572308284;0.182638927216988;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1181;0.0567909898302231;1.1711572308284;0.173907961941675;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1182;0.345397879323113;1.1711572308284;0.149975281672681;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
