"Year";"PAGES2013method_NB_infilled_posr_Victoria-Land-Ross-Sea Recon";"2SE";"PAGES2013method_NB_infilled_posr_Victoria-Land-Ross-Sea Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1708;-0.995926837868333;2.20315672794724;-0.838070969141811;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1709;-1.09365153471193;2.20315672794724;-0.843184598168167;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1710;-0.496367985424619;2.20315672794724;-0.71839959359796;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1711;-0.691967022121137;2.20315672794724;-0.641079966964696;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1712;-0.286699306627887;2.20315672794724;-0.58422019385598;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1713;-0.567308453213499;2.20315672794724;-0.536566308220803;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1714;-0.888990284392851;2.20315672794724;-0.493231728010394;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1715;-0.218413726659995;2.20315672794724;-0.493106356292599;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1716;-0.326643167931783;2.20315672794724;-0.430976073834424;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1717;-0.276233619607768;2.20315672794724;-0.352271252585862;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1718;-0.51938798151656;2.20315672794724;-0.308354197295343;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1719;-0.660305732607842;2.20315672794724;-0.318909660284468;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1720;-0.495114268246667;2.20315672794724;-0.320151366361721;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
