# Dasuopu, China 500 Year Ice Core Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/28510 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/dasuopu/dasuopu2020elem.txt 
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: chemistry 
#--------------------
# Contribution_Date
#	Date: 2020-02-10
#--------------------
# File_Last_Modified_Date
#	Date: 2020-02-10
#--------------------
# Title
#	Study_Name: Dasuopu, China 500 Year Ice Core Trace Element Data 
#--------------------
# Investigators
#	Investigators: Gabrielli, P; Wegner, A.; Sierra-Hernandez, R.M.; Beaudon, E.; Davis, M.; Barker, J.D.; Thompson, L.G. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Trace element data from ice cores collected in Dasuopu, China. Raw concentration data are at annual or decadal resolution from Dasuopu 1997 core #3 for the past 500 years, and are based on freshly cut ice samples.
#	Included are also 10-year median concentrations, 10-year fluxes of trace elements, and 10-year median crustal enrichment factors (EFc).
#	10-year median concentrations and EFc are calculated from the individual corresponding sample values as computed in Beaudon et al. Sci. Total Environ. 601-602:1349-1363.
#	10 year fluxes are calculated in the ice (1499-1950 AD) as: 10-year median of annual fluxes. Annual fluxes are obtained by using reconstructed annual snow accumulation and average annual trace element concentrations from continous ice samples. 
#	10 year fluxes are calculated in firn (1950-1992 AD) using 10-year median of the reconstructed annual snow accumulation and 10 year-median of discrete trace element concentrations.
#	Time scale and reconstructed annual snow accumulation records are from Thompson et al. (2000) Science, 289, 1916-1919. 
#--------------------
# Publication 
#	Authors: Paolo Gabrielli, Anna Wegner, M. Roxana Sierra-Hernández, Emilie Beaudon, Mary Davis, Joel D. Barker, and Lonnie G. Thompson
#	Published_Date_or_Year: 2020-02-10    
#	Published_Title: Early atmospheric contamination on the top of the Himalayas since the onset of the European Industrial Revolution
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1073/pnas.1910485117
#	Online_Resource: https://www.pnas.org/content/early/2020/02/04/1910485117
#	Full_Citation: 
#	Abstract: Because few ice core records from the Himalayas exist, understanding of the onset and timing of the human impact on the atmosphere of the "roof of the world" remains poorly constrained. We report a continuous 500-y trace metal ice core record from the Dasuopu glacier (7,200 m, central Himalayas), the highest drilling site on Earth. We show that an early contamination from toxic trace metals, particularly Cd, Cr, Mo, Ni, Sb, and Zn, emerged at high elevation in the Himalayas at the onset of the European Industrial Revolution (~1780 AD). This was amplified by the intensification of the snow accumulation (+50% at Dasuopu) likely linked to the meridional displacement of the winter westerlies from 1810 until 1880 AD. During this period, the flux and crustal enrichment factors of the toxic trace metals were augmented by factors of 2 to 4 and 2 to 6, respectively. We suggest this contamination was the consequence of the long-range transport and wet deposition of fly ash from the combustion of coal (likely from Western Europe where it was almost entirely produced and used during the 19th century) with a possible contribution from the synchronous increase in biomass burning emissions from deforestation in the Northern Hemisphere. The snow accumulation decreased and dry winters were reestablished in Dasuopu after 1880 AD when lower than expected toxic metal levels were recorded. This indicates that contamination on the top of the Himalayas depended primarily on multidecadal changes in atmospheric circulation and secondarily on variations in emission sources during the last 200 y.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ACP-1149239, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Dasuopu
#	Location: Asia>Eastern Asia>China
#	Country: China
#	Northernmost_Latitude: 28.3833
# 	Southernmost_Latitude: 28.3833
# 	Easternmost_Longitude: 85.7167
# 	Westernmost_Longitude: 85.7167
# 	Elevation: 7200 
#------------------
# Data_Collection   
#	Collection_Name: Dasuopu2020elem
#	Earliest_Year: 1499
#	Most_Recent_Year: 1992
#	Time_Unit:  Year CE
#	Core_Length: 143.1
#	Notes: Dasuopu 1997 core #3  raw trace element concentrations from 1499 to 1992 AD 
#------------------
# Chronology_Information
#	Chronology: 
#	The Dasupu core was dated by layer counting during the last 560 years through the distinct seasonal cycles in delta18O, dust, and NO-3.
# 	The annual layer counting was confirmed at 42.2 m depth by the 1963 beta radioactivity signature from the 1962 atmospheric thermonuclear tests.
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , meter, , ice cores, , ,N, top depth
## age_CE	age, , , year Common Era, ,ice cores,,,N, thermal year 
## Al	Aluminum, ice, , picogram per gram, ,ice cores,,,N, 
## As	Arsenic, ice, , picogram per gram, ,ice cores,,,N, 
## Ba	Barium, ice, , picogram per gram, ,ice cores,,,N, 
## Bi	Bismuth, ice, , picogram per gram, ,ice cores,,,N, 
## Cd	Cadmium, ice, , picogram per gram, ,ice cores,,,N, 
## Co	Cobalt, ice, , picogram per gram, ,ice cores,,,N, 
## Cr	Chromium, ice, , picogram per gram, ,ice cores,,,N, 
## Cs	Cesium, ice, , picogram per gram, ,ice cores,,,N, 
## Fe	Iron, ice, , picogram per gram, ,ice cores,,,N, 
## Ga	Gallium, ice, , picogram per gram, ,ice cores,,,N, 
## Mg	Magnesium, ice, , picogram per gram, ,ice cores,,,N, 
## Mn	Manganese, ice, , picogram per gram, ,ice cores,,,N, 
## Mo	Molybdenum, ice, , picogram per gram, ,ice cores,,,N, 
## Nb	Niobium, ice, , picogram per gram, ,ice cores,,,N, 
## Ni	Nickel, ice, , picogram per gram, ,ice cores,,,N, 
## Pb	Lead, ice, , picogram per gram, ,ice cores,,,N, 
## Rb	Rubidium, ice, , picogram per gram, ,ice cores,,,N, 
## Sb	Antimony, ice, , picogram per gram, ,ice cores,,,N, 
## Ti	Titanium, ice, , picogram per gram, ,ice cores,,,N, 
## Tl	Thallium, ice, , picogram per gram, ,ice cores,,,N, 
## U	Uranium, ice, , picogram per gram, ,ice cores,,,N, 
## V	Vanadium, ice, , picogram per gram, ,ice cores,,,N, 
## Zn	Zinc, ice, , picogram per gram, ,ice cores,,,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	age_CE	Al	As	Ba	Bi	Cd	Co	Cr	Cs	Fe	Ga	Mg	Mn	Mo	Nb	Ni	Pb	Rb	Sb	Ti	Tl	U	V	Zn
56.99	1942.95	18426	141.1	198	0.99	2.06	20.7	47	33.6	26891	7.7	14422	940	1.52	3.82	89	43.2	70	1.69	1241.43	0.55	3.57	38.3	258
57.07	1942.86	5335	3.2	42	0.52	2.03	8.2	19	0.8	3042	1.8	4653	284	1.05	0.82	52	28.5	21	0.73	224.68	0.28	0.72	13.8	965
57.07	1942.86	4091	4.4	39	0.31	1.41	8.3	16	1.4	3454	2.0	4247	284	0.88	0.96	25	17.0	23	0.40	247.73	0.30	0.83	15.8	206
57.16	1942.77	68208	61.5	661	3.33	1.91	56.6	172	53.9	105587	37.0	50476	2559	2.80	26.83	319	140.0	388	8.38	5543.83	2.17	8.22	180.3	755
57.16	1942.77	62746	45.2	532	2.44	1.70	48.6	133	34.9	85856	27.7	38272	2081	2.77	21.51	192	114.5	294	3.50	4573.54	1.75	7.79	139.8	447
57.24	1942.69	61054	69.2	617	2.80	1.53	48.0	104	59.4	80176	23.9	47524	2714	9.24	13.45	127	128.7	326	4.91	4644.60	2.09	25.39	126.9	300
57.25	1942.68	32453	32.3	262	1.18	9.45	26.8	59	24.9	45416	12.1	28734	1351	2.53	6.21	94	62.9	131	3.41	2148.72	0.80	4.76	63.9	726
57.25	1942.68	36408	43.7	346	1.66	8.92	37.9	96	31.3	59623	15.8	33738	1548	4.11	10.08	176	84.3	186	4.42	2671.26	1.15	5.59	97.0	1256
57.33	1942.59	13226	10.8	97	0.39	22.94	9.9	31	6.3	16526	6.0	11170	495	2.15	3.14	171	31.0	56	2.61	692.44	0.36	1.24	28.9	1394
57.33	1942.59	7620	11.0	79	0.45	24.94	11.8	25	4.7	11941	3.9	10416	484	2.04	1.90	257	37.1	36	2.35	565.09	0.28	1.28	21.8	1802
58.45	1941.38	5100	26.1	27	0.25	0.47	2.7	13	3.3	2883	3.9	2151	115	0.66	28.61	38	7.8	30	0.52	300.11	0.16	0.67	9.4	246
58.51	1941.30	63177	46.3	596	2.34	1.04	49.4	117	41.5	88935	22.3	55218	2589	3.10	11.65	117	92.6	217	6.91	3701.09	1.37	5.70	111.7	360
58.57	1941.23	18835	20.9	205	3.14	1.33	14.3	40	5.9	19039	7.8	14009	654	1.44	3.11	311	65.0	62	3.21	861.93	0.37	1.42	30.6	2502
58.63	1941.16	4473	3.8	29	0.09	0.29	4.4	20	3.3	4028	2.5	2743	183	0.59	1.31	9	5.6	18	0.49	221.41	0.17	0.21	8.7	72
58.68	1941.11	46230	39.4	445	1.61	0.98	39.2	96	24.1	58596	16.3	38899	2379	1.56	10.88	100	61.8	187	1.43	3414.29	1.23	4.31	88.7	224
58.74	1941.03	97160	68.7	1443	4.40	2.22	86.9	183	46.8	138054	34.2	87206	5860	5.01	29.15	221	155.2	407	3.42	6543.59	2.49	11.37	169.9	603
58.80	1940.95	753605	289.2	7325	32.33	16.24	515.1	1690	524.3	1136262	372.6	462242	28781	18.17	365.92	1044	964.6	5982	11.54	111005.06	30.80	139.86	1841.5	6952
58.87	1940.84	2187	2.6	16	0.13	0.53	1.4	11	1.2	1321	2.7	1693	191	0.42	1.49	7	1.6	13	0.36	139.18	0.11	0.22	6.4	63
58.93	1940.73	1724	1.7	8	0.06	0.21	0.6	15	1.3	1013	1.9	464	19	1.24	0.90	5	1.1	11	0.29	106.33	0.10	0.11	5.4	55
58.99	1940.62	1178	4.9	10	0.07	0.22	0.8	5	1.3	1107	1.2	726	23	0.32	0.76	5	2.1	10	0.25	65.40	0.07	0.16	3.4	41
59.05	1940.52	793	3.0	7	0.10	0.61	0.9	10	1.2	539	1.6	526	20	0.93	12.29	9	2.4	13	0.47	127.96	0.09	0.13	6.1	269
59.11	1940.41	3142	27.5	17	0.32	0.52	3.8	8	4.4	2575	1.5	1068	60	0.55	1.37	9	6.5	24	0.49	152.08	0.14	1.63	5.2	193
59.18	1940.30	8281	7.0	53	0.45	0.88	5.4	26	7.5	8802	5.0	3239	185	0.50	3.34	19	12.7	49	0.78	699.25	0.31	1.38	17.8	268
59.24	1940.19	11797	9.6	82	0.63	0.49	6.8	26	8.2	14245	5.4	7757	269	0.64	2.87	57	21.0	48	0.90	771.96	0.35	0.89	23.8	851
59.30	1940.09	41522	26.9	285	2.93	3.45	26.2	78	19.0	45809	14.6	30056	1357	2.01	8.70	237	93.8	139	3.58	2523.94	0.99	2.96	69.7	5593
59.36	1939.98	82868	57.2	948	3.06	1.87	73.5	159	46.3	110657	30.5	68069	5042	3.39	22.26	157	116.8	327	2.60	6856.70	2.01	34.34	161.6	438
59.42	1939.87	203852	164.3	2106	9.70	3.69	147.7	428	107.8	282107	77.0	144906	8160	4.24	70.92	347	259.0	1215	5.31	22291.94	6.73	42.98	418.8	954
59.48	1939.77	1501	1.9	15	0.09	0.19	1.2	10	1.0	1238	1.5	1312	83	0.27	0.46	4	2.9	14	0.35	94.11	0.12	0.23	4.7	25
59.54	1939.66	5414	3.1	30	0.11	0.17	3.5	19	4.7	6705	3.5	3191	134	0.26	3.44	11	4.5	40	0.36	756.60	0.27	0.26	14.8	108
59.60	1939.55	47081	37.8	425	1.10	0.80	33.1	80	16.7	57465	14.9	48102	1721	4.73	6.17	85	65.2	116	2.95	2140.14	0.88	4.78	83.7	269
59.65	1939.46	3205	5.1	22	0.17	0.13	2.3	13	3.7	3464	1.2	1933	126	0.38	0.69	7	4.6	20	0.46	219.10	0.14	0.47	5.2	66
59.71	1939.35	14958	7.9	115	0.40	0.41	9.9	43	10.7	19578	6.6	8093	457	0.48	7.20	27	14.2	106	0.93	1797.47	0.64	1.06	34.2	127
59.77	1939.24	924	3.0	6	0.03	0.26	1.3	5	0.5	414	1.1	445	45	0.22	0.48	3	1.3	8	0.26	53.82	0.09	0.20	3.0	64
59.83	1939.14	1593	1.6	12	0.09	7.06	1.5	9	0.8	765	1.4	1246	103	0.68	0.36	79	3.7	13	1.39	78.34	0.11	0.22	4.0	486
59.90	1939.03	36091	38.1	284	1.60	1.16	25.3	78	19.8	44284	15.7	21074	1135	0.89	10.79	70	71.8	173	3.05	3312.26	1.13	3.76	81.0	228
59.96	1938.95	119130	47.2	1089	3.22	2.01	94.8	237	41.4	141165	39.4	79030	4897	2.76	20.71	275	135.8	378	2.97	6908.65	2.54	8.64	204.6	476
60.01	1938.88	67294	23.4	604	2.01	4.37	49.9	165	49.1	94449	29.9	43426	2229	2.75	28.80	153	71.0	486	4.55	8734.31	2.85	10.98	144.2	994
60.08	1938.81	3619	3.5	27	0.73	2.42	2.6	11	1.7	2374	2.0	2448	90	1.12	0.33	30	7.8	18	2.05	98.46	0.13	0.34	6.4	466
60.17	1938.70	665	0.0	20	0.17	104.87	2.3	22	0.4	396	0.6	843	42	4.44	0.45	79	14.2	27	11.45	37.82	0.24	0.22	4.3	1343
