Fedchenko Glacier, Tajikistan Trace Element Data 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: Fedchenko Glacier, Tajikistan Trace Element Data 
LAST UPDATE: 7/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, 
A.B. Surazakov, S. Kaspari, B. Grigholm, M. Krachler, M. Handley, 
and A. Finaev. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-098 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Aizen, V.B., et al. 2011. 
Fedchenko Glacier, Tajikistan Trace Element Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-098. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, A.B. Surazakov, 
S. Kaspari, B. Grigholm, M. Krachler, M. Handley, and A. Finaev. 2009. 
Stable-isotope and trace element time series from Fedchenko 
glacier (Pamirs) snow/firn cores. 
Journal of Glaciology, Vol. 55, No. 190, pp. 275-291, April 2009. 
DOI: 10.3189/002214309788608787 

ABSTRACT: 
In summer 2005, two pilot snow/firn cores were obtained at 5365 
and 5206 m a.s.l. on Fedchenko glacier, Pamirs, Tajikistan, 
the world's longest and deepest alpine glacier. The well-defined 
seasonal layering appearing in stable-isotope and trace element 
distribution identified the physical links controlling the climate 
and aerosol concentration signals. Air temperature and humidity/
precipitation were the primary determinants of stable-isotope ratios. 
Most precipitation over the Pamirs originated in the Atlantic. 
In summer, water vapor was re-evaporated from semi-arid regions 
in central Eurasia. The semi-arid regions contribute to non-soluble 
aerosol loading in snow accumulated on Fedchenko glacier. In the 
Pamir core, concentrations of rare earth elements, major and other 
elements were less than those in the Tien Shan but greater than 
those in Antarctica, Greenland, the Alps and the Altai. 
The content of heavy metals in the Fedchenko cores is 2-14 times 
lower than in the Altai glaciers. Loess from Afghan-Tajik deposits 
is the predominant lithogenic material transported to the Pamirs. 
Trace elements generally showed that aerosol concentration tended 
to increase on the windward slopes during dust storms but tended 
to decrease with altitude under clear conditions. The trace element 
profile documented one of the most severe droughts in the 20th century. 




GEOGRAPHIC REGION: Pamir, Tajikistan, Central Asia 
PERIOD OF RECORD: 

FUNDING SOURCES: 
US National Science Foundation (ATM-0754644 and ATM-0754479), 
US National Oceanic and Atmospheric Administration (NA04OAR4600179) 
(to UI and UM). 



DESCRIPTION: 
High-resolution Major and Trace Element data from two shallow 2005 
Fedchenko Glacier ice cores from upper accumulation zone of the Pamir.  

Fedchenko Glacier ice cores: 
Core 1: 38.55°N, 72.26°E, 5365m elev., 12.58m core length
Core 2: 38.55°N, 72.26°E, 5206m elev., 9.14m core length 




DATA: 
1a. Fedchenko Glacier core 1 elements data, part 1 of 2 

Core 1 Sample#   Depth(m)    Sr(ppt)    Cd(ppt)    Sb(ppt)    Cs(ppt)    Ba(ppt)    La(ppt)    Ce(ppt)    Pr(ppt)    Nd(ppt)    Sm(ppq)    Eu(ppq)    Gd(ppq)    Tb(ppq)    Dy(ppq)    Ho(ppq)    Er(ppq)    Tm(ppq)
SnowPit 19           1.9     124.06       0.72       2.44       6.50     236.44      34.53      77.50       9.53      36.33    7688.51    1821.12    3142.56     932.33    4756.44     869.74    2217.72     303.40
SnowPit 20           2.0     318.05       1.96       8.35       7.30     452.56      60.53     137.93      18.00      69.40   15578.55    3771.18    6697.23    2302.54   11475.88    1934.20    4795.17     624.17
Ice Core 1           2.1     894.84     374.73      39.11       9.04    1070.97      44.12      90.11      10.55      40.94    8567.52    1978.94    2441.29    1283.30    7150.42    1339.21    3307.41     493.35
Ice Core 2         2.225     122.23      23.39       6.39       2.15     112.50       5.40      11.44       1.26       5.13    1165.65     253.30     298.89     180.83    1001.65     176.24     512.26      76.83
Ice Core 3          2.35      27.30       1.93       1.76       0.70      29.32       1.36       2.95       0.33       1.37     345.21      75.19      66.87      55.46     235.10      47.64     118.14      18.74
Ice Core 4          2.46     202.75       7.81       4.03       1.91     145.22       7.97      16.34       1.93       7.64    1654.61     365.70     426.82     250.46    1351.95     232.28     603.33      78.70
Ice Core 5          2.57    1322.86      22.61      10.46       8.76     474.19      35.98      73.97       9.25      38.07   10265.86    2444.89    2914.50    1716.40    9475.16    1690.41    4092.04     579.92
Ice Core 6          2.66     291.11       3.51       3.20       2.97     151.70      12.56      26.51       3.23      13.32    3120.54     740.30     820.55     495.28    2734.58     491.33    1204.12     165.13
Ice Core 7          2.75      44.78       1.02       1.35       0.64      36.58       3.00       6.41       0.82       3.28     687.34     108.88     136.39      90.51     440.55      79.61     226.47      28.54
Ice Core 8          2.84      56.91       0.98       2.44       1.94      65.94       7.56      17.08       2.01       7.76    1609.17     326.91     390.09     231.43    1266.17     240.35     572.58      76.69
Ice Core 9          2.93     141.27       5.66       3.26       1.02      86.33       4.79      10.73       1.17       4.64    1041.58     154.38     223.32     141.90     794.55     145.79     368.79      60.68
Ice Core 10         3.04    1099.34       5.13       4.66       8.08     397.75      54.40     104.22      12.01      48.43    9466.96    1873.48    2516.72    1282.91    6379.28    1103.90    2853.20     381.83
Ice Core 11         3.15     221.59       3.40       3.34       2.77     174.51      10.53      21.50       2.58      10.12    2289.46     539.42     697.71     497.48    2807.48     587.14    1628.67     234.80
Ice Core 12        3.265     111.41       5.03       5.81       1.33      99.12       5.10      10.61       1.29       5.28    1094.32     248.42     265.89     178.38    1040.51     196.41     492.97      68.75
Ice Core 13         3.38     129.75       1.57       5.84       4.18     179.73      21.55      42.86       4.96      19.48    4201.38     949.56    1120.95     656.78    3395.29     619.12    1521.82     214.47
Ice Core 14         3.48     602.83       4.08       7.16       3.03     280.76      18.44      53.70       4.46      18.75    3832.42     840.17    1012.35     547.17    2985.85     540.97    1417.76     185.89
Ice Core 15         3.58     330.24       2.03      12.02       6.50     288.58      39.12      81.47       9.40      38.73    8290.18    1953.16    2182.25    1195.55    6104.02    1216.96    2890.64     424.39
Ice Core 16         3.68     392.81       3.75      13.66      15.80     648.56      71.80     149.41      17.85      71.03   17091.87    3797.45    4360.29    2647.20   14117.60    2624.78    6145.75     847.87
Ice Core 17         3.78     884.41      15.99      18.99      16.90    1220.23     118.37     232.96      27.40     113.87   26338.14    5965.46    6787.03    4227.07   23115.77    4190.43   10566.62    1391.73
Ice Core 18         3.91    5015.32     124.41     105.80      26.67    4170.67     252.66     518.91      59.70     237.65   52831.00   12530.23   14128.86    8132.63   44721.00    8158.17   21327.80    2883.12
